Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4586000,4586000,5100,5800,4400,1244,5.0,20,4400,4400,4400,4400,-,4400,4400,-700.0,-13.73,400,2036,,27256.0,1244.0,5.0,3.0,14.0,-11,1200.0,28500.0,-27300,-,
26/09/2024,4586000,4586000,5100,5800,4400,-,,23,5100,5100,5100,5100,-,5100,5100,,,-,-,,,,,,,-,,,-,-,
25/09/2024,4586000,4586000,5100,5800,4400,-,,23,5100,5100,5100,5100,-,5100,5100,,,-,-,,,,,,,-,,,-,-,
24/09/2024,4586000,4586000,5100,5800,4400,-,,23,5100,5100,5100,5100,-,5100,5100,,,-,-,,,,,,,-,,,-,-,
23/09/2024,4586000,4586000,5100,5800,4400,-,,23,5100,5100,5100,5100,-,5100,5100,,,-,-,,,,,,,-,,,-,-,
20/09/2024,4586000,4586000,5900,6700,5100,600,3.0,23,5100,5100,5100,5100,-,5100,5100,-800.0,-13.56,300,1908,,22300.0,600.0,3.0,2.0,12.0,-10,600.0,22900.0,-22300,-,
19/09/2024,4586000,4586000,5900,6700,5100,-,,27,5900,5900,5900,5900,-,5900,5900,,,-,-,,,,,,,-,,,-,-,
18/09/2024,4586000,4586000,5900,6700,5100,-,,27,5900,5900,5900,5900,-,5900,5900,,,-,-,,,,,,,-,,,-,-,
17/09/2024,4586000,4586000,5900,6700,5100,-,,27,5900,5900,5900,5900,-,5900,5900,,,-,-,,,,,,,-,,,-,-,
16/09/2024,4586000,4586000,5900,6700,5100,-,,27,5900,5900,5900,5900,-,5900,5900,,,-,-,,,,,,,-,,,-,-,
13/09/2024,4586000,4586000,6900,7900,5900,100,1.0,27,5900,5900,5900,5900,-,5900,5900,-1000.0,-14.49,100,683,,16300.0,100.0,1.0,1.0,24.0,-23,100.0,16400.0,-16300,-,
12/09/2024,4586000,4586000,6900,7900,5900,-,,32,6900,6900,6900,6900,-,6900,6900,,,-,-,,,,,,,-,,,-,-,
11/09/2024,4586000,4586000,6900,7900,5900,-,,32,6900,6900,6900,6900,-,6900,6900,,,-,-,,,,,,,-,,,-,-,
10/09/2024,4586000,4586000,6900,7900,5900,-,,32,6900,6900,6900,6900,-,6900,6900,,,-,-,,,,,,,-,,,-,-,
09/09/2024,4586000,4586000,6900,7900,5900,-,,32,6900,6900,6900,6900,-,6900,6900,,,-,-,,,,,,,-,,,-,-,
06/09/2024,4586000,4586000,7700,8800,6600,700,5.0,30,8800,6600,8800,6600,2200,6914,6600,-1100.0,-14.29,175,1513,,22000.0,700.0,5.0,4.0,15.0,-11,700.0,22700.0,-22000,-,
05/09/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
04/09/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
30/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,1664,,23300.0,,,,14.0,-14,,23300.0,-23300,-,
29/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
28/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
27/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
26/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
23/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,1275,,25500.0,,,,20.0,-20,,25500.0,-25500,-,
22/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
21/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
20/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
19/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
16/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,1290,,27100.0,,,,21.0,-21,,27100.0,-27100,-,
15/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
14/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
13/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
12/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
09/08/2024,4586000,4586000,7700,8800,6600,52,0.0,35,7700,7700,7700,7700,-,7700,7700,,,-,1076,,18248.0,52.0,0.0,,17.0,-17,,18300.0,-18300,-,
08/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
07/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
06/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
05/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
02/08/2024,4586000,4586000,7700,8800,6600,4,0.0,35,7700,7700,7700,7700,-,7700,7700,,,-,642,,15396.0,4.0,0.0,,24.0,-24,,15400.0,-15400,-,
01/08/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
31/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
30/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
29/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
26/07/2024,4586000,4586000,7700,8800,6600,201,2.0,35,7700,7700,7700,7700,-,7700,7700,,,100,1190,,23599.0,201.0,2.0,2.0,20.0,-18,200.0,23800.0,-23600,-,
25/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
24/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
23/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
22/07/2024,4586000,4586000,7700,8800,6600,-,,35,7700,7700,7700,7700,-,7700,7700,,,-,-,,,,,,,-,,,-,-,
19/07/2024,4586000,4586000,7600,8700,6500,537,4.0,31,8700,6800,8700,6800,1900,7725,6800,-800.0,-10.53,133,1117,,26263.0,537.0,4.0,3.0,24.0,-21,400.0,26800.0,-26400,-,
18/07/2024,4586000,4586000,7600,8700,6500,-,,35,7600,7600,7600,7600,-,7600,7600,,,-,-,,,,,,,-,,,-,-,
17/07/2024,4586000,4586000,7600,8700,6500,-,,35,7600,7600,7600,7600,-,7600,7600,,,-,-,,,,,,,-,,,-,-,
16/07/2024,4586000,4586000,7600,8700,6500,-,,35,7600,7600,7600,7600,-,7600,7600,,,-,-,,,,,,,-,,,-,-,
15/07/2024,4586000,4586000,7600,8700,6500,-,,35,7600,7600,7600,7600,-,7600,7600,,,-,-,,,,,,,-,,,-,-,
12/07/2024,4586000,4586000,7000,8000,6000,705,5.0,34,8000,7400,8000,7400,600,7571,7400,400.0,5.71,233,1146,,29095.0,705.0,5.0,3.0,26.0,-23,700.0,29800.0,-29100,-,
11/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
10/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
09/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
08/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
05/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,596,,16100.0,,,,27.0,-27,,16100.0,-16100,-,
04/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
03/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
02/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
01/07/2024,4586000,4586000,7000,8000,6000,-,,32,7000,7000,7000,7000,-,7000,7000,,,-,-,,,,,,,-,,,-,-,
28/06/2024,4586000,4586000,6600,7500,5700,33501,234.0,29,7500,6400,7500,6000,1500,6990,6400,-200.0,-3.03,2577,1626,,28299.0,33501.0,234.0,13.0,38.0,-25,33500.0,61800.0,-28300,-,
27/06/2024,4586000,4586000,6600,7500,5700,-,,30,6600,6600,6600,6600,-,6600,6600,,,-,-,,,,,,,-,,,-,-,
26/06/2024,4586000,4586000,6600,7500,5700,-,,30,6600,6600,6600,6600,-,6600,6600,,,-,-,,,,,,,-,,,-,-,
25/06/2024,4586000,4586000,6600,7500,5700,-,,30,6600,6600,6600,6600,-,6600,6600,,,-,-,,,,,,,-,,,-,-,
24/06/2024,4586000,4586000,6600,7500,5700,-,,30,6600,6600,6600,6600,-,6600,6600,,,-,-,,,,,,,-,,,-,-,
21/06/2024,4586000,4586000,6200,7100,5300,23250,153.0,29,7100,6400,7100,6200,900,6576,6400,200.0,3.23,1547,2067,,26350.0,23250.0,153.0,15.0,24.0,-9,23200.0,49600.0,-26400,-,
20/06/2024,4586000,4586000,6200,7100,5300,-,,28,6200,6200,6200,6200,-,6200,6200,,,-,-,,,,,,,-,,,-,-,
19/06/2024,4586000,4586000,6200,7100,5300,-,,28,6200,6200,6200,6200,-,6200,6200,,,-,-,,,,,,,-,,,-,-,
18/06/2024,4586000,4586000,6200,7100,5300,-,,28,6200,6200,6200,6200,-,6200,6200,,,-,-,,,,,,,-,,,-,-,
17/06/2024,4586000,4586000,6200,7100,5300,-,,28,6200,6200,6200,6200,-,6200,6200,,,-,-,,,,,,,-,,,-,-,
14/06/2024,4586000,4586000,5400,6200,4600,127805,786.0,28,5400,6200,6200,5400,800,6153,6200,800.0,14.81,7128,4619,495.0,15395.0,127805.0,786.0,18.0,31.0,-13,128300.0,143200.0,-14900,-,
13/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
12/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
11/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
10/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
07/06/2024,4586000,4586000,5400,6200,4600,16600,90.0,28,5600,6100,6200,5000,1200,5443,6100,700.0,12.96,1229,1120,600.0,5800.0,16600.0,90.0,14.0,20.0,-6,17200.0,22400.0,-5200,-,
06/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
05/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
04/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
03/06/2024,4586000,4586000,5400,6200,4600,-,,25,5400,5400,5400,5400,-,5400,5400,,,-,-,,,,,,,-,,,-,-,
31/05/2024,4586000,4586000,4900,5600,4200,105319,570.0,26,4900,5600,5600,4900,700,5416,5600,700.0,14.29,9773,4103,2181.0,21881.0,105319.0,570.0,11.0,31.0,-20,107500.0,127200.0,-19700,-,
30/05/2024,4586000,4586000,4900,5600,4200,-,,22,4900,4900,4900,4900,-,4900,4900,,,-,-,,,,,,,-,,,-,-,
29/05/2024,4586000,4586000,4900,5600,4200,-,,22,4900,4900,4900,4900,-,4900,4900,,,-,-,,,,,,,-,,,-,-,
28/05/2024,4586000,4586000,4900,5600,4200,-,,22,4900,4900,4900,4900,-,4900,4900,,,-,-,,,,,,,-,,,-,-,
27/05/2024,4586000,4586000,4900,5600,4200,-,,22,4900,4900,4900,4900,-,4900,4900,,,-,-,,,,,,,-,,,-,-,
24/05/2024,4586000,4586000,4500,5100,3900,103,1.0,22,4900,4900,4900,4900,-,4900,4900,400.0,8.89,100,1764,,19297.0,103.0,1.0,1.0,11.0,-10,100.0,19400.0,-19300,-,
23/05/2024,4586000,4586000,4500,5100,3900,-,,21,4500,4500,4500,4500,-,4500,4500,,,-,-,,,,,,,-,,,-,-,
22/05/2024,4586000,4586000,4500,5100,3900,-,,21,4500,4500,4500,4500,-,4500,4500,,,-,-,,,,,,,-,,,-,-,
21/05/2024,4586000,4586000,4500,5100,3900,-,,21,4500,4500,4500,4500,-,4500,4500,,,-,-,,,,,,,-,,,-,-,
20/05/2024,4586000,4586000,4500,5100,3900,-,,21,4500,4500,4500,4500,-,4500,4500,,,-,-,,,,,,,-,,,-,-,
