Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15000000,14960000,600,700,500,26600,15.0,9,600,600,600,500,100,552,600,,,3960,5435,72400.0,82100.0,26600.0,15.0,25.0,20.0,5,99000.0,108700.0,-9700,-,
26/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
25/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
24/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
23/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
20/09/2024,15000000,14960000,600,700,500,5900,4.0,9,600,600,600,500,100,595,600,,,3026,5789,63700.0,104100.0,5900.0,4.0,23.0,19.0,4,69600.0,110000.0,-40400,-,
19/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
18/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
17/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
16/09/2024,15000000,14960000,600,700,500,-,,9,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
