Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21418346,21418346,10400,11400,9400,700,7.0,221,10300,10300,10300,10300,-,10300,10300,-100.0,-0.96,765,385,16900,4300,700.0,7.0,23,13,10,17600,5000,12600,-,
26/09/2024,21418346,21418346,10400,11400,9400,-,,223,10400,10400,10400,10400,-,10400,10400,,,1183,613,14200,4900,,,12,8,4,14200,4900,9300,-,
25/09/2024,21418346,21418346,10400,11400,9400,-,,223,10400,10400,10400,10400,-,10400,10400,,,1022,1950,9200,7800,,,9,4,5,9200,7800,1400,-,
24/09/2024,21418346,21418346,10400,11400,9400,-,,223,10400,10400,10400,10400,-,10400,10400,,,1422,2000,12800,16000,,,9,8,1,12800,16000,-3200,-,
23/09/2024,21418346,21418346,10300,11300,9300,1100,11.0,223,10200,10400,10400,10200,200,10218,10400,100.0,0.97,1500,1214,15400,7400,1100.0,11.0,11,7,4,16500,8500,8000,-,
20/09/2024,21418346,21418346,10400,11400,9400,2100,21.0,221,10300,10300,10300,10200,100,10230,10300,-100.0,-0.96,1520,717,20700,6500,2100.0,21.0,15,12,3,22800,8600,14200,-,
19/09/2024,21418346,21418346,10400,11400,9400,1700,18.0,223,10400,10400,10400,10400,-,10400,10400,,,1894,1291,28600,12500,1700.0,18.0,16,11,5,30300,14200,16100,-,
18/09/2024,21418346,21418346,10500,11500,9500,3003,31.0,223,10300,10400,10400,10200,200,10286,10400,-100.0,-0.95,1188,1243,26697,14397,3003.0,31.0,25,14,11,29700,17400,12300,-,
17/09/2024,21418346,21418346,10500,11500,9500,-,,225,10500,10500,10500,10500,-,10500,10500,,,1440,1686,14400,11800,,,10,7,3,14400,11800,2600,-,
16/09/2024,21418346,21418346,10500,11500,9500,1600,17.0,225,10300,10500,10500,10300,200,10313,10500,,,1210,1600,10500,6400,1600.0,17.0,10,5,5,12100,8000,4100,-,
13/09/2024,21418346,21418346,10500,11500,9500,-,,225,10500,10500,10500,10500,-,10500,10500,,,1643,988,11500,7900,,,7,8,-1,11500,7900,3600,-,
12/09/2024,21418346,21418346,10500,11500,9500,-,,225,10500,10500,10500,10500,-,10500,10500,,,2320,938,11600,7500,,,5,8,-3,11600,7500,4100,-,
11/09/2024,21418346,21418346,10400,11400,9400,600,6.0,225,10300,10500,10500,10300,200,10333,10500,100.0,0.96,1350,889,7500,7400,600.0,6.0,6,9,-3,8100,8000,100,-,
10/09/2024,21418346,21418346,10400,11400,9400,800,8.0,223,10400,10400,10400,10400,-,10400,10400,,,1629,600,10600,5800,800.0,8.0,7,11,-4,11400,6600,4800,-,
09/09/2024,21418346,21418346,10400,11400,9400,1000,10.0,223,10400,10400,10400,10400,-,10400,10400,,,1438,920,17700,8200,1000.0,10.0,13,10,3,18700,9200,9500,-,
06/09/2024,21418346,21418346,10300,11300,9300,100,1.0,223,10400,10400,10400,10400,-,10300,10400,100.0,0.97,1756,1043,15700,7200,100.0,1.0,9,7,2,15800,7300,8500,-,
05/09/2024,21418346,21418346,10300,11300,9300,101,1.0,221,10300,10300,10300,10300,-,10300,10300,,,1767,838,15799,6599,101.0,1.0,9,8,1,15900,6700,9200,-,
04/09/2024,21418346,21418346,10400,11400,9400,7000,72.0,221,10300,10300,10300,10300,-,10300,10300,-100.0,-0.96,2109,1460,16200,7600,7000.0,72.0,11,10,1,23200,14600,8600,-,
30/08/2024,21418346,21418346,10400,11400,9400,2400,25.0,223,10400,10400,10400,10400,-,10400,10400,,,1140,1120,20400,8800,2400.0,25.0,20,10,10,22800,11200,11600,-,
29/08/2024,21418346,21418346,10500,11500,9500,100,1.0,223,10400,10400,10400,10400,-,10400,10400,-100.0,-0.95,1529,1700,25900,13500,100.0,1.0,17,8,9,26000,13600,12400,-,
28/08/2024,21418346,21418346,10400,11400,9400,300,3.0,225,10500,10500,10500,10300,200,10433,10500,100.0,0.96,1081,1650,17000,16200,300.0,3.0,16,10,6,17300,16500,800,-,
27/08/2024,21418346,21418346,10300,11300,9300,1600,17.0,223,10400,10400,10400,10400,-,10400,10400,100.0,0.97,1174,1222,20700,9400,1600.0,17.0,19,9,10,22300,11000,11300,-,
26/08/2024,21418346,21418346,10400,11400,9400,3300,34.0,221,10400,10300,10400,10300,100,10397,10300,-100.0,-0.96,900,1433,15600,13900,3300.0,34.0,21,12,9,18900,17200,1700,-,
23/08/2024,21418346,21418346,10400,11400,9400,7100,74.0,223,10400,10400,10400,10400,-,10400,10400,,,958,1940,11100,12300,7100.0,74.0,19,10,9,18200,19400,-1200,-,
22/08/2024,21418346,21418346,10500,11500,9500,2300,24.0,223,10500,10400,10500,10400,100,10404,10400,-100.0,-0.95,1000,1289,12700,9300,2300.0,24.0,15,9,6,15000,11600,3400,-,
21/08/2024,21418346,21418346,10600,11600,9600,2400,25.0,225,10500,10500,10500,10500,-,10500,10500,-100.0,-0.94,1041,1500,20500,17100,2400.0,25.0,22,13,9,22900,19500,3400,-,
20/08/2024,21418346,21418346,10400,11400,9400,7000,74.0,227,10500,10600,10800,10400,400,10555,10600,200.0,1.92,1004,1150,21100,18300,7000.0,74.0,28,22,6,28100,25300,2800,-,
19/08/2024,21418346,21418346,10700,11700,9700,619,6.0,223,10400,10400,10400,10400,-,10700,10400,-300.0,-2.8,846,1575,10381,18281,619.0,6.0,13,12,1,11000,18900,-7900,-,
16/08/2024,21418346,21418346,10700,11700,9700,-,,229,10700,10700,10700,10700,-,10700,10700,,,1182,1213,13000,9700,,,11,8,3,13000,9700,3300,-,
15/08/2024,21418346,21418346,10700,11700,9700,-,,229,10700,10700,10700,10700,-,10700,10700,,,764,1627,8400,17900,,,11,11,-,8400,17900,-9500,-,
14/08/2024,21418346,21418346,10400,11400,9400,3000,31.0,229,10300,10700,10700,10300,400,10313,10700,300.0,2.88,1127,1518,13900,13700,3000.0,31.0,15,11,4,16900,16700,200,-,
13/08/2024,21418346,21418346,10400,11400,9400,-,,223,10400,10400,10400,10400,-,10400,10400,,,1233,1733,11100,10400,,,9,6,3,11100,10400,700,-,
12/08/2024,21418346,21418346,10400,11400,9400,-,,223,10400,10400,10400,10400,-,10400,10400,,,1280,857,12800,6000,,,10,7,3,12800,6000,6800,-,
09/08/2024,21418346,21418346,10300,11300,9300,8800,90.0,223,10200,10400,10400,10200,200,10251,10400,100.0,0.97,1474,1425,25100,8300,8800.0,90.0,23,12,11,33900,17100,16800,-,
08/08/2024,21418346,21418346,10300,11300,9300,2900,30.0,221,10200,10300,10300,10200,100,10262,10300,,,1936,1238,24200,7000,2900.0,30.0,14,8,6,27100,9900,17200,-,
07/08/2024,21418346,21418346,10200,11200,9200,2919,30.0,221,10300,10300,10300,10300,-,10300,10300,100.0,0.98,2833,1230,31081,9381,2919.0,30.0,12,10,2,34000,12300,21700,-,
06/08/2024,21418346,21418346,10100,11100,9100,14000,142.0,218,10100,10200,10200,10100,100,10137,10200,100.0,0.99,2500,1850,33500,8200,14000.0,142.0,19,12,7,47500,22200,25300,-,
05/08/2024,21418346,21418346,10400,11400,9400,85000,870.0,216,10300,10100,10300,10100,200,10241,10100,-300.0,-2.88,2933,4836,29400,21400,85000.0,870.0,39,22,17,114400,106400,8000,-,
02/08/2024,21418346,21418346,10400,11400,9400,10300,106.0,223,10400,10400,10400,10300,100,10330,10400,,,1747,1718,19400,8600,10300.0,106.0,17,11,6,29700,18900,10800,-,
01/08/2024,21418346,21418346,10400,11400,9400,12899,134.0,223,10400,10400,10400,10400,-,10400,10400,,,1768,2211,20701,7001,12899.0,134.0,19,9,10,33600,19900,13700,-,
31/07/2024,21418346,21418346,10400,11400,9400,11100,115.0,223,10400,10400,10400,10400,-,10400,10400,,,3750,2544,33900,11800,11100.0,115.0,12,9,3,45000,22900,22100,-,
30/07/2024,21418346,21418346,10400,11400,9400,26033,271.0,223,10400,10400,10500,10400,100,10410,10400,,,2909,2119,37967,7867,26033.0,271.0,22,16,6,64000,33900,30100,-,
29/07/2024,21418346,21418346,10300,11300,9300,22600,233.0,223,10300,10400,10400,10300,100,10300,10400,100.0,0.97,2694,3563,20500,5900,22600.0,233.0,16,8,8,43100,28500,14600,-,
26/07/2024,21418346,21418346,10400,11400,9400,23053,238.0,221,10500,10300,10500,10300,200,10331,10300,-100.0,-0.96,2078,2507,14347,12047,23053.0,238.0,18,14,4,37400,35100,2300,-,
25/07/2024,21418346,21418346,10400,11400,9400,4100,43.0,223,10400,10400,10400,10400,-,10400,10400,,,2569,1863,37000,10800,4100.0,43.0,16,8,8,41100,14900,26200,-,
24/07/2024,21418346,21418346,10400,11400,9400,11801,123.0,223,10400,10400,10400,10400,-,10400,10400,,,3033,1643,33699,11199,11801.0,123.0,15,14,1,45500,23000,22500,-,
23/07/2024,21418346,21418346,10500,11500,9500,21400,224.0,223,10500,10400,10500,10400,100,10447,10400,-100.0,-0.95,3267,2315,27600,8700,21400.0,224.0,15,13,2,49000,30100,18900,-,
22/07/2024,21418346,21418346,10800,11800,9800,8200,86.0,225,10600,10500,10600,10400,200,10490,10500,-300.0,-2.78,2031,1118,18200,10800,8200.0,86.0,13,17,-4,26400,19000,7400,-,
19/07/2024,21418346,21418346,10800,11800,9800,-,,231,10800,10800,10800,10800,-,10800,10800,,,1217,1275,7300,15300,,,6,12,-6,7300,15300,-8000,-,
18/07/2024,21418346,21418346,10800,11800,9800,-,,231,10800,10800,10800,10800,-,10800,10800,,,2222,2646,20000,34400,,,9,13,-4,20000,34400,-14400,-,
17/07/2024,21418346,21418346,10800,11800,9800,5305,57.0,231,10700,10800,10800,10600,200,10664,10800,,,1329,2211,3995,34495,5305.0,57.0,7,18,-11,9300,39800,-30500,-,
16/07/2024,21418346,21418346,10800,11800,9800,2158,23.0,231,10700,10800,10800,10700,100,10705,10800,,,1289,1445,9442,13742,2158.0,23.0,9,11,-2,11600,15900,-4300,-,
15/07/2024,21418346,21418346,10800,11800,9800,-,,231,10800,10800,10800,10800,-,10800,10800,,,2220,1917,11100,23000,,,5,12,-7,11100,23000,-11900,-,
12/07/2024,21418346,21418346,10700,11700,9700,1700,18.0,231,10700,10800,10800,10700,100,10700,10800,100.0,0.93,1390,1500,12200,16300,1700.0,18.0,10,12,-2,13900,18000,-4100,-,
11/07/2024,21418346,21418346,10700,11700,9700,13100,140.0,229,10700,10700,10800,10700,100,10702,10700,,,1542,1443,16200,20100,13100.0,140.0,19,23,-4,29300,33200,-3900,-,
10/07/2024,21418346,21418346,10600,11600,9600,610,6.0,229,10600,10700,10700,10600,100,10617,10700,100.0,0.94,1027,1556,14790,13390,610.0,6.0,15,9,6,15400,14000,1400,-,
09/07/2024,21418346,21418346,10600,11600,9600,-,,227,10600,10600,10600,10600,-,10600,10600,,,1720,1550,17200,12400,,,10,8,2,17200,12400,4800,-,
08/07/2024,21418346,21418346,10600,11600,9600,600,6.0,227,10700,10600,10700,10600,100,10617,10600,,,2500,2000,29400,17400,600.0,6.0,12,9,3,30000,18000,12000,-,
05/07/2024,21418346,21418346,10600,11600,9600,17530,186.0,227,10600,10600,10600,10600,-,10600,10600,,,2550,2750,23270,20970,17530.0,186.0,16,14,2,40800,38500,2300,-,
04/07/2024,21418346,21418346,10600,11600,9600,6224,66.0,227,10700,10600,10700,10600,100,10605,10600,,,1361,2421,18276,27676,6224.0,66.0,18,14,4,24500,33900,-9400,-,
03/07/2024,21418346,21418346,10600,11600,9600,7900,84.0,227,10600,10600,10600,10600,-,10600,10600,,,1346,1463,9600,15500,7900.0,84.0,13,16,-3,17500,23400,-5900,-,
02/07/2024,21418346,21418346,10600,11600,9600,8500,90.0,227,10600,10600,10600,10600,-,10600,10600,,,2023,1671,17800,14900,8500.0,90.0,13,14,-1,26300,23400,2900,-,
01/07/2024,21418346,21418346,10600,11600,9600,-,,227,10600,10600,10600,10600,-,10600,10600,,,1750,2322,17500,20900,,,10,9,1,17500,20900,-3400,-,
28/06/2024,21418346,21418346,10600,11600,9600,10524,112.0,227,10600,10600,10600,10600,-,10600,10600,,,1658,2038,9376,22076,10524.0,112.0,12,16,-4,19900,32600,-12700,-,
27/06/2024,21418346,21418346,10500,11500,9500,6500,69.0,227,10700,10600,10700,10600,100,10623,10600,100.0,0.95,2080,2529,14300,36500,6500.0,69.0,10,17,-7,20800,43000,-22200,-,
26/06/2024,21418346,21418346,10500,11500,9500,3800,40.0,225,10600,10500,10600,10500,100,10579,10500,,,2636,1400,25200,21400,3800.0,40.0,11,18,-7,29000,25200,3800,-,
25/06/2024,21418346,21418346,10500,11500,9500,1000,11.0,225,10500,10500,10500,10500,-,10500,10500,,,2530,2085,24300,26100,1000.0,11.0,10,13,-3,25300,27100,-1800,-,
24/06/2024,21418346,21418346,10800,11800,9800,2700,28.0,225,10500,10500,10500,10500,-,10500,10500,-300.0,-2.78,1400,1125,22500,10800,2700.0,28.0,18,12,6,25200,13500,11700,-,
21/06/2024,21418346,21418346,10600,11600,9600,3100,33.0,231,10700,10800,10800,10700,100,10765,10800,200.0,1.89,1793,1373,23800,17500,3100.0,33.0,15,15,-,26900,20600,6300,-,
20/06/2024,21418346,21418346,10600,11600,9600,1400,15.0,227,10600,10600,10600,10600,-,10600,10600,,,1990,688,18500,9600,1400.0,15.0,10,16,-6,19900,11000,8900,-,
19/06/2024,21418346,21418346,10600,11600,9600,3300,35.0,227,10600,10600,10600,10600,-,10600,10600,,,1461,764,23000,7400,3300.0,35.0,18,14,4,26300,10700,15600,-,
18/06/2024,21418346,21418346,10600,11600,9600,12600,134.0,227,10600,10600,10700,10600,100,10608,10600,,,1229,1329,16900,19300,12600.0,134.0,24,24,-,29500,31900,-2400,-,
17/06/2024,21418346,21418346,10700,11700,9700,6600,70.0,227,10600,10600,10700,10600,100,10620,10600,-100.0,-0.93,1161,1241,14300,20700,6600.0,70.0,18,22,-4,20900,27300,-6400,-,
14/06/2024,21418346,21418346,10700,11700,9700,5000,53.0,229,10700,10700,10700,10600,100,10698,10700,,,782,1181,16900,19800,5000.0,53.0,28,21,7,21900,24800,-2900,-,
13/06/2024,21418346,21418346,10700,11700,9700,3000,32.0,229,10700,10700,10800,10700,100,10786,10700,,,1205,2042,23500,35800,3000.0,32.0,22,19,3,26500,38800,-12300,-,
12/06/2024,21418346,21418346,10800,11800,9800,10900,117.0,229,10800,10700,10800,10700,100,10706,10700,-100.0,-0.93,1579,1104,11200,14500,10900.0,117.0,14,23,-9,22100,25400,-3300,-,
11/06/2024,21418346,21418346,10800,11800,9800,5000,54.0,231,10900,10800,10900,10700,200,10757,10800,,,892,1458,16400,22700,5000.0,54.0,24,19,5,21400,27700,-6300,-,
10/06/2024,21418346,21418346,10900,11900,9900,8500,92.0,231,10800,10800,10800,10800,-,10800,10800,-100.0,-0.92,1481,1250,22600,19000,8500.0,92.0,21,22,-1,31100,27500,3600,-,
07/06/2024,21418346,21418346,11000,12100,9900,9100,99.0,233,10900,10900,10900,10800,100,10867,10900,-100.0,-0.91,1404,1174,24600,30800,9100.0,99.0,24,34,-10,33700,39900,-6200,-,
06/06/2024,21418346,21418346,11000,12100,9900,11800,130.0,236,11200,11000,11200,11000,200,11029,11000,,,979,1247,21500,25600,11800.0,130.0,34,30,4,33300,37400,-4100,-,
05/06/2024,21418346,21418346,10800,11800,9800,31600,348.0,236,10800,11000,11300,10800,500,11028,11000,200.0,1.85,1585,1236,33400,26500,31600.0,348.0,41,47,-6,65000,58100,6900,-,
04/06/2024,21418346,21418346,10700,11700,9700,9000,96.0,231,10800,10800,10800,10700,100,10714,10800,100.0,0.93,2188,1476,65400,22000,9000.0,96.0,34,21,13,74400,31000,43400,-,
03/06/2024,21418346,21418346,10800,11800,9800,2502,27.0,229,10700,10700,10700,10700,-,10700,10700,-100.0,-0.93,989,956,15298,14698,2502.0,27.0,18,18,-,17800,17200,600,-,
31/05/2024,21418346,21418346,10800,11800,9800,-,,231,10800,10800,10800,10800,-,10800,10800,,,700,1640,5600,16400,,,8,10,-2,5600,16400,-10800,-,
30/05/2024,21418346,21418346,10800,11800,9800,6029,65.0,231,10700,10800,10800,10700,100,10700,10800,,,1407,1195,15071,17871,6029.0,65.0,15,20,-5,21100,23900,-2800,-,
