Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,55113595,55113595,7800,8900,6700,1200,8.0,430,7800,7800,7800,7800,-,7800,7800,,,233,2975,700.0,23800.0,,,3.0,8,-5,700.0,23800,-23100,1200,8.0
26/09/2024,55113595,55113595,9100,10400,7800,4898,38.0,430,7800,7800,7800,7800,-,7800,7800,-1300.0,-14.29,960,1837,,30002.0,4898.0,38.0,5.0,19,-14,4800.0,34900,-30100,-,
25/09/2024,55113595,55113595,9100,10400,7800,-,,502,9100,9100,9100,9100,-,9100,9100,,,-,1347,,20200.0,,,,15,-15,,20200,-20200,-,
24/09/2024,55113595,55113595,9100,10400,7800,-,,502,9100,9100,9100,9100,-,9100,9100,,,-,2377,,30900.0,,,,13,-13,,30900,-30900,-,
23/09/2024,55113595,55113595,9100,10400,7800,-,,502,9100,9100,9100,9100,-,9100,9100,,,-,1965,,33400.0,,,,17,-17,,33400,-33400,-,
20/09/2024,55113595,55113595,8000,9200,6800,100,1.0,502,9100,9100,9100,9100,-,9100,9100,1100.0,13.75,200,1167,900.0,27900.0,100.0,1.0,5.0,24,-19,1000.0,28000,-27000,-,
19/09/2024,55113595,55113595,9300,10600,8000,500,4.0,441,8000,8000,8000,8000,-,8000,8000,-1300.0,-13.98,125,1646,,39000.0,500.0,4.0,4.0,24,-20,500.0,39500,-39000,-,
18/09/2024,55113595,55113595,8100,9300,6900,100,1.0,513,9300,9300,9300,9300,-,9300,9300,1200.0,14.81,333,904,900.0,21600.0,100.0,1.0,3.0,24,-21,1000.0,21700,-20700,-,
17/09/2024,55113595,55113595,7700,8800,6600,100,1.0,446,8100,8100,8100,8100,-,8100,8100,400.0,5.19,325,1982,1200.0,21700.0,100.0,1.0,4.0,11,-7,1300.0,21800,-20500,-,
16/09/2024,55113595,55113595,6800,7800,5800,100,1.0,424,7700,7700,7700,7700,-,7700,7700,900.0,13.24,350,1460,2000.0,7200.0,100.0,1.0,6.0,5,1,2100.0,7300,-5200,-,
13/09/2024,55113595,55113595,7700,8800,6600,800,5.0,375,6800,6800,6800,6800,-,6800,6800,-900.0,-11.69,417,1207,1700.0,16100.0,800.0,5.0,6.0,14,-8,2500.0,16900,-14400,-,
12/09/2024,55113595,55113595,6700,7700,5700,2800,22.0,424,7700,7700,7700,7600,100,7682,7700,1000.0,14.93,425,1338,2300.0,7900.0,2800.0,22.0,12.0,8,4,5100.0,10700,-5600,-,
11/09/2024,55113595,55113595,7700,8800,6600,100,1.0,369,6700,6700,6700,6700,-,6700,6700,-1000.0,-12.99,300,970,500.0,9600.0,100.0,1.0,2.0,10,-8,600.0,9700,-9100,-,
10/09/2024,55113595,55113595,7700,8800,6600,-,,424,7700,7700,7700,7700,-,7700,7700,,,500,1044,500.0,9400.0,,,1.0,9,-8,500.0,9400,-8900,-,
09/09/2024,55113595,55113595,7700,8800,6600,-,,424,7700,7700,7700,7700,-,7700,7700,,,450,1150,900.0,6900.0,,,2.0,6,-4,900.0,6900,-6000,-,
06/09/2024,55113595,55113595,7800,8900,6700,5100,39.0,430,8300,7800,8300,6700,1600,7702,7800,,,786,1116,400.0,16100.0,5100.0,39.0,7.0,19,-12,5500.0,21200,-15700,-,
05/09/2024,55113595,55113595,7800,8900,6700,-,,430,7800,7800,7800,7800,-,7800,7800,,,400,1829,400.0,12800.0,,,1.0,7,-6,400.0,12800,-12400,-,
04/09/2024,55113595,55113595,7000,8000,6000,200,2.0,424,7900,7700,7900,7700,200,7800,7700,700.0,10.0,220,975,900.0,7600.0,200.0,2.0,5.0,8,-3,1100.0,7800,-6700,-,
30/08/2024,55113595,55113595,6900,7900,5900,700,5.0,424,6900,7700,7700,6900,800,7014,7700,800.0,11.59,350,650,2800.0,3200.0,700.0,5.0,10.0,6,4,3500.0,3900,-400,-,
29/08/2024,55113595,55113595,6600,7500,5700,700,5.0,413,6100,7500,7500,6100,1400,6900,7500,900.0,13.64,540,675,4700.0,2000.0,700.0,5.0,10.0,4,6,5400.0,2700,2700,-,
28/08/2024,55113595,55113595,7100,8100,6100,500,3.0,391,6300,7100,7100,6300,800,6600,7100,,,225,370,2200.0,3200.0,500.0,3.0,12.0,10,2,2700.0,3700,-1000,-,
27/08/2024,55113595,55113595,8300,9500,7100,100,1.0,391,7100,7100,7100,7100,-,7100,7100,-1200.0,-14.46,50,1436,,15700.0,100.0,1.0,2.0,11,-9,100.0,15800,-15700,-,
26/08/2024,55113595,55113595,8300,9500,7100,-,,457,8300,8300,8300,8300,-,8300,8300,,,-,738,,5900.0,,,,8,-8,,5900,-5900,-,
23/08/2024,55113595,55113595,8300,9500,7100,-,,457,8300,8300,8300,8300,-,8300,8300,,,-,3457,,24200.0,,,,7,-7,,24200,-24200,-,
22/08/2024,55113595,55113595,8300,9500,7100,-,,457,8300,8300,8300,8300,-,8300,8300,,,-,2289,,20600.0,,,,9,-9,,20600,-20600,-,
21/08/2024,55113595,55113595,8300,9500,7100,-,,457,8300,8300,8300,8300,-,8300,8300,,,100,2064,200.0,22700.0,,,2.0,11,-9,200.0,22700,-22500,-,
20/08/2024,55113595,55113595,7300,8300,6300,100,1.0,457,8300,8300,8300,8300,-,8300,8300,1000.0,13.7,1240,1183,6100.0,7000.0,100.0,1.0,5.0,6,-1,6200.0,7100,-900,-,
19/08/2024,55113595,55113595,6700,7700,5700,2300,17.0,402,7100,7300,7300,7100,200,7291,7300,600.0,8.96,1333,1100,9700.0,1000.0,2300.0,17.0,9.0,3,6,12000.0,3300,8700,-,
16/08/2024,55113595,55113595,6600,7500,5700,4400,30.0,413,6800,7500,7500,6400,1100,6723,7500,900.0,13.64,754,817,5400.0,500.0,4400.0,30.0,13.0,6,7,9800.0,4900,4900,-,
15/08/2024,55113595,55113595,6600,7500,5700,1,0.0,364,6600,6800,6600,6600,-,6600,6600,200.0,3.03,125,950,499.0,3799.0,1.0,0.0,4.0,4,-,500.0,3800,-3300,-,
14/08/2024,55113595,55113595,7000,8000,6000,400,3.0,375,6000,6800,6800,6000,800,6600,6800,-200.0,-2.86,175,644,300.0,5400.0,400.0,3.0,4.0,9,-5,700.0,5800,-5100,-,
13/08/2024,55113595,55113595,7000,8000,6000,-,,386,7000,7000,7000,7000,-,7000,7000,,,-,678,,6100.0,,,,9,-9,,6100,-6100,-,
12/08/2024,55113595,55113595,7000,8000,6000,-,,386,7000,7000,7000,7000,-,7000,7000,,,-,1017,,6100.0,,,,6,-6,,6100,-6100,-,
09/08/2024,55113595,55113595,6800,7800,5800,1000,7.0,386,6900,7000,7000,6900,100,6990,7000,200.0,2.94,367,1000,1200.0,6000.0,1000.0,7.0,6.0,7,-1,2200.0,7000,-4800,-,
08/08/2024,55113595,55113595,6800,7800,5800,-,,375,6800,6800,6800,6800,-,6800,6800,,,100,1000,100.0,7000.0,,,1.0,7,-6,100.0,7000,-6900,-,
07/08/2024,55113595,55113595,6800,7800,5800,-,,375,6800,6800,6800,6800,-,6800,6800,,,75,686,300.0,4800.0,,,4.0,7,-3,300.0,4800,-4500,-,
06/08/2024,55113595,55113595,6800,7800,5800,-,,375,6800,6800,6800,6800,-,6800,6800,,,650,1067,2600.0,6400.0,,,4.0,6,-2,2600.0,6400,-3800,-,
05/08/2024,55113595,55113595,6800,7800,5800,300,2.0,380,6800,6900,6900,6800,100,6833,6900,100.0,1.47,120,760,300.0,7300.0,300.0,2.0,5.0,10,-5,600.0,7600,-7000,-,
02/08/2024,55113595,55113595,7000,8000,6000,100,1.0,375,6800,6800,6800,6800,-,6800,6800,-200.0,-2.86,75,929,200.0,6400.0,100.0,1.0,4.0,7,-3,300.0,6500,-6200,-,
01/08/2024,55113595,55113595,7100,8100,6100,400,3.0,386,7000,7000,7000,7000,-,7000,7000,-100.0,-1.41,78,767,300.0,6500.0,400.0,3.0,9.0,9,-,700.0,6900,-6200,-,
31/07/2024,55113595,55113595,7000,8000,6000,100,1.0,391,7100,7100,7100,7100,-,7100,7100,100.0,1.43,550,1100,3200.0,6500.0,100.0,1.0,6.0,6,-,3300.0,6600,-3300,-,
30/07/2024,55113595,55113595,7000,8000,6000,-,,386,7000,7000,7000,7000,-,7000,7000,,,1017,938,6100.0,7500.0,,,6.0,8,-2,6100.0,7500,-1400,-,
29/07/2024,55113595,55113595,6200,7100,5300,202,1.0,386,7000,7000,7000,7000,-,7000,7000,800.0,12.9,1100,360,12998.0,1598.0,202.0,1.0,12.0,5,7,13200.0,1800,11400,-,
26/07/2024,55113595,55113595,7200,8200,6200,6200,39.0,342,6500,6200,6500,6200,300,6224,6200,-1000.0,-13.89,388,530,3500.0,6000.0,6200.0,39.0,25.0,23,2,9700.0,12200,-2500,-,
25/07/2024,55113595,55113595,7300,8300,6300,100,1.0,397,7200,7200,7200,7200,-,7200,7200,-100.0,-1.37,580,760,2800.0,7500.0,100.0,1.0,5.0,10,-5,2900.0,7600,-4700,-,
24/07/2024,55113595,55113595,6800,7800,5800,100,1.0,402,7300,7300,7300,7300,-,7300,7300,500.0,7.35,1322,2250,11800.0,4400.0,100.0,1.0,9.0,2,7,11900.0,4500,7400,-,
23/07/2024,55113595,55113595,7900,9000,6800,9500,65.0,375,7400,6800,7400,6800,600,6825,6800,-1100.0,-13.92,559,6840,,58900.0,9500.0,65.0,17.0,10,7,9500.0,68400,-58900,-,
22/07/2024,55113595,55113595,8100,9300,6900,502,4.0,441,7900,8000,8000,7900,100,7940,8000,-100.0,-1.23,300,1146,1898.0,14398.0,502.0,4.0,8.0,13,-5,2400.0,14900,-12500,-,
19/07/2024,55113595,55113595,8200,9400,7000,800,7.0,446,8300,8100,8300,8100,200,8125,8100,-100.0,-1.22,283,2288,900.0,17500.0,800.0,7.0,6.0,8,-2,1700.0,18300,-16600,-,
18/07/2024,55113595,55113595,7400,8500,6300,500,4.0,452,8200,8200,8200,8200,-,8200,8200,800.0,10.81,218,300,1900.0,1000.0,500.0,4.0,11.0,5,6,2400.0,1500,900,-,
17/07/2024,55113595,55113595,7800,8900,6700,3400,25.0,457,8300,8300,8300,7200,1100,7353,8300,500.0,6.41,680,1445,3400.0,12500.0,3400.0,25.0,10.0,11,-1,6800.0,15900,-9100,-,
16/07/2024,55113595,55113595,8900,10200,7600,1000,8.0,430,7800,7800,7800,7800,-,7800,7800,-1100.0,-12.36,350,1239,1100.0,21300.0,1000.0,8.0,6.0,18,-12,2100.0,22300,-20200,-,
15/07/2024,55113595,55113595,8100,9300,6900,5500,49.0,452,9000,8200,9300,8100,1200,8876,8200,100.0,1.23,368,2036,2600.0,23000.0,5500.0,49.0,22.0,14,8,8100.0,28500,-20400,-,
12/07/2024,55113595,55113595,8100,9300,6900,-,,446,8100,8100,8100,8100,-,8100,8100,,,300,2333,600.0,14000.0,,,2.0,6,-4,600.0,14000,-13400,-,
11/07/2024,55113595,55113595,7600,8700,6500,200,2.0,441,8100,8000,8100,8000,100,8050,8000,400.0,5.26,610,1544,5900.0,13700.0,200.0,2.0,10.0,9,1,6100.0,13900,-7800,-,
10/07/2024,55113595,55113595,8400,9600,7200,200,2.0,441,7200,8000,8000,7200,800,7600,8000,-400.0,-4.76,413,564,3100.0,6000.0,200.0,2.0,8.0,11,-3,3300.0,6200,-2900,-,
09/07/2024,55113595,55113595,7500,8600,6400,102,1.0,463,8400,8400,8400,8400,-,8400,8400,900.0,12.0,583,1889,3398.0,16898.0,102.0,1.0,6.0,9,-3,3500.0,17000,-13500,-,
08/07/2024,55113595,55113595,7400,8500,6300,300,2.0,413,7500,7500,7500,7500,-,7500,7500,100.0,1.35,288,2300,2000.0,11200.0,300.0,2.0,8.0,5,3,2300.0,11500,-9200,-,
05/07/2024,55113595,55113595,7100,8100,6100,700,5.0,402,7900,7300,7900,7300,600,7386,7300,200.0,2.82,225,500,1100.0,2300.0,700.0,5.0,8.0,6,2,1800.0,3000,-1200,-,
04/07/2024,55113595,55113595,8000,9200,6800,700,5.0,402,7100,7300,7300,7100,200,7129,7300,-700.0,-8.75,788,1508,5600.0,18900.0,700.0,5.0,8.0,13,-5,6300.0,19600,-13300,-,
03/07/2024,55113595,55113595,8000,9200,6800,900,7.0,441,8000,8000,8000,8000,-,8000,8000,,,440,1271,1300.0,20700.0,900.0,7.0,5.0,17,-12,2200.0,21600,-19400,-,
02/07/2024,55113595,55113595,8000,9200,6800,-,,441,8000,8000,8000,8000,-,8000,8000,,,450,1642,900.0,19700.0,,,2.0,12,-10,900.0,19700,-18800,-,
01/07/2024,55113595,55113595,8000,9200,6800,-,,441,8000,8000,8000,8000,-,8000,8000,,,225,717,900.0,8600.0,,,4.0,12,-8,900.0,8600,-7700,-,
