Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,10889031,10324781,11000,11750,10250,-,,114,11000,11000,11000,11000,-,,11000,,,100,100,,100.0,,,2.0,1.0,1,200.0,100.0,100,-,
26/09/2024,10889031,10324781,11000,11750,10250,-,,114,11000,11000,11000,11000,-,,11000,,,71,50,300.0,100.0,,,7.0,2.0,5,500.0,100.0,400,-,
25/09/2024,10889031,10324781,11500,12300,10700,100,1.0,114,11000,11000,11000,11000,-,10000.0,11000,-500.0,-4.35,550,125,900.0,400.0,100.0,1.0,2.0,4.0,-2,1100.0,500.0,600,-,
24/09/2024,10889031,10324781,11500,12300,10700,-,,119,11500,11500,11500,11500,-,,11500,,,100,100,100.0,100.0,,,5.0,1.0,4,500.0,100.0,400,-,
23/09/2024,10889031,10324781,11450,12250,10650,100,1.0,119,11500,11500,11500,11500,-,10000.0,11500,50.0,0.44,660,350,2100.0,1300.0,100.0,1.0,5.0,4.0,1,3300.0,1400.0,1900,-,
20/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,300,100,1100.0,100.0,,,4.0,1.0,3,1200.0,100.0,1100,-,
19/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,233,150,1100.0,300.0,,,6.0,2.0,4,1400.0,300.0,1100,-,
18/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,400,150,1100.0,300.0,,,3.0,2.0,1,1200.0,300.0,900,-,
17/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,383,67,2200.0,200.0,,,6.0,3.0,3,2300.0,200.0,2100,-,
16/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,540,100,2500.0,200.0,,,5.0,2.0,3,2700.0,200.0,2500,-,
13/09/2024,10889031,10324781,11450,12250,10650,-,,118,11450,11450,11450,11450,-,,11500,,,820,100,4000.0,100.0,,,5.0,1.0,4,4100.0,100.0,4000,-,
12/09/2024,10889031,10324781,12300,13150,11450,100,1.0,118,11450,11450,11450,11450,-,10000.0,11500,-850.0,-6.91,100,125,100.0,300.0,100.0,1.0,5.0,4.0,1,500.0,500.0,-,-,
11/09/2024,10889031,10324781,12300,13150,11450,-,,127,12300,12300,12300,12300,-,,12300,,,100,167,100.0,500.0,,,1.0,3.0,-2,100.0,500.0,-400,-,
10/09/2024,10889031,10324781,12300,13150,11450,-,,127,12300,12300,12300,12300,-,,12300,,,100,175,100.0,700.0,,,2.0,4.0,-2,200.0,700.0,-500,-,
09/09/2024,10889031,10324781,12000,12800,11200,11100,136.0,127,12300,12300,12300,12300,-,12252.0,12300,300.0,2.5,1663,1629,200.0,300.0,11100.0,136.0,8.0,7.0,1,13300.0,11400.0,1900,-,
