Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,25545867,25268221,29500,33900,25100,3,0.0,745,29500,29500,29500,29500,-,29500,29500,,,418,325,4597,1297,3.0,0.0,11,4,7,4600,1300,3300,-,
26/09/2024,25545867,25268221,29500,33900,25100,-,,745,29500,29500,29500,29500,-,29500,29500,,,3438,557,55000,3900,,,16,7,9,55000,3900,51100,-,
25/09/2024,25545867,25268221,29500,33900,25100,200,6.0,745,29500,29500,29500,29500,-,29500,29500,,,3456,440,55100,2000,200.0,6.0,16,5,11,55300,2200,53100,-,
24/09/2024,25545867,25268221,29900,34300,25500,200,6.0,745,29500,29500,29500,29500,-,29500,29500,-400.0,-1.34,2153,420,36400,4000,200.0,6.0,17,10,7,36600,4200,32400,-,
23/09/2024,25545867,25268221,30900,35500,26300,2100,63.0,756,29900,29900,29900,29900,-,29900,29900,-1000.0,-3.24,4369,533,54700,1100,2100.0,63.0,13,6,7,56800,3200,53600,-,
20/09/2024,25545867,25268221,30000,34500,25500,107,3.0,781,30900,30900,30900,30900,-,30900,30900,900.0,3.0,425,400,4993,2693,107.0,3.0,12,7,5,5100,2800,2300,-,
19/09/2024,25545867,25268221,30000,34500,25500,-,,758,30000,30000,30000,30000,-,30000,30000,,,3700,420,33300,2100,,,9,5,4,33300,2100,31200,-,
18/09/2024,25545867,25268221,30000,34500,25500,-,,758,30000,30000,30000,30000,-,30000,30000,,,2950,838,35400,6700,,,12,8,4,35400,6700,28700,-,
17/09/2024,25545867,25268221,30000,34500,25500,-,,758,30000,30000,30000,30000,-,30000,30000,,,2738,450,35600,2700,,,13,6,7,35600,2700,32900,-,
16/09/2024,25545867,25268221,30000,34500,25500,1100,33.0,758,30000,30000,30000,30000,-,30000,30000,,,3273,511,34900,3500,1100.0,33.0,11,9,2,36000,4600,31400,-,
13/09/2024,25545867,25268221,30000,34500,25500,-,,758,30000,30000,30000,30000,-,30000,30000,,,4991,614,54900,4300,,,11,7,4,54900,4300,50600,-,
