Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,75014100,75014100,47700,51000,44400,221100,10425,3518,47650,46900,47950,46550,1400,47151,46900,-800.0,-1.68,594,1259,4200,3000.0,221100,10425,596.0,344.0,252,354100.0,433200.0,-79100,-,
26/09/2024,75014100,75014100,47600,50900,44300,158200,7564,3578,48100,47700,48200,47550,650,47813,47700,100.0,0.21,838,1429,4100,16300.0,158200,7564,391.0,236.0,155,327800.0,337200.0,-9400,-,
25/09/2024,75014100,75014100,47500,50800,44200,212100,10097,3571,47700,47600,47800,47350,450,47605,47600,100.0,0.21,1045,1865,81600,16800.0,212100,10097,491.0,222.0,269,513000.0,414000.0,99000,-,
24/09/2024,75014100,75014100,47250,50500,43950,39600,1885,3563,47950,47500,47950,47350,600,47601,47500,250.0,0.53,578,1216,4800,7400.0,39600,1885,230.0,180.0,50,133000.0,218800.0,-85800,-,
23/09/2024,75014100,75014100,47600,50900,44300,68400,3241,3544,47350,47250,47650,47250,400,47383,47300,-350.0,-0.74,722,1191,10300,5300.0,68400,3241,265.0,179.0,86,191300.0,213200.0,-21900,-,
20/09/2024,75014100,75014100,48050,51400,44700,81800,3935,3571,48500,47600,48500,47600,900,48105,47600,-450.0,-0.94,824,1362,19000,8900.0,81800,3935,210.0,239.0,-29,173000.0,325400.0,-152400,-,
19/09/2024,75014100,75014100,47800,51100,44500,36300,1740,3604,48300,48050,48300,47700,600,47934,48100,250.0,0.52,540,892,4400,12100.0,36300,1740,168.0,203.0,-35,90800.0,181000.0,-90200,-,
18/09/2024,75014100,75014100,48150,51500,44800,45700,2198,3586,48500,47800,48600,47800,800,48096,47800,-350.0,-0.73,556,1004,1300,6100.0,45700,2198,143.0,188.0,-45,79500.0,188700.0,-109200,-,
17/09/2024,75014100,75014100,47200,50500,43900,84500,4017,3612,47200,48150,48150,47050,1100,47538,48200,950.0,2.01,895,789,2100,8500.0,84500,4017,252.0,189.0,63,225500.0,149200.0,76300,-,
16/09/2024,75014100,75014100,47800,51100,44500,39200,1859,3541,47800,47200,47900,47000,900,47423,47200,-600.0,-1.26,603,687,14300,7300.0,39200,1859,178.0,181.0,-3,107300.0,124300.0,-17000,-,
13/09/2024,75014100,75014100,47650,50900,44350,48100,2293,3586,47650,47800,47900,47500,400,47672,47800,150.0,0.31,1130,709,3900,4900.0,48100,2293,158.0,142.0,16,178600.0,100700.0,77900,-,
12/09/2024,75014100,75014100,47200,50500,43900,50400,2399,3574,47450,47650,47950,47250,700,47599,47700,450.0,0.95,907,785,15500,3800.0,50400,2399,209.0,186.0,23,189500.0,146000.0,43500,-,
11/09/2024,75014100,75014100,48650,52000,45250,208200,9869,3541,48200,47200,48300,47000,1300,47402,47200,-1450.0,-2.98,758,1299,46300,4000.0,208200,9869,583.0,275.0,308,441700.0,357100.0,84600,-,
10/09/2024,75014100,75014100,48750,52100,45350,39800,1941,3649,48750,48650,49050,48400,650,48769,48700,-100.0,-0.21,793,742,3100,3400.0,39800,1941,152.0,235.0,-83,120600.0,174300.0,-53700,-,
09/09/2024,75014100,75014100,48500,51800,45150,38500,1861,3657,48450,48750,48750,48150,600,48338,48800,250.0,0.52,610,791,3900,6800.0,38500,1861,238.0,157.0,81,145100.0,124200.0,20900,-,
06/09/2024,75014100,75014100,48250,51600,44900,95600,4614,3638,47800,48500,48900,47800,1100,48264,48500,250.0,0.52,815,1126,3300,4300.0,95600,4614,358.0,199.0,159,291900.0,224000.0,67900,-,
05/09/2024,75014100,75014100,48050,51400,44700,78800,3791,3619,48100,48250,48600,47500,1100,48109,48300,200.0,0.42,616,1089,3600,6800.0,78800,3791,314.0,216.0,98,193400.0,235300.0,-41900,-,
04/09/2024,75014100,75014100,49250,52600,45850,102300,4973,3604,49000,48050,49000,48050,950,48612,48100,-1200.0,-2.44,655,1000,6500,900.0,102300,4973,247.0,215.0,32,161900.0,215100.0,-53200,-,
30/08/2024,75014100,75014100,48850,52200,45450,75900,3701,3694,49000,49250,49300,48500,800,48762,49300,400.0,0.82,305,611,3100,17000.0,75900,3701,259.0,152.0,107,79000.0,92900.0,-13900,-,
29/08/2024,75014100,75014100,49300,52700,45850,107300,5262,3664,49650,48850,49650,48850,800,49040,48900,-450.0,-0.91,691,1047,2300,5400.0,107300,5262,291.0,255.0,36,201200.0,266900.0,-65700,-,
28/08/2024,75014100,75014100,50000,53500,46500,99600,4909,3698,49800,49300,50000,48500,1500,49287,49300,-700.0,-1.4,782,1006,2300,2100.0,99600,4909,298.0,307.0,-9,232900.0,308900.0,-76000,-,
27/08/2024,75014100,75014100,50000,53500,46500,142400,7067,3751,50000,50000,50000,49100,900,49628,50000,,,741,1105,5400,10400.0,142400,7067,398.0,416.0,-18,294900.0,459700.0,-164800,-,
26/08/2024,75014100,75014100,49800,53200,46350,209200,10512,3751,49600,50000,51500,49600,1900,50249,50000,200.0,0.4,1045,944,19900,2700.0,209200,10512,395.0,647.0,-252,412900.0,610500.0,-197600,-,
23/08/2024,75014100,75014100,49950,53400,46500,124900,6204,3736,49600,49800,50000,49500,500,49672,49800,-150.0,-0.3,850,962,13900,13900.0,124900,6204,325.0,367.0,-42,276300.0,353100.0,-76800,-,
22/08/2024,75014100,75014100,50800,54300,47250,156100,7823,3747,50500,49950,50800,49900,900,50115,50000,-850.0,-1.67,798,1044,6100,5100.0,156100,7823,351.0,440.0,-89,280000.0,459200.0,-179200,-,
21/08/2024,75014100,75014100,49150,52500,45750,394300,19933,3811,49150,50800,52000,49100,2900,50553,50800,1650.0,3.36,1148,1025,1400,24600.0,394300,19933,703.0,938.0,-235,807100.0,961900.0,-154800,-,
20/08/2024,75014100,75014100,49650,53100,46200,158200,7804,3687,49600,49150,49800,49000,800,49330,49200,-500.0,-1.01,677,1050,8400,7500.0,158200,7804,527.0,383.0,144,357000.0,402000.0,-45000,-,
19/08/2024,75014100,75014100,49000,52400,45600,233000,11557,3724,49200,49650,49900,49200,700,49601,49700,650.0,1.33,1229,1063,18300,15100.0,233000,11557,380.0,517.0,-137,467100.0,549700.0,-82600,-,
16/08/2024,75014100,75014100,48800,52200,45400,334600,16480,3676,48800,49000,49750,48650,1100,49253,49000,200.0,0.41,1108,1253,16100,5600.0,334600,16480,558.0,589.0,-31,618500.0,738200.0,-119700,-,
15/08/2024,75014100,75014100,48800,52200,45400,103800,4988,3661,48750,48800,48800,47600,1200,48054,48800,,,269,497,600,3100.0,103800,4988,388.0,215.0,173,104400.0,106900.0,-2500,-,
14/08/2024,75014100,75014100,48600,52000,45200,242800,11981,3661,49000,48800,50000,48600,1400,49345,48800,200.0,0.41,816,684,22500,17200.0,242800,11981,325.0,380.0,-55,265300.0,260000.0,5300,-,
13/08/2024,75014100,75014100,48600,52000,45200,181000,8752,3646,48500,48600,48800,47800,1000,48354,48600,,,601,613,25200,15700.0,181000,8752,343.0,321.0,22,206200.0,196700.0,9500,-,
12/08/2024,75014100,75014100,47900,51200,44550,202700,9825,3646,48450,48600,49000,48000,1000,48471,48600,700.0,1.46,482,645,1000,10200.0,202700,9825,423.0,330.0,93,203700.0,212900.0,-9200,-,
09/08/2024,75014100,75014100,47500,50800,44200,135700,6505,3593,48100,47900,48400,47500,900,47937,47900,400.0,0.84,548,312,1800,11400.0,135700,6505,251.0,471.0,-220,137500.0,147100.0,-9600,-,
08/08/2024,75014100,75014100,44400,47500,41300,503100,23639,3563,44400,47500,47500,44400,3100,46987,47500,3100.0,6.98,860,968,17300,,503100,23639,605.0,520.0,85,520400.0,503100.0,17300,-,
