Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1438351617,1438351617,76100,81400,70800,17355200,1319231,109171,76300,75900,76400,75200,1200,75697,75900,-200.0,-0.26,1239,1983,29900.0,366100.0,3725200,281988,5251.0,4055.0,1196,6507100.0,8041700.0,-1534600,13630000,1037243.0
26/09/2024,1438351617,1438351617,75500,80700,70300,4617436,350925,109459,75800,76100,76400,75700,700,76000,76100,600.0,0.79,1413,1652,22200.0,345200.0,4617400,350922,5330.0,6245.0,-915,7532700.0,10318000.0,-2785300,36,3.0
25/09/2024,1438351617,1438351617,74800,80000,69600,6849819,515841,108596,75100,75500,75800,75100,700,75477,75500,700.0,0.94,1764,1802,597200.0,538900.0,5135300,387595,5256.0,5751.0,-495,9272400.0,10364600.0,-1092200,1714519,128246.0
24/09/2024,1438351617,1438351617,74400,79600,69200,3064407,227784,107589,74400,74800,74800,74000,800,74330,74800,400.0,0.54,1263,2160,62300.0,159800.0,3044400,226289,4708.0,2445.0,2263,5945300.0,5281300.0,664000,20007,1495.0
23/09/2024,1438351617,1438351617,74700,79900,69500,1836800,137236,107013,74700,74400,75300,74400,900,74715,74400,-300.0,-0.4,1402,2131,107300.0,92300.0,1836800,137236,2667.0,2531.0,136,3739500.0,5393500.0,-1654000,-,
20/09/2024,1438351617,1438351617,74400,79600,69200,8337819,623276,107445,75000,74700,75700,74600,1100,75077,74700,300.0,0.4,2007,1814,329900.0,63600.0,4014300,301380,3497.0,5046.0,-1549,7016900.0,9152600.0,-2135700,4323519,321896.0
19/09/2024,1438351617,1438351617,74400,79600,69200,2688338,199896,107013,74500,74400,74800,74000,800,74354,74400,,,1222,1660,119200.0,111200.0,2663300,198026,4450.0,3477.0,973,5438100.0,5771100.0,-333000,25038,1870.0
18/09/2024,1438351617,1438351617,74500,79700,69300,7993817,596285,107013,74700,74400,75300,74400,900,74774,74400,-100.0,-0.13,1353,1760,242900.0,49900.0,2719900,203378,3380.0,3929.0,-549,4573200.0,6915500.0,-2342300,5273917,392907.0
17/09/2024,1438351617,1438351617,72900,78000,67800,2785116,204805,107157,73000,74500,74500,72800,1700,73536,74500,1600.0,2.19,1390,1676,27400.0,57600.0,2785100,204804,4465.0,3183.0,1282,6204100.0,5335800.0,868300,16,1.0
16/09/2024,1438351617,1438351617,74200,79300,69100,5090500,373779,104856,74200,72900,74600,72800,1800,73421,72900,-1300.0,-1.75,1055,2399,446300.0,40300.0,5065500,371916,8905.0,3565.0,5340,9393100.0,8551100.0,842000,25000,1863.0
13/09/2024,1438351617,1438351617,75100,80300,69900,3115808,232827,106726,75100,74200,75400,74200,1200,74691,74200,-900.0,-1.2,1090,2230,573900.0,112400.0,2857800,213451,5173.0,2597.0,2576,5639300.0,5790400.0,-151100,258008,19376.0
12/09/2024,1438351617,1438351617,75100,80300,69900,1664595,125403,108020,75600,75100,75800,74900,900,75336,75100,,,1277,1669,125100.0,75000.0,1664500,125396,2703.0,2931.0,-228,3451800.0,4892500.0,-1440700,95,7.0
11/09/2024,1438351617,1438351617,75200,80400,70000,2895253,217710,108020,75200,75100,75700,74800,900,75205,75100,-100.0,-0.13,1178,1512,200400.0,53200.0,2637200,198330,4680.0,3977.0,703,5511600.0,6014500.0,-502900,258053,19380.0
10/09/2024,1438351617,1438351617,75400,80600,70200,6186138,469671,108164,75500,75200,77000,75200,1800,75920,75200,-200.0,-0.27,1632,1822,232800.0,23500.0,5918100,449300,5909.0,6704.0,-795,9645900.0,12217100.0,-2571200,268038,20371.0
09/09/2024,1438351617,1438351617,76000,81300,70700,3747400,282514,108452,75800,75400,75900,75100,800,75389,75400,-600.0,-0.79,1409,1761,214400.0,77100.0,3747400,282514,4561.0,3849.0,712,6427900.0,6777200.0,-349300,-,
06/09/2024,1438351617,1438351617,74100,79200,69000,5077500,381563,109315,74200,76000,76000,74000,2000,75084,76000,1900.0,2.56,1529,1893,14600.0,322600.0,4443500,333635,6314.0,4374.0,1940,9656300.0,8282000.0,1374300,634000,47928.0
