Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1099155420,1099155420,12300,14100,10500,687033,8751,13959,12300,12700,13100,12200,900,12737,12700,400.0,3.25,2167,2185,298867,543067.0,687033,8751,455,563,-108,985900,1230100,-244200,-,
26/09/2024,1099155420,1099155420,12200,14000,10400,176299,2176,13520,12300,12300,12500,12200,300,12342,12300,100.0,0.82,1204,2238,184801,345201.0,176299,2176,300,233,67,361100,521500,-160400,-,
25/09/2024,1099155420,1099155420,12200,14000,10400,248908,3047,13410,12200,12200,12400,12200,200,12243,12200,,,1336,2597,203892,260092.0,248908,3047,339,196,143,452800,509000,-56200,-,
24/09/2024,1099155420,1099155420,12200,14000,10400,149732,1826,13520,12300,12300,12300,12000,300,12193,12300,100.0,0.82,1297,2297,225068,208568.0,149732,1826,289,156,133,374800,358300,16500,-,
23/09/2024,1099155420,1099155420,12300,14100,10500,163287,1999,13520,12400,12300,12400,12100,300,12217,12300,,,1460,2373,241213,214813.0,160187,1957,275,158,117,401400,375000,26400,3100,42.0
20/09/2024,1099155420,1099155420,12200,14000,10400,124959,1536,13410,12300,12200,12400,12200,200,12294,12200,,,1162,2276,160941,241441.0,124959,1536,246,161,85,285900,366400,-80500,-,
19/09/2024,1099155420,1099155420,12300,14100,10500,126602,1538,13410,12200,12200,12400,12100,300,12214,12200,-100.0,-0.81,1038,2557,166298,275198.0,121202,1480,277,155,122,287500,396400,-108900,5400,57.0
18/09/2024,1099155420,1099155420,12200,14000,10400,128450,1576,13410,12400,12200,12400,12200,200,12270,12200,,,1458,2359,262250,258450.0,128450,1576,268,164,104,390700,386900,3800,-,
17/09/2024,1099155420,1099155420,12300,14100,10500,259847,3160,13520,12400,12300,12400,12000,400,12162,12300,,,1385,2641,184753,175953.0,259847,3160,321,165,156,444600,435800,8800,-,
