Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5400000,5400000,17300,19800,14800,-,,93,17300,17300,17300,17300,-,17300,17300,,,100,1033,200.0,3100.0,,,2.0,3.0,-1,200.0,3100.0,-2900,-,
26/09/2024,5400000,5400000,17000,19500,14500,2700,47.0,95,17000,17500,17500,17000,500,17315,17500,500.0,2.94,600,1175,300.0,2000.0,2700.0,47.0,5.0,4.0,1,3000.0,4700.0,-1700,-,
25/09/2024,5400000,5400000,17000,19500,14500,1,0.0,92,17000,17000,17000,17000,-,17000,17000,,,100,1000,199.0,2999.0,1.0,0.0,2.0,3.0,-1,200.0,3000.0,-2800,-,
24/09/2024,5400000,5400000,17000,19500,14500,2000,34.0,92,17000,17000,17000,17000,-,17000,17000,,,1050,1667,100.0,3000.0,2000.0,34.0,2.0,3.0,-1,2100.0,5000.0,-2900,-,
23/09/2024,5400000,5400000,17000,19500,14500,-,,92,17000,17000,17000,17000,-,17000,17000,,,400,1333,800.0,8000.0,,,2.0,6.0,-4,800.0,8000.0,-7200,-,
20/09/2024,5400000,5400000,17000,19500,14500,-,,92,17000,17000,17000,17000,-,17000,17000,,,100,1667,200.0,5000.0,,,2.0,3.0,-1,200.0,5000.0,-4800,-,
19/09/2024,5400000,5400000,17000,19500,14500,-,,92,17000,17000,17000,17000,-,17000,17000,,,100,1000,100.0,2000.0,,,1.0,2.0,-1,100.0,2000.0,-1900,-,
18/09/2024,5400000,5400000,17500,20100,14900,2700,46.0,92,17000,17000,17000,17000,-,17000,17000,-500.0,-2.86,583,1725,800.0,4200.0,2700.0,46.0,6.0,4.0,2,3500.0,6900.0,-3400,-,
17/09/2024,5400000,5400000,17500,20100,14900,-,,95,17500,17500,17500,17500,-,17500,17500,,,100,550,200.0,1100.0,,,2.0,2.0,-,200.0,1100.0,-900,-,
16/09/2024,5400000,5400000,17500,20100,14900,-,,95,17500,17500,17500,17500,-,17500,17500,,,100,550,200.0,1100.0,,,2.0,2.0,-,200.0,1100.0,-900,-,
13/09/2024,5400000,5400000,18200,20900,15500,1000,18.0,95,17500,17500,17500,17500,-,17500,17500,-700.0,-3.85,550,550,100.0,100.0,1000.0,18.0,2.0,2.0,-,1100.0,1100.0,-,-,
12/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,550,200.0,1100.0,,,2.0,2.0,-,200.0,1100.0,-900,-,
11/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,820,100.0,4100.0,,,1.0,5.0,-4,100.0,4100.0,-4000,-,
10/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,700,100.0,2100.0,,,1.0,3.0,-2,100.0,2100.0,-2000,-,
09/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,525,200.0,2100.0,,,2.0,4.0,-2,200.0,2100.0,-1900,-,
06/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,700,200.0,2100.0,,,2.0,3.0,-1,200.0,2100.0,-1900,-,
05/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,550,200.0,1100.0,,,2.0,2.0,-,200.0,1100.0,-900,-,
04/09/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,763,100.0,6100.0,,,1.0,8.0,-7,100.0,6100.0,-6000,-,
30/08/2024,5400000,5400000,18200,25400,11000,1000,18.0,98,18200,18200,18200,18200,-,18200,18200,,,350,775,400.0,5200.0,1000.0,18.0,4.0,8.0,-4,1400.0,6200.0,-4800,-,
29/08/2024,5400000,5400000,18200,25400,11000,-,,98,18200,18200,18200,18200,-,18200,18200,,,1333,550,4000.0,2200.0,,,3.0,4.0,-1,4000.0,2200.0,1800,-,
28/08/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,1733,200.0,5200.0,,,2.0,3.0,-1,200.0,5200.0,-5000,-,
27/08/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,1733,100.0,5200.0,,,1.0,3.0,-2,100.0,5200.0,-5100,-,
26/08/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,1367,200.0,8200.0,,,2.0,6.0,-4,200.0,8200.0,-8000,-,
23/08/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,50,1733,100.0,5200.0,,,2.0,3.0,-1,100.0,5200.0,-5100,-,
22/08/2024,5400000,5400000,18200,20900,15500,-,,98,18200,18200,18200,18200,-,18200,18200,,,100,2067,100.0,6200.0,,,1.0,3.0,-2,100.0,6200.0,-6100,-,
