Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1322550553,1322550553,16950,18100,15800,12068150,202474,22351,16900,16900,17250,16750,500,16972,16900,-50.0,-0.29,2038,3441,105900,138400.0,2332100,39580,1817,1403,414,3702300,4827500,-1125200,9736050,162894.0
26/09/2024,1322550553,1322550553,17100,18250,15950,3785600,64099,22417,16900,16950,17200,16700,500,16932,17000,-150.0,-0.88,2173,5919,88100,26200.0,3785600,64099,2547,1129,1418,5535700,6682800,-1147100,-,
25/09/2024,1322550553,1322550553,17500,18700,16300,9924302,164544,22616,17450,17100,17550,16950,600,17190,17100,-400.0,-2.29,2335,4957,306500,62600.0,3120100,53636,2212,1201,1011,5164300,5953700,-789400,6804202,110908.0
24/09/2024,1322550553,1322550553,16800,17950,15650,4954700,84071,23145,16750,17500,17500,16650,850,16968,17500,700.0,4.17,4675,6337,47500,72700.0,4954700,84071,1711,1011,700,7999000,6406200,1592800,-,
23/09/2024,1322550553,1322550553,16850,18000,15700,10264100,167087,22219,16850,16800,17100,16500,600,16868,16800,-50.0,-0.3,4066,6919,80800,257900.0,5084100,85761,1916,1064,852,7789600,7362200,427400,5180000,81326.0
20/09/2024,1322550553,1322550553,17500,18700,16300,6641200,115978,22285,17600,16850,17750,16850,900,17463,16900,-650.0,-3.71,5477,11430,10800,2593900.0,6641200,115978,1705,1028,677,9337800,11749800,-2412000,-,
19/09/2024,1322550553,1322550553,17400,18600,16200,10299451,169784,23145,17400,17500,17750,17350,400,17579,17500,100.0,0.57,3144,3677,71800,124400.0,2126500,37382,918,1094,-176,2886400,4022900,-1136500,8172951,132402.0
18/09/2024,1322550553,1322550553,17600,18800,16400,3737800,64874,23012,17600,17400,17600,17150,450,17356,17400,-200.0,-1.14,3550,5424,22100,254900.0,3737800,64874,1354,1244,110,4806500,6747100,-1940600,-,
17/09/2024,1322550553,1322550553,17500,18700,16300,11236306,187142,23277,17500,17600,17750,17450,300,17611,17600,100.0,0.57,2868,4747,157700,181600.0,3044500,53616,1399,1244,155,4012000,5904800,-1892800,8191806,133526.0
16/09/2024,1322550553,1322550553,16500,17650,15350,8288900,141464,23145,16450,17500,17550,16450,1100,17202,17500,1000.0,6.06,3466,4116,93400,443700.0,7488900,128824,3107,2378,729,10767400,9788800,978600,800000,12640.0
13/09/2024,1322550553,1322550553,16250,17350,15150,7763400,120839,21822,16300,16500,16650,16250,400,16514,16500,250.0,1.54,4122,3427,148700,225500.0,2363400,39029,870,1206,-336,3585900,4133500,-547600,5400000,81810.0
