Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,31646541,31646539,11200,12300,10100,349310,3913,354,11300,11200,11400,11200,200,11203,11200,,,3473,4670,67490,131690,349310,3913,120,103,17,416800,481000,-64200,-,
26/09/2024,31646541,31646539,11300,12400,10200,356800,3996,354,11200,11200,11200,11100,100,11199,11200,-100.0,-0.88,4721,4659,153100,113800,356800,3996,108,101,7,509900,470600,39300,-,
25/09/2024,31646541,31646539,11300,12400,10200,302458,3383,358,11200,11300,11300,11000,300,11173,11300,,,4117,5240,105142,101042,302458,3383,99,77,22,407600,403500,4100,-,
24/09/2024,31646541,31646539,11300,12400,10200,403401,4509,358,11300,11300,11300,11100,200,11172,11300,,,4416,4589,64699,78399,403401,4509,106,105,1,468100,481800,-13700,-,
23/09/2024,31646541,31646539,11300,12400,10200,277802,3109,358,11200,11300,11300,11100,200,11185,11300,,,3975,4811,40198,78198,277802,3109,80,74,6,318000,356000,-38000,-,
20/09/2024,31646541,31646539,11200,12300,10100,302158,3358,358,11000,11300,11300,11000,300,11089,11300,100.0,0.89,4648,3951,144042,53442,302158,3358,96,90,6,446200,355600,90600,-,
19/09/2024,31646541,31646539,11200,12300,10100,367700,4081,354,11200,11200,11200,11000,200,11098,11200,,,5875,5083,125800,140600,367700,4081,84,100,-16,493500,508300,-14800,-,
18/09/2024,31646541,31646539,11200,12300,10100,310611,3450,354,11200,11200,11200,11000,200,11104,11200,,,3638,4138,107789,107289,310611,3450,115,101,14,418400,417900,500,-,
17/09/2024,31646541,31646539,11000,12100,9900,185204,2040,354,11000,11200,11200,10900,300,11001,11200,200.0,1.82,3278,2501,86896,62396,185204,2040,83,99,-16,272100,247600,24500,-,
16/09/2024,31646541,31646539,11100,12200,10000,423805,4636,348,11000,11000,11000,10800,200,10930,11000,-100.0,-0.9,3120,3469,47295,86195,423805,4636,151,147,4,471100,510000,-38900,-,
13/09/2024,31646541,31646539,11200,12300,10100,538209,5973,351,11000,11100,11200,11000,200,11098,11100,-100.0,-0.89,4248,4860,145791,74091,538209,5973,161,126,35,684000,612300,71700,-,
