Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,37385983,37385983,8800,10100,7500,200,2.0,295,7900,7900,7900,7900,-,7900,7900,-900.0,-10.23,367,100,900.0,,200.0,2.0,3.0,2.0,1,1100.0,200.0,900,-,
26/09/2024,37385983,37385983,8800,10100,7500,-,,329,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,37385983,37385983,8800,10100,7500,-,,329,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,37385983,37385983,8800,10100,7500,-,,329,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,37385983,37385983,8800,10100,7500,-,,329,8800,8800,8800,8800,-,8800,8800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,37385983,37385983,8000,9200,6800,200,2.0,329,8800,8800,8800,8800,-,8800,8800,800.0,10.0,240,200,1000.0,800.0,200.0,2.0,5.0,5.0,-,1200.0,1000.0,200,-,
19/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
17/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
16/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,37385983,37385983,8000,9200,6800,200,2.0,299,7900,8000,8000,7900,100,7950,8000,,,550,67,2000.0,,200.0,2.0,4.0,3.0,1,2200.0,200.0,2000,-,
12/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
11/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
10/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
09/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
06/09/2024,37385983,37385983,8000,9200,6800,263692,1793.0,299,8000,8000,8000,8000,-,8000,8000,,,250,200,500.0,200.0,,,2.0,1.0,1,500.0,200.0,300,263692,1793.0
05/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
04/09/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
30/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,500,200,2000.0,200.0,,,4.0,1.0,3,2000.0,200.0,1800,-,
29/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
28/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
27/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
26/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
23/08/2024,37385983,37385983,8000,9200,6800,500,4.0,299,8000,8000,8000,8000,-,8000,8000,,,360,500,1300.0,,500.0,4.0,5.0,1.0,4,1800.0,500.0,1300,-,
22/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
21/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
20/08/2024,37385983,37385983,8000,9200,6800,-,,299,8000,8000,8000,8000,-,8000,8000,,,-,-,,,,,,,-,,,-,-,
