Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,17949098,17948210,25800,29600,22000,1200,31.0,467,26000,26000,26000,26000,-,26000,26000,200.0,0.78,493,510,6200,3900,1200.0,31.0,15,10,5,7400,5100,2300,-,
26/09/2024,17949098,17948210,25600,29400,21800,1011,26.0,461,26300,25700,26300,25700,600,25820,25700,100.0,0.39,338,1025,4389,7189,1011.0,26.0,16,8,8,5400,8200,-2800,-,
25/09/2024,17949098,17948210,26600,30500,22700,2000,51.0,459,25700,25600,25700,25600,100,25625,25600,-1000.0,-3.76,1273,7986,17100,53900,2000.0,51.0,15,7,8,19100,55900,-36800,-,
24/09/2024,17949098,17948210,26900,30900,22900,700,19.0,476,26600,26500,26600,26500,100,26586,26500,-400.0,-1.49,362,800,4000,4100,700.0,19.0,13,6,7,4700,4800,-100,-,
23/09/2024,17949098,17948210,26100,30000,22200,100,3.0,483,26900,26900,26900,26900,-,26900,26900,800.0,3.07,453,767,7600,4500,100.0,3.0,17,6,11,7700,4600,3100,-,
20/09/2024,17949098,17948210,26000,29900,22100,600,16.0,468,26000,26100,26100,26000,100,26050,26100,100.0,0.38,381,789,9300,6500,600.0,16.0,26,9,17,9900,7100,2800,-,
19/09/2024,17949098,17948210,26100,30000,22200,1200,31.0,470,26000,26200,26200,26000,200,26017,26200,100.0,0.38,627,771,8200,4200,1200.0,31.0,15,7,8,9400,5400,4000,-,
18/09/2024,17949098,17948210,27500,31600,23400,2900,76.0,467,27300,26000,27500,26000,1500,26141,26000,-1500.0,-5.45,592,535,12500,6200,2900.0,76.0,26,17,9,15400,9100,6300,-,
17/09/2024,17949098,17948210,24100,27700,20500,900,25.0,494,27500,27500,27500,27500,-,27500,27500,3400.0,14.11,404,400,8800,700,900.0,25.0,24,4,20,9700,1600,8100,-,
16/09/2024,17949098,17948210,27500,31600,23400,5600,135.0,494,23700,27500,27500,23700,3800,24107,27500,,,526,1020,12300,4600,5600.0,135.0,34,10,24,17900,10200,7700,-,
13/09/2024,17949098,17948210,26800,30800,22800,1100,30.0,494,27500,27500,27500,27500,-,27500,27500,700.0,2.61,391,875,3200,5900,1100.0,30.0,11,8,3,4300,7000,-2700,-,
12/09/2024,17949098,17948210,26200,30100,22300,1003,27.0,481,26800,26800,26800,26800,-,26800,26800,600.0,2.29,236,489,1597,3397,1003.0,27.0,11,9,2,2600,4400,-1800,-,
11/09/2024,17949098,17948210,26000,29900,22100,601,16.0,472,27000,26300,27000,26000,1000,26217,26300,300.0,1.15,392,314,4499,1599,601.0,16.0,13,7,6,5100,2200,2900,-,
10/09/2024,17949098,17948210,26100,30000,22200,2903,76.0,467,26100,26000,26100,26000,100,26034,26000,-100.0,-0.38,582,756,6997,3897,2903.0,76.0,17,9,8,9900,6800,3100,-,
09/09/2024,17949098,17948210,28000,32200,23800,2400,63.0,467,26100,26000,26100,26000,100,26063,26000,-2000.0,-7.14,414,342,3400,1700,2400.0,63.0,14,12,2,5800,4100,1700,-,
06/09/2024,17949098,17948210,28000,32200,23800,-,,503,28000,28000,28000,28000,-,28000,28000,,,325,388,2600,3100,,,8,8,-,2600,3100,-500,-,
05/09/2024,17949098,17948210,30000,34500,25500,803,22.0,503,28000,28000,28000,28000,-,28000,28000,-2000.0,-6.67,333,445,197,4097,803.0,22.0,3,11,-8,1000,4900,-3900,-,
04/09/2024,17949098,17948210,27000,31000,23000,111,3.0,538,30000,30000,30000,30000,-,30000,30000,3000.0,11.11,192,525,2189,6189,111.0,3.0,12,12,-,2300,6300,-4000,-,
30/08/2024,17949098,17948210,27000,31000,23000,8,0.0,485,27000,27000,27000,27000,-,27000,27000,,,343,689,2392,6192,8.0,0.0,7,9,-2,2400,6200,-3800,-,
29/08/2024,17949098,17948210,27000,31000,23000,6,0.0,485,27000,27000,27000,27000,-,27000,27000,,,289,622,2594,5594,6.0,0.0,9,9,-,2600,5600,-3000,-,
28/08/2024,17949098,17948210,27000,31000,23000,1500,41.0,485,27000,27000,27000,27000,-,27000,27000,,,318,773,2000,7000,1500.0,41.0,11,11,-,3500,8500,-5000,-,
27/08/2024,17949098,17948210,28500,32700,24300,2510,68.0,485,27000,27000,27100,27000,100,27020,27000,-1500.0,-5.26,540,689,190,9890,2510.0,68.0,5,18,-13,2700,12400,-9700,-,
26/08/2024,17949098,17948210,28500,32700,24300,212,6.0,512,28500,28500,28500,28500,-,28500,28500,,,613,669,4688,8488,212.0,6.0,8,13,-5,4900,8700,-3800,-,
23/08/2024,17949098,17948210,28500,32700,24300,1000,29.0,512,28500,28500,28500,28500,-,28500,28500,,,440,750,3400,8000,1000.0,29.0,10,12,-2,4400,9000,-4600,-,
22/08/2024,17949098,17948210,28400,32600,24200,1000,29.0,512,28500,28500,28500,28500,-,28500,28500,100.0,0.35,422,1273,2800,13000,1000.0,29.0,9,11,-2,3800,14000,-10200,-,
21/08/2024,17949098,17948210,28400,32600,24200,-,,510,28400,28400,28400,28400,-,28400,28400,,,278,531,2500,6900,,,9,13,-4,2500,6900,-4400,-,
20/08/2024,17949098,17948210,28300,32500,24100,1000,28.0,508,28400,28300,28400,28300,100,28390,28300,,,393,944,4900,14100,1000.0,28.0,15,16,-1,5900,15100,-9200,-,
