Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5964000,5964000,140000,161000,119000,400,62.0,924,154900,154900,154900,154900,-,154900,154900,14900.0,10.64,191,1733,1700.0,20400.0,400.0,62.0,11.0,12.0,-1,2100.0,20800.0,-18700,-,
26/09/2024,5964000,5964000,145000,166700,123300,200,28.0,835,140000,140000,140000,140000,-,140000,140000,-5000.0,-3.45,189,520,1500.0,5000.0,200.0,28.0,9.0,10.0,-1,1700.0,5200.0,-3500,-,
25/09/2024,5964000,5964000,145000,166700,123300,-,,865,145000,145000,145000,145000,-,145000,145000,,,117,444,700.0,4000.0,,,6.0,9.0,-3,700.0,4000.0,-3300,-,
24/09/2024,5964000,5964000,145000,166700,123300,-,,865,145000,145000,145000,145000,-,145000,145000,,,100,400,700.0,2000.0,,,7.0,5.0,2,700.0,2000.0,-1300,-,
23/09/2024,5964000,5964000,145000,166700,123300,-,,865,145000,145000,145000,145000,-,145000,145000,,,180,188,900.0,1500.0,,,5.0,8.0,-3,900.0,1500.0,-600,-,
20/09/2024,5964000,5964000,147300,169300,125300,100,15.0,865,145000,145000,145000,145000,-,145000,145000,-2300.0,-1.56,120,2160,500.0,21500.0,100.0,15.0,5.0,10.0,-5,600.0,21600.0,-21000,-,
19/09/2024,5964000,5964000,147300,169300,125300,-,,878,147300,147300,147300,147300,-,147300,147300,,,100,813,500.0,6500.0,,,5.0,8.0,-3,500.0,6500.0,-6000,-,
18/09/2024,5964000,5964000,148000,170200,125800,400,59.0,877,148000,147000,148000,147000,1000,147250,147000,-1000.0,-0.68,150,150,500.0,1400.0,400.0,59.0,6.0,12.0,-6,900.0,1800.0,-900,-,
17/09/2024,5964000,5964000,148000,170200,125800,-,,883,148000,148000,148000,148000,-,148000,148000,,,200,475,400.0,3800.0,,,2.0,8.0,-6,400.0,3800.0,-3400,-,
16/09/2024,5964000,5964000,148000,170200,125800,-,,883,148000,148000,148000,148000,-,148000,148000,,,200,450,600.0,3600.0,,,3.0,8.0,-5,600.0,3600.0,-3000,-,
13/09/2024,5964000,5964000,141700,162900,120500,2600,385.0,894,150000,149900,150000,141700,8300,148015,149900,8200.0,5.79,246,657,600.0,6600.0,2600.0,385.0,13.0,14.0,-1,3200.0,9200.0,-6000,-,
12/09/2024,5964000,5964000,156700,180200,133200,300,43.0,835,145000,140000,145000,140000,5000,141667,140000,-16700.0,-10.66,520,931,2300.0,11800.0,300.0,43.0,5.0,13.0,-8,2600.0,12100.0,-9500,-,
11/09/2024,5964000,5964000,156700,180200,133200,562620,89738.0,935,156700,156700,156700,156700,-,156700,156700,,,100,1289,400.0,11600.0,,,4.0,9.0,-5,400.0,11600.0,-11200,562620,89738.0
10/09/2024,5964000,5964000,156700,180200,133200,-,,935,156700,156700,156700,156700,-,156700,156700,,,33,1230,100.0,12300.0,,,3.0,10.0,-7,100.0,12300.0,-12200,-,
09/09/2024,5964000,5964000,156700,180200,133200,-,,935,156700,156700,156700,156700,-,156700,156700,,,25,550,100.0,6600.0,,,4.0,12.0,-8,100.0,6600.0,-6500,-,
06/09/2024,5964000,5964000,184300,211900,156700,103,16.0,935,156700,156700,156700,156700,-,156700,156700,-27600.0,-14.98,100,983,,11697.0,103.0,16.0,1.0,12.0,-11,100.0,11800.0,-11700,-,
05/09/2024,5964000,5964000,175100,201300,148900,200,37.0,1100,184000,184500,184500,184000,500,184250,184500,9400.0,5.37,75,400,100.0,8200.0,200.0,37.0,4.0,21.0,-17,300.0,8400.0,-8100,-,
04/09/2024,5964000,5964000,175100,201300,148900,-,,1044,175100,175100,175100,175100,-,175100,175100,,,-,844,,7600.0,,,,9.0,-9,,7600.0,-7600,-,
30/08/2024,5964000,5964000,157700,181300,134100,2700,473.0,941,157700,157700,181300,157700,23600,175096,157700,,,333,513,300.0,9600.0,2700.0,473.0,9.0,24.0,-15,3000.0,12300.0,-9300,-,
29/08/2024,5964000,5964000,142000,163300,120700,1500,236.0,895,142000,150000,163300,142000,21300,157653,150000,8000.0,5.63,208,296,1200.0,5600.0,1500.0,236.0,13.0,24.0,-11,2700.0,7100.0,-4400,-,
28/08/2024,5964000,5964000,135100,155300,114900,100,14.0,847,142000,142000,142000,142000,-,142000,142000,6900.0,5.11,183,425,1000.0,5000.0,100.0,14.0,6.0,12.0,-6,1100.0,5100.0,-4000,-,
27/08/2024,5964000,5964000,135000,155200,114800,4800,648.0,834,134900,139900,139900,134900,5000,135088,139900,4900.0,3.63,738,485,1100.0,1500.0,4800.0,648.0,8.0,13.0,-5,5900.0,6300.0,-400,-,
26/08/2024,5964000,5964000,125000,143700,106300,100,14.0,805,135000,135000,135000,135000,-,135000,135000,10000.0,8.0,267,470,2300.0,4600.0,100.0,14.0,9.0,10.0,-1,2400.0,4700.0,-2300,-,
23/08/2024,5964000,5964000,127000,146000,108000,200,25.0,746,125000,125000,125000,125000,-,125000,125000,-2000.0,-1.57,209,500,2100.0,3300.0,200.0,25.0,11.0,7.0,4,2300.0,3500.0,-1200,-,
22/08/2024,5964000,5964000,127000,146000,108000,100,13.0,757,127000,127000,127000,127000,-,127000,127000,,,222,557,1900.0,3800.0,100.0,13.0,9.0,7.0,2,2000.0,3900.0,-1900,-,
21/08/2024,5964000,5964000,127000,146000,108000,-,,757,127000,127000,127000,127000,-,127000,127000,,,210,740,2100.0,3700.0,,,10.0,5.0,5,2100.0,3700.0,-1600,-,
20/08/2024,5964000,5964000,130000,149500,110500,1000,127.0,740,128400,124000,128400,124000,4400,126990,124000,-6000.0,-4.62,269,675,2500.0,4400.0,1000.0,127.0,13.0,8.0,5,3500.0,5400.0,-1900,-,
19/08/2024,5964000,5964000,132000,151800,112200,1700,221.0,769,141000,129000,141000,128300,12700,129959,129000,-3000.0,-2.27,407,946,4000.0,10600.0,1700.0,221.0,14.0,13.0,1,5700.0,12300.0,-6600,-,
16/08/2024,5964000,5964000,139200,160000,118400,1100,145.0,787,132000,132000,132000,132000,-,132000,132000,-7200.0,-5.17,780,1700,6700.0,12500.0,1100.0,145.0,10.0,8.0,2,7800.0,13600.0,-5800,-,
15/08/2024,5964000,5964000,136700,157200,116200,600,84.0,805,140000,135000,140000,135000,5000,139167,135000,-1700.0,-1.24,227,1313,1900.0,9900.0,600.0,84.0,11.0,8.0,3,2500.0,10500.0,-8000,-,
14/08/2024,5964000,5964000,147000,169000,125000,600,82.0,811,136100,136000,140000,136000,4000,136733,136000,-11000.0,-7.48,192,1833,1700.0,15900.0,600.0,82.0,12.0,9.0,3,2300.0,16500.0,-14200,-,
13/08/2024,5964000,5964000,129000,148300,109700,200,29.0,877,147000,147000,147000,147000,-,147000,147000,18000.0,13.95,185,100,2200.0,600.0,200.0,29.0,13.0,8.0,5,2400.0,800.0,1600,-,
12/08/2024,5964000,5964000,129000,148300,109700,-,,769,129000,129000,129000,129000,-,129000,129000,,,275,1733,2200.0,5200.0,,,8.0,3.0,5,2200.0,5200.0,-3000,-,
09/08/2024,5964000,5964000,129000,148300,109700,-,,769,129000,129000,129000,129000,-,129000,129000,,,271,10033,1900.0,30100.0,,,7.0,3.0,4,1900.0,30100.0,-28200,-,
08/08/2024,5964000,5964000,129000,148300,109700,-,,769,129000,129000,129000,129000,-,129000,129000,,,250,2550,3500.0,5100.0,,,14.0,2.0,12,3500.0,5100.0,-1600,-,
