Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15731260,15731260,19900,21800,18000,-,,313,19900,19900,19900,19900,-,19900,19900,,,-,417,,2500.0,,,,6.0,-6,,2500.0,-2500,-,
26/09/2024,15731260,15731260,19900,21800,18000,-,,313,19900,19900,19900,19900,-,19900,19900,,,-,933,,2800.0,,,,3.0,-3,,2800.0,-2800,-,
25/09/2024,15731260,15731260,19900,21800,18000,-,,313,19900,19900,19900,19900,-,19900,19900,,,-,325,,1300.0,,,,4.0,-4,,1300.0,-1300,-,
24/09/2024,15731260,15731260,19900,21800,18000,3,0.0,313,19900,19900,19900,19900,-,19900,19900,,,200,300,197.0,597.0,3.0,0.0,1.0,2.0,-1,200.0,600.0,-400,-,
23/09/2024,15731260,15731260,18100,19900,16300,100,2.0,313,19900,19900,19900,19900,-,18100,19900,1800.0,9.94,175,600,600.0,500.0,100.0,2.0,4.0,1.0,3,700.0,600.0,100,-,
20/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,133,100,400.0,100.0,,,3.0,1.0,2,400.0,100.0,300,-,
19/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,175,600,700.0,600.0,,,4.0,1.0,3,700.0,600.0,100,-,
18/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
17/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
16/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,200,-,400.0,,,,2.0,,2,400.0,,400,-,
13/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,150,-,600.0,,,,4.0,,4,600.0,,600,-,
12/09/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,200,-,800.0,,,,4.0,,4,800.0,,800,-,
11/09/2024,15731260,15731260,17900,19600,16200,100,2.0,285,18100,18100,18100,18100,-,18100,18100,200.0,1.12,138,100,1000.0,,100.0,2.0,8.0,1.0,7,1100.0,100.0,1000,-,
10/09/2024,15731260,15731260,17900,19600,16200,-,,282,17900,17900,17900,17900,-,17900,17900,,,157,-,1100.0,,,,7.0,,7,1100.0,,1100,-,
09/09/2024,15731260,15731260,19600,21500,17700,200,4.0,282,18000,17900,18000,17900,100,17950,17900,-1700.0,-8.67,140,267,1200.0,600.0,200.0,4.0,10.0,3.0,7,1400.0,800.0,600,-,
06/09/2024,15731260,15731260,19600,21500,17700,-,,308,19600,19600,19600,19600,-,19600,19600,,,100,-,500.0,,,,5.0,,5,500.0,,500,-,
05/09/2024,15731260,15731260,19600,21500,17700,-,,308,19600,19600,19600,19600,-,19600,19600,,,100,600,400.0,600.0,,,4.0,1.0,3,400.0,600.0,-200,-,
04/09/2024,15731260,15731260,17900,19600,16200,2000,39.0,308,19600,19600,19600,19600,-,19600,19600,1700.0,9.5,289,1075,600.0,2300.0,2000.0,39.0,9.0,4.0,5,2600.0,4300.0,-1700,-,
30/08/2024,15731260,15731260,17900,19600,16200,-,,282,17900,17900,17900,17900,-,17900,17900,,,117,-,700.0,,,,6.0,,6,700.0,,700,-,
29/08/2024,15731260,15731260,17900,19600,16200,100,2.0,282,17900,17900,17900,17900,-,17900,17900,,,200,100,500.0,,100.0,2.0,3.0,1.0,2,600.0,100.0,500,-,
28/08/2024,15731260,15731260,17900,19600,16200,200,4.0,282,17900,17900,17900,17900,-,17900,17900,,,300,150,400.0,100.0,200.0,4.0,2.0,2.0,-,600.0,300.0,300,-,
27/08/2024,15731260,15731260,17900,19600,16200,109,2.0,282,17900,17900,17900,17900,-,17900,17900,,,350,100,591.0,91.0,109.0,2.0,2.0,2.0,-,700.0,200.0,500,-,
26/08/2024,15731260,15731260,17900,19600,16200,1,0.0,282,17900,17900,17900,17900,-,17900,17900,,,250,100,999.0,99.0,1.0,0.0,4.0,1.0,3,1000.0,100.0,900,-,
23/08/2024,15731260,15731260,17900,19600,16200,200,4.0,282,18000,17900,18000,17900,100,17950,17900,,,250,150,800.0,100.0,200.0,4.0,4.0,2.0,2,1000.0,300.0,700,-,
22/08/2024,15731260,15731260,17900,19600,16200,201,4.0,282,17900,17900,17900,17900,-,17900,17900,,,333,75,799.0,99.0,201.0,4.0,3.0,4.0,-1,1000.0,300.0,700,-,
21/08/2024,15731260,15731260,16300,17900,14700,400,7.0,282,17900,17900,17900,17900,-,17900,17900,1600.0,9.82,229,80,1200.0,,400.0,7.0,7.0,5.0,2,1600.0,400.0,1200,-,
20/08/2024,15731260,15731260,14900,16300,13500,100,2.0,256,16300,16300,16300,16300,-,16300,16300,1400.0,9.4,222,100,1900.0,,100.0,2.0,9.0,1.0,8,2000.0,100.0,1900,-,
19/08/2024,15731260,15731260,14900,16300,13500,-,,234,14900,14900,14900,14900,-,14900,14900,,,267,-,1600.0,,,,6.0,,6,1600.0,,1600,-,
16/08/2024,15731260,15731260,14900,16300,13500,-,,234,14900,14900,14900,14900,-,14900,14900,,,214,-,1500.0,,,,7.0,,7,1500.0,,1500,-,
15/08/2024,15731260,15731260,14900,16300,13500,-,,234,14900,14900,14900,14900,-,14900,14900,,,170,-,1700.0,,,,10.0,,10,1700.0,,1700,-,
14/08/2024,15731260,15731260,16500,18100,14900,3377,51.0,234,16500,14900,16500,14900,1600,15027,14900,-1600.0,-9.7,767,1700,3523.0,23.0,3377.0,51.0,9.0,2.0,7,6900.0,3400.0,3500,-,
13/08/2024,15731260,15731260,18100,19900,16300,400,7.0,260,16500,16500,16500,16500,-,16500,16500,-1600.0,-8.84,175,933,300.0,2400.0,400.0,7.0,4.0,3.0,1,700.0,2800.0,-2100,-,
12/08/2024,15731260,15731260,18100,19900,16300,2100,38.0,285,18000,18100,18100,18000,100,18005,18100,,,733,1250,100.0,400.0,2100.0,38.0,3.0,2.0,1,2200.0,2500.0,-300,-,
09/08/2024,15731260,15731260,18100,19900,16300,2,0.0,285,18100,18100,18100,18100,-,18100,18100,,,100,1400,98.0,2798.0,2.0,0.0,1.0,2.0,-1,100.0,2800.0,-2700,-,
08/08/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,100,1200,200.0,2400.0,,,2.0,2.0,-,200.0,2400.0,-2200,-,
07/08/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,400,100,1200.0,100.0,,,3.0,1.0,2,1200.0,100.0,1100,-,
06/08/2024,15731260,15731260,18100,19900,16300,3,0.0,285,18100,18100,18100,18100,-,18100,18100,,,100,2300,97.0,2297.0,3.0,0.0,1.0,1.0,-,100.0,2300.0,-2200,-,
05/08/2024,15731260,15731260,18100,19900,16300,-,,285,18100,18100,18100,18100,-,18100,18100,,,300,100,1200.0,100.0,,,4.0,1.0,3,1200.0,100.0,1100,-,
02/08/2024,15731260,15731260,18100,19900,16300,200,4.0,285,18100,18100,18100,18100,-,18100,18100,,,150,200,100.0,,200.0,4.0,2.0,1.0,1,300.0,200.0,100,-,
01/08/2024,15731260,15731260,18100,19900,16300,66,1.0,285,18100,18100,18100,18100,-,18100,18100,,,200,-,734.0,,66.0,1.0,4.0,,4,800.0,,800,-,
31/07/2024,15731260,15731260,16500,18100,14900,200,4.0,285,18100,18100,18100,18100,-,18100,18100,1600.0,9.7,100,100,200.0,,200.0,4.0,4.0,2.0,2,400.0,200.0,200,-,
30/07/2024,15731260,15731260,16500,18100,14900,-,,260,16500,16500,16500,16500,-,16500,16500,,,50,-,100.0,,,,2.0,,2,100.0,,100,-,
29/07/2024,15731260,15731260,16500,18100,14900,1,0.0,260,16500,16500,16500,16500,-,16500,16500,,,100,-,199.0,,1.0,0.0,2.0,,2,200.0,,200,-,
26/07/2024,15731260,15731260,15000,16500,13500,200,3.0,260,16500,16500,16500,16500,-,16500,16500,1500.0,10.0,100,200,100.0,,200.0,3.0,3.0,1.0,2,300.0,200.0,100,-,
25/07/2024,15731260,15731260,15000,16500,13500,-,,236,15000,15000,15000,15000,-,15000,15000,,,100,-,300.0,,,,3.0,,3,300.0,,300,-,
24/07/2024,15731260,15731260,15000,16500,13500,-,,236,15000,15000,15000,15000,-,15000,15000,,,433,-,1300.0,,,,3.0,,3,1300.0,,1300,-,
23/07/2024,15731260,15731260,15000,16500,13500,-,,236,15000,15000,15000,15000,-,15000,15000,,,400,-,1200.0,,,,3.0,,3,1200.0,,1200,-,
