Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,9490841,9490841,54300,62400,46200,600,32.0,513,54100,54000,54100,54000,100,54017,54000,-300.0,-0.55,171,267,1800.0,1800.0,600.0,32.0,14,9.0,5,2400.0,2400.0,-,-,
26/09/2024,9490841,9490841,54100,62200,46000,100,5.0,515,54300,54300,54300,54300,-,54300,54300,200.0,0.37,300,260,4700.0,2500.0,100.0,5.0,16,10.0,6,4800.0,2600.0,2200,-,
25/09/2024,9490841,9490841,56800,65300,48300,300,16.0,518,53100,54600,54600,53100,1500,54100,54600,-2200.0,-3.87,195,206,4000.0,3200.0,300.0,16.0,22,17.0,5,4300.0,3500.0,800,-,
24/09/2024,9490841,9490841,54200,62300,46100,2200,115.0,539,56800,56800,56800,56800,-,56800,56800,2600.0,4.8,206,400,3100.0,3000.0,200.0,11.0,16,8.0,8,3300.0,3200.0,100,2000,104.0
23/09/2024,9490841,9490841,54200,62300,46100,-,,514,54200,54200,54200,54200,-,54200,54200,,,207,300,2900.0,3000.0,,,14,10.0,4,2900.0,3000.0,-100,-,
20/09/2024,9490841,9490841,54200,62300,46100,-,,514,54200,54200,54200,54200,-,54200,54200,,,300,321,4500.0,4500.0,,,15,14.0,1,4500.0,4500.0,-,-,
19/09/2024,9490841,9490841,54200,62300,46100,300,16.0,541,52800,57000,57000,52800,4200,54200,57000,2800.0,5.17,200,578,4900.0,4900.0,300.0,16.0,26,9.0,17,5200.0,5200.0,-,-,
18/09/2024,9490841,9490841,54200,62300,46100,-,,514,54200,54200,54200,54200,-,54200,54200,,,231,160,3000.0,800.0,,,13,5.0,8,3000.0,800.0,2200,-,
17/09/2024,9490841,9490841,54200,62300,46100,-,,514,54200,54200,54200,54200,-,54200,54200,,,273,213,3000.0,1700.0,,,11,8.0,3,3000.0,1700.0,1300,-,
16/09/2024,9490841,9490841,55200,63400,47000,1400,76.0,513,57300,54000,57300,54000,3300,54236,54000,-1200.0,-2.17,361,483,5100.0,4400.0,1400.0,76.0,18,12.0,6,6500.0,5800.0,700,-,
13/09/2024,9490841,9490841,53900,61900,45900,300,17.0,525,55100,55300,55300,55100,200,55200,55300,1400.0,2.6,450,500,6900.0,4200.0,300.0,17.0,16,9.0,7,7200.0,4500.0,2700,-,
12/09/2024,9490841,9490841,53900,61900,45900,2900,156.0,512,53900,53900,53900,53800,100,53897,53900,,,353,850,3800.0,500.0,2900.0,156.0,19,4.0,15,6700.0,3400.0,3300,-,
11/09/2024,9490841,9490841,53900,61900,45900,1,0.0,512,53900,53900,53900,53900,-,53900,53900,,,345,150,3799.0,899.0,1.0,0.0,11,6.0,5,3800.0,900.0,2900,-,
10/09/2024,9490841,9490841,53900,61900,45900,2500,132.0,512,54000,53900,54100,53900,200,53945,53900,,,258,125,2000.0,1400.0,1100.0,59.0,12,20.0,-8,3100.0,2500.0,600,1400,73.0
09/09/2024,9490841,9490841,54100,62200,46000,4601,248.0,513,54100,54100,54100,53800,300,53924,54100,,,179,204,1299.0,899.0,4601.0,248.0,33,27.0,6,5900.0,5500.0,400,-,
06/09/2024,9490841,9490841,52800,60700,44900,300,16.0,515,53900,54300,54300,53900,400,54133,54300,1500.0,2.84,138,205,1500.0,4200.0,300.0,16.0,13,22.0,-9,1800.0,4500.0,-2700,-,
05/09/2024,9490841,9490841,52800,60700,44900,-,,501,52800,52800,52800,52800,-,52800,52800,,,115,375,1500.0,6000.0,,,13,16.0,-3,1500.0,6000.0,-4500,-,
04/09/2024,9490841,9490841,56600,65000,48200,100,5.0,501,52800,52800,52800,52800,-,52800,52800,-3800.0,-6.71,189,260,3300.0,3800.0,100.0,5.0,18,15.0,3,3400.0,3900.0,-500,-,
30/08/2024,9490841,9490841,53800,61800,45800,700,40.0,538,55900,56700,56700,55900,800,56586,56700,2900.0,5.39,160,171,1700.0,1700.0,700.0,40.0,15,14.0,1,2400.0,2400.0,-,-,
29/08/2024,9490841,9490841,53800,61800,45800,-,,511,53800,53800,53800,53800,-,53800,53800,,,313,250,4700.0,2500.0,,,15,10.0,5,4700.0,2500.0,2200,-,
