Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,24000000,24000000,7980,8530,7430,547500,4385,192,8090,7980,8200,7810,390,8009,8000,,,3666,4285,8700.0,83800.0,547500,4385,274.0,263.0,11,1004400.0,1127000.0,-122600,-,
26/09/2024,24000000,24000000,8050,8610,7490,362200,2854,192,8030,7980,8030,7600,430,7880,8000,-70.0,-0.87,2514,3544,10400.0,29600.0,362200,2854,262.0,199.0,63,658700.0,705300.0,-46600,-,
25/09/2024,24000000,24000000,8100,8660,7540,399700,3181,193,8100,8050,8100,7890,210,7958,8100,-50.0,-0.62,2365,3728,11600.0,6500.0,399700,3181,286.0,199.0,87,676400.0,741900.0,-65500,-,
24/09/2024,24000000,24000000,8150,8720,7580,347200,2809,194,8150,8100,8200,8000,200,8090,8100,-50.0,-0.61,2478,1652,3900.0,8000.0,347200,2809,245.0,437.0,-192,607200.0,722000.0,-114800,-,
23/09/2024,24000000,24000000,7660,8190,7130,996300,7877,196,7570,8150,8180,7570,610,7906,8200,490.0,6.4,2913,2809,20500.0,198600.0,996300,7877,487.0,524.0,-37,1418700.0,1471900.0,-53200,-,
20/09/2024,24000000,24000000,7780,8320,7240,100400,775,184,7780,7660,7810,7660,150,7719,7700,-120.0,-1.54,2502,2890,36700.0,44500.0,100400,775,92.0,163.0,-71,230200.0,471000.0,-240800,-,
19/09/2024,24000000,24000000,7880,8430,7330,499200,3843,187,7880,7780,7880,7560,320,7698,7800,-100.0,-1.27,2061,3959,10700.0,1200.0,499200,3843,434.0,276.0,158,894600.0,1092700.0,-198100,-,
18/09/2024,24000000,24000000,7860,8410,7310,366000,2881,189,7860,7880,8000,7800,200,7872,7900,20.0,0.25,2740,3118,14100.0,56300.0,366000,2881,272.0,276.0,-4,745400.0,860700.0,-115300,-,
17/09/2024,24000000,24000000,7980,8530,7430,160500,1262,189,7720,7860,7980,7720,260,7863,7900,-120.0,-1.5,2298,2210,4200.0,30400.0,160500,1262,176.0,261.0,-85,404400.0,576700.0,-172300,-,
