Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20693437,20693437,5100,5600,4600,118610,617,108,5200,5200,5300,5100,200,5200,5200,100.0,1.96,2558,2876,144890.0,108590.0,118610,617,103,79,24,263500,227200,36300,-,
26/09/2024,20693437,20693437,5200,5700,4700,195450,1001,106,5200,5100,5200,5100,100,5123,5100,-100.0,-1.92,1879,4383,184050.0,89450.0,195450,1001,202,65,137,379500,284900,94600,-,
25/09/2024,20693437,20693437,5400,5900,4900,159030,836,108,5400,5200,5400,5200,200,5260,5200,-200.0,-3.7,1997,4542,72670.0,145270.0,159030,836,116,67,49,231700,304300,-72600,-,
24/09/2024,20693437,20693437,5200,5700,4700,56111,297,112,5300,5400,5400,5200,200,5292,5400,200.0,3.85,1719,2787,91689.0,91589.0,56111,297,86,53,33,147800,147700,100,-,
23/09/2024,20693437,20693437,5400,5900,4900,70810,372,108,5400,5200,5400,5200,200,5269,5200,-200.0,-3.7,1994,3451,134590.0,118990.0,70810,372,103,55,48,205400,189800,15600,-,
20/09/2024,20693437,20693437,5400,5900,4900,42003,227,112,5500,5400,5500,5300,200,5399,5400,,,3494,2693,209597.0,108797.0,42003,227,72,56,16,251600,150800,100800,-,
19/09/2024,20693437,20693437,5500,6000,5000,106708,578,112,5500,5400,5500,5400,100,5414,5400,-100.0,-1.82,3200,4274,168492.0,188192.0,106708,578,86,69,17,275200,294900,-19700,-,
18/09/2024,20693437,20693437,5600,6100,5100,74102,411,114,5600,5500,5700,5400,300,5545,5500,-100.0,-1.79,3254,2911,166698.0,257698.0,74102,411,74,114,-40,240800,331800,-91000,-,
17/09/2024,20693437,20693437,5200,5700,4700,245660,1363,116,5300,5600,5700,5300,400,5545,5600,400.0,7.69,3455,2495,189640.0,53740.0,245660,1363,126,120,6,435300,299400,135900,-,
16/09/2024,20693437,20693437,5200,5700,4700,124305,651,108,5200,5200,5400,5200,200,5239,5200,,,3596,2904,156195.0,107995.0,124305,651,78,80,-2,280500,232300,48200,-,
13/09/2024,20693437,20693437,5400,5900,4900,48123,250,108,5500,5200,5500,5200,300,5205,5200,-200.0,-3.7,1782,2158,78377.0,124477.0,48123,250,71,80,-9,126500,172600,-46100,-,
