Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,142532284,129575334,64900,71300,58500,504591,32395,8293,64800,64000,65200,64000,1200,64242,64000,-900.0,-1.39,812,1396,164509,275509.0,504591,32395,824,559,265,669100,780100,-111000,-,
26/09/2024,142532284,129575334,65500,72000,59000,522141,33901,8409,65500,64900,65600,64600,1000,64929,64900,-600.0,-0.92,875,1321,341759,250359.0,522141,33901,987,585,402,863900,772500,91400,-,
25/09/2024,142532284,129575334,66200,72800,59600,649429,42366,8487,66300,65500,66400,64700,1700,65222,65500,-700.0,-1.06,915,1279,383071,332471.0,649429,42366,1129,768,361,1032500,981900,50600,-,
24/09/2024,142532284,129575334,65300,71800,58800,362260,23703,8578,65300,66200,66400,64800,1600,65389,66200,900.0,1.38,1037,1110,270340,306040.0,362260,23703,610,602,8,632600,668300,-35700,-,
23/09/2024,142532284,129575334,66400,73000,59800,484061,31572,8461,66500,65300,66700,64600,2100,65222,65300,-1100.0,-1.66,696,990,225039,205839.0,484061,31572,1019,697,322,709100,689900,19200,-,
20/09/2024,142532284,129575334,66400,73000,59800,649676,43188,8604,67000,66400,67500,65700,1800,66484,66400,,,1047,1186,152224,611324.0,649676,43188,766,1063,-297,801900,1261000,-459100,-,
19/09/2024,142532284,129575334,63900,70200,57600,922187,60797,8604,63500,66400,67400,63500,3900,65917,66400,2500.0,3.91,931,916,337013,339313.0,922187,60797,1352,1377,-25,1259200,1261500,-2300,-,
18/09/2024,142532284,129575334,64000,70400,57600,831146,53779,8280,63200,63900,65800,63200,2600,64924,63900,-100.0,-0.16,881,1382,192054,537454.0,781146,50679,1105,954,151,973200,1318600,-345400,50000,3100.0
17/09/2024,142532284,129575334,70000,77000,63000,2363315,155487,8293,70000,64000,70000,63200,6800,65867,64000,-6000.0,-8.57,758,1350,243485,245885.0,2363315,155487,3441,1933,1508,2606800,2609200,-2400,-,
16/09/2024,142532284,129575334,71300,78400,64200,939689,66870,9070,71400,70000,72900,69900,3000,71271,70000,-1300.0,-1.82,955,1250,107711,276111.0,939689,66870,1097,973,124,1047400,1215800,-168400,-,
13/09/2024,142532284,129575334,71700,78800,64600,450002,32274,9239,71700,71300,72500,71200,1300,71761,71300,-400.0,-0.56,891,1068,181498,324598.0,450002,32274,709,725,-16,631500,774600,-143100,-,
12/09/2024,142532284,129575334,69200,76100,62300,1616157,116602,9291,68500,71700,73700,68500,5200,72187,71700,2500.0,3.61,1010,1170,189643,316043.0,1589157,114698,1761,1628,133,1778800,1905200,-126400,27000,1904.0
11/09/2024,142532284,129575334,68700,75500,61900,559518,38531,8967,68800,69200,70200,67400,2800,68859,69200,500.0,0.73,909,1033,169182,375182.0,559518,38531,802,905,-103,728700,934700,-206000,-,
10/09/2024,142532284,129575334,67300,74000,60600,992096,68595,8902,67800,68700,70500,67300,3200,69165,68700,1400.0,2.08,1063,1050,199604,429604.0,992096,68595,1121,1354,-233,1191700,1421700,-230000,-,
09/09/2024,142532284,129575334,68500,75300,61700,179997,12190,8720,68000,67300,68400,67300,1100,67767,67300,-1200.0,-1.75,823,1028,174703,186903.0,179997,12190,431,357,74,354700,366900,-12200,-,
06/09/2024,142532284,129575334,66400,73000,59800,330440,22079,8876,66500,68500,68500,65300,3200,66687,68500,2100.0,3.16,722,720,253060,136860.0,330440,22079,808,649,159,583500,467300,116200,-,
05/09/2024,142532284,129575334,67900,74600,61200,443258,29839,8604,67900,66400,69000,65000,4000,67375,66400,-1500.0,-2.21,699,1076,183142,286242.0,443258,29839,896,678,218,626400,729500,-103100,-,
04/09/2024,142532284,129575334,69500,76400,62600,520691,35419,8798,68500,67900,68900,67300,1600,68032,67900,-1600.0,-2.3,669,957,165709,159809.0,520691,35419,1026,711,315,686400,680500,5900,-,
30/08/2024,142532284,129575334,68700,75500,61900,303028,20985,9005,68700,69500,70100,68100,2000,69228,69500,800.0,1.16,731,758,171172,268072.0,303028,20985,649,753,-104,474200,571100,-96900,-,
29/08/2024,142532284,129575334,68900,75700,62100,136623,9366,8902,69900,68700,69900,68100,1800,68547,68700,-200.0,-0.29,651,752,196077,242977.0,136623,9366,511,505,6,332700,379600,-46900,-,
28/08/2024,142532284,129575334,70400,77400,63400,257921,17852,8928,71000,68900,71000,68700,2300,69238,68900,-1500.0,-2.13,593,987,174779,330079.0,257921,17852,730,596,134,432700,588000,-155300,-,
27/08/2024,142532284,129575334,67700,74400,61000,746895,51560,9122,67700,70400,70400,67500,2900,68971,70400,2700.0,3.99,983,972,247905,156605.0,746895,51560,1012,930,82,994800,903500,91300,-,
26/08/2024,142532284,129575334,69400,76300,62500,468580,32014,8772,69600,67700,71400,67000,4400,68365,67700,-1700.0,-2.45,593,1112,194720,231020.0,468580,32014,1118,629,489,663300,699600,-36300,-,
23/08/2024,142532284,129575334,70400,77400,63400,420998,29469,8993,70400,69400,71500,69300,2200,70027,69400,-1000.0,-1.42,667,886,122902,247602.0,420998,29469,815,755,60,543900,668600,-124700,-,
22/08/2024,142532284,129575334,70300,77300,63300,550773,39213,9122,70800,70400,73600,70300,3300,71250,70400,100.0,0.14,672,1120,99327,501227.0,550773,39213,967,939,28,650100,1052000,-401900,-,
21/08/2024,142532284,129575334,69700,76600,62800,891186,62009,9109,68600,70300,71500,68300,3200,69693,70300,600.0,0.86,698,1534,238414,435414.0,841186,58634,1546,832,714,1079600,1276600,-197000,50000,3375.0
20/08/2024,142532284,129575334,70900,77900,63900,761970,53251,9031,70900,69700,72500,68700,3800,69890,69700,-1200.0,-1.69,715,1850,185630,481030.0,761970,53251,1326,672,654,947600,1243000,-295400,-,
19/08/2024,142532284,129575334,70900,77900,63900,707596,50498,9187,72300,70900,73100,69300,3800,71380,70900,,,819,1418,318804,560504.0,707596,50498,1254,894,360,1026400,1268100,-241700,-,
16/08/2024,129575334,129575334,64500,70900,58100,1576950,108960,9187,64000,70900,70900,63800,7100,69147,70900,6400.0,9.92,1594,1463,754450,,1556950,107668,1450,1063,387,2311400,1554900,756500,20000,1292.0
15/08/2024,129575334,129575334,64000,70400,57600,412869,26464,8358,64000,64500,66000,62500,3500,64064,64500,500.0,0.78,851,958,141431,184031.0,412869,26464,651,623,28,554300,596900,-42600,-,
14/08/2024,129575334,129575334,61300,67400,55200,1081483,69427,8293,62000,64000,65400,61900,3500,64200,64000,2700.0,4.4,1011,1254,115917,358117.0,1081483,69427,1184,1148,36,1197400,1439600,-242200,-,
13/08/2024,129575334,129575334,61800,67900,55700,225979,13770,7943,61800,61300,61800,60300,1500,60903,61300,-500.0,-0.81,606,1112,115921,213121.0,225979,13770,564,395,169,341900,439100,-97200,-,
12/08/2024,129575334,129575334,60300,66300,54300,333856,20398,8008,60400,61800,62200,59500,2700,61063,61800,1500.0,2.49,721,1034,155144,226544.0,333856,20398,678,542,136,489000,560400,-71400,-,
09/08/2024,129575334,129575334,60000,66000,54000,535854,32906,7813,60100,60300,63100,60100,3000,61474,60300,300.0,0.5,905,1224,102846,440846.0,535854,32906,706,798,-92,638700,976700,-338000,-,
