Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2054824294,2465789152,12000,12800,11200,4165700,50629,29713,12150,12050,12350,12000,350,12154,12100,50.0,0.42,4179,3569,318200,87400,4165700,50629,2342.0,2665.0,-323,9787800.0,9510700.0,277100,-,
26/09/2024,2054824294,2465789152,11650,12450,10850,4932800,58812,29589,11700,12000,12200,11650,550,11923,12000,350.0,3.0,5275,5000,189700,868400,4932800,58812,2270.0,1964.0,306,11973500.0,9820200.0,2153300,-,
25/09/2024,2054824294,2465789152,11650,12450,10850,3490600,40854,28726,11700,11650,11800,11650,150,11704,11700,,,4803,6729,517000,442000,3490600,40854,1258.0,1030.0,228,6042400.0,6931000.0,-888600,-,
24/09/2024,2054824294,2465789152,11550,12350,10750,780300,9046,28726,11600,11650,11700,11500,200,11593,11700,100.0,0.87,2546,3912,246700,159700,780300,9046,747.0,554.0,193,1902200.0,2167100.0,-264900,-,
23/09/2024,2054824294,2465789152,11650,12450,10850,751600,8695,28480,11600,11550,11700,11500,200,11569,11600,-100.0,-0.86,2224,6293,475400,214000,751600,8695,943.0,500.0,443,2096800.0,3146400.0,-1049600,-,
20/09/2024,2054824294,2465789152,11600,12400,10800,1142000,13346,28726,11700,11650,11750,11600,150,11687,11700,50.0,0.43,2682,3174,301400,298300,1142000,13346,828.0,990.0,-162,2221100.0,3142100.0,-921000,-,
19/09/2024,2054824294,2465789152,11600,12400,10800,415900,4822,28603,11600,11600,11650,11500,150,11594,11600,,,1984,3271,151200,291000,415900,4822,708.0,507.0,201,1404800.0,1658300.0,-253500,-,
18/09/2024,2054824294,2465789152,11600,12400,10800,1052600,12188,28603,11600,11600,11650,11450,200,11579,11600,,,3237,4222,171000,172500,1052600,12188,714.0,590.0,124,2311400.0,2490700.0,-179300,-,
17/09/2024,2054824294,2465789152,11350,12100,10600,859500,9867,28603,11450,11600,11600,11300,300,11480,11600,250.0,2.2,3030,3270,262100,240500,859500,9867,737.0,556.0,181,2233300.0,1818100.0,415200,-,
16/09/2024,2054824294,2465789152,11400,12150,10650,907200,10372,27987,11400,11350,11500,11350,150,11433,11400,-50.0,-0.44,2449,3732,183700,159400,907200,10372,646.0,550.0,96,1582200.0,2052700.0,-470500,-,
13/09/2024,2054824294,2465789152,11400,12150,10650,8452500,93163,28110,11400,11400,11450,11350,100,11393,11400,,,1723,3494,421200,218000,472500,5383,718.0,462.0,256,1237000.0,1614200.0,-377200,7980000,87780.0
12/09/2024,2054824294,2465789152,11300,12050,10550,563400,6421,28110,11400,11400,11450,11350,100,11397,11400,100.0,0.88,2258,3584,419100,289400,563400,6421,748.0,494.0,254,1689100.0,1770500.0,-81400,-,
11/09/2024,2054824294,2054824294,11500,12300,10700,1647400,18716,23220,11500,11300,11600,11300,300,11361,11300,-200.0,-1.74,1904,6566,198500,144400,1647400,18716,1418.0,492.0,926,2699900.0,3230400.0,-530500,-,
10/09/2024,2054824294,2054824294,11600,12400,10800,633900,7325,23630,11650,11500,11700,11500,200,11555,11500,-100.0,-0.86,1749,5021,222000,300700,633900,7325,859.0,445.0,414,1502400.0,2234300.0,-731900,-,
09/09/2024,2054824294,2054824294,11600,12400,10800,483500,5607,23836,11600,11600,11650,11550,100,11597,11600,,,1828,3886,333400,135900,483500,5607,839.0,393.0,446,1533600.0,1527100.0,6500,-,
06/09/2024,2054824294,2054824294,11700,12500,10900,886400,10312,23836,11700,11600,11700,11550,150,11634,11600,-100.0,-0.85,1764,4648,367400,56700,886400,10312,1112.0,532.0,580,1962100.0,2472600.0,-510500,-,
05/09/2024,2054824294,2054824294,11750,12550,10950,1094400,12856,24041,11800,11700,11900,11650,250,11747,11700,-50.0,-0.43,2155,5361,445900,129400,1094400,12856,1034.0,596.0,438,2228500.0,3195300.0,-966800,-,
04/09/2024,2054824294,2054824294,11900,12700,11100,1275900,14985,24144,11800,11750,11850,11650,200,11745,11800,-150.0,-1.26,2112,5348,772000,47600,1275900,14985,1516.0,663.0,853,3201300.0,3545500.0,-344200,-,
30/08/2024,2054824294,2054824294,12000,12800,11200,771800,9244,24452,12100,11900,12100,11900,200,11977,11900,-100.0,-0.83,1951,1932,369500,167000,771800,9244,585.0,486.0,99,1141300.0,938800.0,202500,-,
29/08/2024,2054824294,2054824294,11950,12750,11150,2207500,26597,24658,12050,12000,12200,12000,200,12048,12000,50.0,0.42,2472,5743,356200,900900,2207500,26597,1536.0,1162.0,374,3797600.0,6672800.0,-2875200,-,
28/08/2024,2054824294,2054824294,14250,15200,13300,2486000,35604,29487,14250,14350,14400,14250,150,14322,12000,100.0,0.7,3546,3989,702000,390000,2486000,35604,1880.0,1662.0,218,6666300.0,6630400.0,35900,-,
27/08/2024,2054824294,2054824294,14450,15450,13450,3111700,44667,29281,14450,14250,14500,14250,250,14355,11900,-200.0,-1.38,3014,4627,527900,266200,3111700,44667,1629.0,1648.0,-19,4910400.0,7624600.0,-2714200,-,
26/08/2024,2054824294,2054824294,14500,15500,13500,2278800,33071,29692,14550,14450,14550,14450,100,14512,12000,-50.0,-0.34,2983,3698,482800,456600,2278800,33071,1361.0,1491.0,-130,4060000.0,5513700.0,-1453700,-,
23/08/2024,2054824294,2054824294,14500,15500,13500,3507400,50967,29795,14600,14500,14700,14450,250,14531,12100,,,3958,6237,696800,556800,3507400,50967,1405.0,1328.0,77,5560500.0,8283000.0,-2722500,-,
22/08/2024,2054824294,2054824294,14500,15500,13500,3222400,46900,29795,14550,14500,14700,14450,250,14554,12100,,,4194,5411,688000,234500,3222400,46900,1603.0,1145.0,458,6722700.0,6195600.0,527100,-,
21/08/2024,2054824294,2054824294,14450,15450,13450,2132200,30836,29795,14500,14500,14500,14400,100,14462,12100,50.0,0.35,3510,7158,610300,836800,2132200,30836,1173.0,689.0,484,4117400.0,4931900.0,-814500,-,
20/08/2024,2054824294,2054824294,14500,15500,13500,3107100,45013,29692,14500,14450,14600,14400,200,14485,12000,-50.0,-0.34,2956,4911,486300,531200,2607100,37763,1479.0,1160.0,319,4371700.0,5697300.0,-1325600,500000,7250.0
19/08/2024,2054824294,2054824294,14450,15450,13450,1072400,15516,29795,14600,14500,14600,14400,200,14468,12100,50.0,0.35,2612,6717,458800,575600,1072400,15516,1004.0,549.0,455,2622600.0,3687600.0,-1065000,-,
