Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,300000000,299999999,4310,4610,4010,245700,1052,1284,4320,4280,4350,4200,150,4282,4300,-30.0,-0.7,1425,2321,4500.0,12300.0,245700,1052,360.0,273.0,87,513100.0,633700.0,-120600,-,
26/09/2024,300000000,299999999,4330,4630,4030,105500,455,1293,4330,4310,4340,4300,40,4313,4300,-20.0,-0.46,1842,8411,35000.0,54500.0,105500,455,186.0,186.0,-,342700.0,1564400.0,-1221700,-,
25/09/2024,300000000,299999999,4320,4620,4020,98000,423,1299,4320,4330,4350,4310,40,4316,4300,10.0,0.23,1527,1819,10700.0,26900.0,98000,423,216.0,154.0,62,329800.0,280100.0,49700,-,
24/09/2024,300000000,299999999,4390,4690,4090,116300,504,1296,4390,4320,4390,4260,130,4334,4300,-70.0,-1.59,1939,2083,47200.0,6600.0,116300,504,203.0,155.0,48,393600.0,322800.0,70800,-,
23/09/2024,300000000,299999999,4410,4710,4110,237000,1031,1317,4410,4390,4420,4300,120,4350,4400,-20.0,-0.45,1780,2789,10100.0,19600.0,237000,1031,233.0,200.0,33,414700.0,557700.0,-143000,-,
20/09/2024,300000000,299999999,4420,4720,4120,185900,825,1323,4420,4410,4510,4410,100,4438,4400,-10.0,-0.23,2070,3899,78600.0,5200.0,185900,825,176.0,159.0,17,364300.0,619900.0,-255600,-,
19/09/2024,300000000,299999999,4430,4740,4120,128800,571,1326,4430,4420,4470,4420,50,4433,4400,-10.0,-0.23,2369,3104,125600.0,33400.0,128800,571,163.0,133.0,30,386100.0,412800.0,-26700,-,
18/09/2024,300000000,299999999,4400,4700,4100,108000,479,1329,4420,4430,4540,4400,140,4435,4400,30.0,0.68,1930,2378,134000.0,21300.0,108000,479,203.0,162.0,41,391800.0,385200.0,6600,-,
17/09/2024,300000000,299999999,4510,4820,4200,224000,1001,1320,4580,4400,4580,4400,180,4469,4400,-110.0,-2.44,1693,3282,70600.0,74700.0,224000,1001,249.0,160.0,89,421500.0,525100.0,-103600,-,
16/09/2024,300000000,299999999,4580,4900,4260,198500,904,1353,4670,4510,4670,4510,160,4554,4500,-70.0,-1.53,1803,4526,7200.0,35000.0,198500,904,200.0,141.0,59,360600.0,638200.0,-277600,-,
13/09/2024,300000000,299999999,4630,4950,4310,100600,461,1374,4650,4580,4650,4560,90,4583,4600,-50.0,-1.08,1728,3521,26400.0,7700.0,100600,461,138.0,109.0,29,238400.0,383800.0,-145400,-,
12/09/2024,300000000,299999999,4650,4970,4330,74900,348,1389,4640,4630,4750,4620,130,4646,4600,-20.0,-0.43,2020,3334,13500.0,38300.0,74900,348,138.0,122.0,16,278800.0,406700.0,-127900,-,
11/09/2024,300000000,299999999,4580,4900,4260,807300,3665,1395,4580,4650,4650,4500,150,4540,4700,70.0,1.53,4828,6822,15300.0,13700.0,807300,3665,210.0,170.0,40,1013900.0,1159700.0,-145800,-,
10/09/2024,300000000,299999999,4600,4920,4280,63900,293,1374,4600,4580,4640,4580,60,4585,4600,-20.0,-0.43,1504,2243,8800.0,42300.0,63900,293,139.0,110.0,29,209100.0,246700.0,-37600,-,
