Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,7960310,7893658,5100,5600,4600,29100,153.0,43,5200,5500,5500,5100,400,5272,5500,400.0,7.84,1767,1192,39800,17400.0,29100.0,153.0,39,39,-,68900,46500,22400,-,
26/09/2024,7960310,7893658,5100,5600,4600,9262,48.0,40,5200,5100,5200,5100,100,5176,5100,,,1034,1357,20738,28738.0,9262.0,48.0,29,28,1,30000,38000,-8000,-,
25/09/2024,7960310,7893658,5100,5600,4600,4000,21.0,40,5200,5100,5200,5100,100,5200,5100,,,1035,908,22900,18700.0,4000.0,21.0,26,25,1,26900,22700,4200,-,
24/09/2024,7960310,7893658,5100,5600,4600,3700,19.0,40,5100,5100,5100,5100,-,5100,5100,,,1252,1000,22600,17300.0,3700.0,19.0,21,21,-,26300,21000,5300,-,
23/09/2024,7960310,7893658,5200,5700,4700,4766,24.0,40,5200,5100,5200,5100,100,5121,5100,-100.0,-1.92,2346,1050,51534,22534.0,4766.0,24.0,24,26,-2,56300,27300,29000,-,
20/09/2024,7960310,7893658,5100,5600,4600,2500,13.0,41,5200,5200,5200,5100,100,5117,5200,100.0,1.96,911,1082,13900,15900.0,2500.0,13.0,18,17,1,16400,18400,-2000,-,
19/09/2024,7960310,7893658,5100,5600,4600,9700,49.0,40,5100,5100,5100,5100,-,5100,5100,,,1438,1082,24800,14100.0,9700.0,49.0,24,22,2,34500,23800,10700,-,
18/09/2024,7960310,7893658,5200,5700,4700,14800,74.0,40,5200,5100,5200,4900,300,5028,5100,-100.0,-1.92,989,1400,38600,21600.0,14800.0,74.0,54,26,28,53400,36400,17000,-,
17/09/2024,7960310,7893658,5100,5600,4600,6445,33.0,41,5100,5200,5200,5100,100,5102,5200,100.0,1.96,1728,1421,24655,13455.0,6445.0,33.0,18,14,4,31100,19900,11200,-,
16/09/2024,7960310,7893658,5100,5600,4600,5101,26.0,40,5000,5100,5100,5000,100,5080,5100,,,1081,1157,17599,11099.0,5101.0,26.0,21,14,7,22700,16200,6500,-,
13/09/2024,7960310,7893658,5100,5600,4600,8000,41.0,40,5100,5100,5100,5100,-,5100,5100,,,1042,1210,11800,16200.0,8000.0,41.0,19,20,-1,19800,24200,-4400,-,
12/09/2024,7960310,7893658,5100,5600,4600,8601,44.0,40,5100,5100,5100,5100,-,5100,5100,,,870,1321,8799,16499.0,8601.0,44.0,20,19,1,17400,25100,-7700,-,
11/09/2024,7960310,7893658,5100,5600,4600,3902,20.0,40,5100,5100,5100,5100,-,5100,5100,,,1307,1005,15698,16198.0,3902.0,20.0,15,20,-5,19600,20100,-500,-,
10/09/2024,7960310,7893658,5100,5600,4600,7060,36.0,40,5100,5100,5100,5100,-,5100,5100,,,1128,961,13240,15040.0,7060.0,36.0,18,23,-5,20300,22100,-1800,-,
09/09/2024,7960310,7893658,5000,5500,4500,12227,62.0,40,5000,5100,5200,5000,200,5095,5100,100.0,2.0,1263,1085,21873,15973.0,12227.0,62.0,27,26,1,34100,28200,5900,-,
06/09/2024,7960310,7893658,5000,5500,4500,5357,27.0,39,5000,5000,5000,5000,-,5000,5000,,,2680,1108,34843,9043.0,5357.0,27.0,15,13,2,40200,14400,25800,-,
05/09/2024,7960310,7893658,5000,5500,4500,21500,108.0,39,5000,5000,5100,5000,100,5007,5000,,,1341,1296,21400,14800.0,21500.0,108.0,32,28,4,42900,36300,6600,-,
04/09/2024,7960310,7893658,5200,5700,4700,5045,25.0,39,5000,5000,5000,5000,-,5000,5000,-200.0,-3.85,1133,921,22155,12455.0,5045.0,25.0,24,19,5,27200,17500,9700,-,
30/08/2024,7960310,7893658,5200,5700,4700,1354,7.0,41,5100,5200,5200,5100,100,5123,5200,,,2143,705,47946,13446.0,1354.0,7.0,23,21,2,49300,14800,34500,-,
29/08/2024,7960310,7893658,5100,5600,4600,3302,17.0,41,5100,5200,5200,5000,200,5064,5200,100.0,1.96,2132,911,56398,13098.0,3302.0,17.0,28,18,10,59700,16400,43300,-,
28/08/2024,7960310,7893658,5100,5600,4600,7600,39.0,40,5200,5100,5200,5100,100,5107,5100,,,944,1382,17900,15900.0,7600.0,39.0,27,17,10,25500,23500,2000,-,
27/08/2024,7960310,7893658,5200,5700,4700,5872,30.0,40,5100,5100,5100,5100,-,5100,5100,-100.0,-1.92,1129,1205,29128,20628.0,5872.0,30.0,31,22,9,35000,26500,8500,-,
26/08/2024,7960310,7893658,5100,5600,4600,19226,98.0,41,5100,5200,5200,5100,100,5112,5200,100.0,1.96,1419,1085,24774,17674.0,19226.0,98.0,31,34,-3,44000,36900,7100,-,
23/08/2024,7960310,7893658,4900,5300,4500,29141,146.0,40,5000,5100,5100,4900,200,5001,5100,200.0,4.08,2024,1081,88259,17359.0,29141.0,146.0,58,43,15,117400,46500,70900,-,
