Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4799516,4799516,13500,14800,12200,23400,331.0,65,13700,13600,14400,13600,800,14156,13600,100.0,0.74,692,1049,10500,36400.0,23400.0,331.0,49,57,-8,33900,59800,-25900,-,
26/09/2024,4799516,4799516,13500,14800,12200,6500,88.0,65,13500,13500,13700,13400,300,13506,13500,,,411,639,8300,14600.0,6500.0,88.0,36,33,3,14800,21100,-6300,-,
25/09/2024,4799516,4799516,13600,14900,12300,17508,236.0,65,13900,13500,13900,13300,600,13444,13500,-100.0,-0.74,640,1053,9392,24592.0,17508.0,236.0,42,40,2,26900,42100,-15200,-,
24/09/2024,4799516,4799516,13600,14900,12300,10600,145.0,65,13600,13600,14000,13600,400,13654,13600,,,816,1054,9800,26300.0,10600.0,145.0,25,35,-10,20400,36900,-16500,-,
23/09/2024,4799516,4799516,13700,15000,12400,5100,69.0,65,13400,13600,13600,13400,200,13468,13600,-100.0,-0.73,694,1125,17100,21900.0,5100.0,69.0,32,24,8,22200,27000,-4800,-,
20/09/2024,4799516,4799516,13800,15100,12500,4700,64.0,66,13800,13700,13800,13500,300,13596,13700,-100.0,-0.72,441,1094,11600,15000.0,4700.0,64.0,37,18,19,16300,19700,-3400,-,
19/09/2024,4799516,4799516,13700,15000,12400,9080,122.0,66,13700,13800,13800,13300,500,13478,13800,100.0,0.73,408,952,10520,20420.0,9080.0,122.0,48,31,17,19600,29500,-9900,-,
18/09/2024,4799516,4799516,13800,15100,12500,2100,29.0,66,13700,13700,13700,13700,-,13700,13700,-100.0,-0.72,519,812,11900,19000.0,2100.0,29.0,27,26,1,14000,21100,-7100,-,
17/09/2024,4799516,4799516,13900,15200,12600,2300,32.0,66,13700,13800,13800,13700,100,13706,13800,-100.0,-0.72,623,685,11400,11400.0,2300.0,32.0,22,20,2,13700,13700,-,-,
