Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,3000,-,3000.0,,,,1.0,,1,3000.0,,3000,-,
26/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
25/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
24/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
23/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
20/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,3000,-,3000.0,,,,1.0,,1,3000.0,,3000,-,
19/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
17/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
16/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,3924550,3924550,13000,14900,11100,200,3.0,51,13000,13000,13000,13000,-,13000,13000,,,3000,200,2800.0,,200.0,3.0,1.0,1.0,-,3000.0,200.0,2800,-,
12/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
11/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
10/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
09/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
06/09/2024,3924550,3924550,13000,14900,11100,300,4.0,51,13000,13000,13000,13000,-,13000,13000,,,2000,300,3700.0,,300.0,4.0,2.0,1.0,1,4000.0,300.0,3700,-,
05/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
04/09/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
30/08/2024,3924550,3924550,13200,15100,11300,2000,26.0,51,13000,13000,13000,13000,-,13000,13000,-200.0,-1.52,2000,1150,,300.0,2000.0,26.0,1.0,2.0,-1,2000.0,2300.0,-300,-,
29/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
28/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
27/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
26/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
23/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
22/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
21/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
20/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
19/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
16/08/2024,3924550,3924550,13200,15100,11300,1000,13.0,52,13200,13200,13200,13200,-,13200,13200,,,1333,1000,3000.0,,1000.0,13.0,3.0,1.0,2,4000.0,1000.0,3000,-,
15/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
14/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
13/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
12/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
09/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,3000,-,3000.0,,,,1.0,,1,3000.0,,3000,-,
08/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
07/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
06/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
05/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
02/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,3000,-,3000.0,,,,1.0,,1,3000.0,,3000,-,
01/08/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
31/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
30/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
29/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
26/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,3000,-,3000.0,,,,1.0,,1,3000.0,,3000,-,
25/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
24/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
23/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
22/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
19/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
18/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
17/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
16/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
15/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
12/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
11/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
10/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
09/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
08/07/2024,3924550,3924550,13200,15100,11300,-,,52,13200,13200,13200,13200,-,13200,13200,,,-,-,,,,,,,-,,,-,-,
05/07/2024,3924550,3924550,13000,14900,11100,1900,25.0,53,13000,13500,13500,13000,500,13237,13500,500.0,3.85,2000,1533,2100.0,2700.0,1900.0,25.0,2.0,3.0,-1,4000.0,4600.0,-600,-,
04/07/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
03/07/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
02/07/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
01/07/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
28/06/2024,3924550,3924550,13000,14900,11100,1300,17.0,51,13000,13000,13000,13000,-,13000,13000,,,2500,767,3700.0,1000.0,1300.0,17.0,2.0,3.0,-1,5000.0,2300.0,2700,-,
27/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
26/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
25/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
24/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
21/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,1500,-,3000.0,,,,2.0,,2,3000.0,,3000,-,
20/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
19/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
18/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
17/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
14/06/2024,3924550,3924550,13000,14900,11100,3200,42.0,51,13000,13000,13000,13000,-,13000,13000,,,2050,2100,5000.0,1000.0,3200.0,42.0,4.0,2.0,2,8200.0,4200.0,4000,-,
13/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
12/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
11/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
10/06/2024,3924550,3924550,13000,14900,11100,-,,51,13000,13000,13000,13000,-,13000,13000,,,-,-,,,,,,,-,,,-,-,
07/06/2024,3924550,3924550,12900,14800,11000,1200,16.0,51,13000,13000,13000,13000,-,13000,13000,100.0,0.78,2500,600,3800.0,,1200.0,16.0,2.0,2.0,-,5000.0,1200.0,3800,-,
06/06/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
05/06/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
04/06/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
03/06/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
31/05/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,2500,950,5000.0,1900.0,,,2.0,2.0,-,5000.0,1900.0,3100,-,
30/05/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
29/05/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
28/05/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
27/05/2024,3924550,3924550,12900,14800,11000,-,,51,12900,12900,12900,12900,-,12900,12900,,,-,-,,,,,,,-,,,-,-,
24/05/2024,3924550,3924550,12900,14800,11000,7000,90.0,51,12900,12900,12900,12900,-,12900,12900,,,1750,2667,7000.0,1000.0,7000.0,90.0,8.0,3.0,5,14000.0,8000.0,6000,-,
