Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8909981,8909981,9100,10000,8200,5861,53.0,81,9100,9100,9100,9000,100,9037,9100,,,1494,1015,19539,7339.0,5861.0,53.0,17,13,4,25400,13200,12200,-,
26/09/2024,8909981,8909981,9100,10000,8200,5600,51.0,81,9000,9100,9100,9000,100,9036,9100,,,1300,1150,24300,5900.0,5600.0,51.0,23,10,13,29900,11500,18400,-,
25/09/2024,8909981,8909981,9100,10000,8200,3200,29.0,81,9100,9100,9100,9100,-,9100,9100,,,1481,2000,20500,20800.0,3200.0,29.0,16,12,4,23700,24000,-300,-,
24/09/2024,8909981,8909981,9100,10000,8200,900,8.0,81,9100,9100,9100,9100,-,9100,9100,,,1467,1133,21100,19500.0,900.0,8.0,15,18,-3,22000,20400,1600,-,
23/09/2024,8909981,8909981,9100,10000,8200,6001,55.0,81,9200,9100,9200,9100,100,9142,9100,,,1257,759,31699,6899.0,6001.0,55.0,30,17,13,37700,12900,24800,-,
20/09/2024,8909981,8909981,9200,10100,8300,3300,30.0,81,9200,9100,9200,9100,100,9155,9100,-100.0,-1.09,884,1760,13500,31900.0,3300.0,30.0,19,20,-1,16800,35200,-18400,-,
19/09/2024,8909981,8909981,9300,10200,8400,500,5.0,82,9200,9200,9200,9200,-,9200,9200,-100.0,-1.08,885,1504,11000,34100.0,500.0,5.0,13,23,-10,11500,34600,-23100,-,
18/09/2024,8909981,8909981,9300,10200,8400,3600,33.0,83,9300,9300,9400,9300,100,9303,9300,,,824,1508,10400,34100.0,3600.0,33.0,17,25,-8,14000,37700,-23700,-,
17/09/2024,8909981,8909981,9100,10000,8200,7400,69.0,83,9100,9300,9300,9100,200,9264,9300,200.0,2.2,1342,907,24800,6200.0,7400.0,69.0,24,15,9,32200,13600,18600,-,
16/09/2024,8909981,8909981,9300,10200,8400,5300,48.0,81,9300,9100,9300,9100,200,9125,9100,-200.0,-2.15,647,906,7000,23700.0,5300.0,48.0,19,32,-13,12300,29000,-16700,-,
13/09/2024,8909981,8909981,9300,10200,8400,6000,56.0,83,9300,9300,9300,9300,-,9300,9300,,,953,832,10200,9800.0,6000.0,56.0,17,19,-2,16200,15800,400,-,
12/09/2024,8909981,8909981,9100,10000,8200,5600,50.0,83,9100,9300,9300,8900,400,9002,9300,200.0,2.2,1243,495,20500,3800.0,5600.0,50.0,21,19,2,26100,9400,16700,-,
