Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4965514,4965514,41900,48100,35700,100,4.0,199,40100,40100,40100,40100,-,40100,40100,-1800.0,-4.3,525,100,2000,100.0,100.0,4.0,4,2.0,2,2100,200.0,1900,-,
26/09/2024,4965514,4965514,39500,45400,33600,700,29.0,208,41900,41900,41900,41900,-,41900,41900,2400.0,6.08,500,367,2800,400.0,700.0,29.0,7,3.0,4,3500,1100.0,2400,-,
25/09/2024,4965514,4965514,42000,48300,35700,428,17.0,196,39500,39500,39500,39500,-,39500,39500,-2500.0,-5.95,500,275,2072,672.0,428.0,17.0,5,4.0,1,2500,1100.0,1400,-,
24/09/2024,4965514,4965514,42000,48300,35700,-,,209,42000,42000,42000,42000,-,42000,42000,,,250,100,500,100.0,,,2,1.0,1,500,100.0,400,-,
23/09/2024,4965514,4965514,42000,48300,35700,3,0.0,209,42000,42000,42000,42000,-,42000,42000,,,250,450,497,897.0,3.0,0.0,2,2.0,-,500,900.0,-400,-,
20/09/2024,4965514,4965514,39800,45700,33900,100,4.0,209,42000,42000,42000,42000,-,42000,42000,2200.0,5.53,380,233,1800,600.0,100.0,4.0,5,3.0,2,1900,700.0,1200,-,
19/09/2024,4965514,4965514,39800,45700,33900,1,0.0,198,39800,39800,39800,39800,-,39800,39800,,,267,100,799,199.0,1.0,0.0,3,2.0,1,800,200.0,600,-,
18/09/2024,4965514,4965514,39800,45700,33900,-,,198,39800,39800,39800,39800,-,39800,39800,,,267,100,800,100.0,,,3,1.0,2,800,100.0,700,-,
17/09/2024,4965514,4965514,39800,45700,33900,-,,198,39800,39800,39800,39800,-,39800,39800,,,367,100,1100,100.0,,,3,1.0,2,1100,100.0,1000,-,
16/09/2024,4965514,4965514,39800,45700,33900,-,,198,39800,39800,39800,39800,-,39800,39800,,,333,200,1000,400.0,,,3,2.0,1,1000,400.0,600,-,
13/09/2024,4965514,4965514,39800,45700,33900,-,,198,39800,39800,39800,39800,-,39800,39800,,,267,100,800,100.0,,,3,1.0,2,800,100.0,700,-,
12/09/2024,4965514,4965514,40000,46000,34000,201,8.0,198,39800,39800,39800,39800,-,39800,39800,-200.0,-0.5,300,150,999,99.0,201.0,8.0,4,2.0,2,1200,300.0,900,-,
11/09/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,167,100,500,100.0,,,3,1.0,2,500,100.0,400,-,
10/09/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,450,100,900,100.0,,,2,1.0,1,900,100.0,800,-,
09/09/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,333,100,1000,200.0,,,3,2.0,1,1000,200.0,800,-,
06/09/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,300,100,1200,100.0,,,4,1.0,3,1200,100.0,1100,-,
05/09/2024,4965514,4965514,40000,46000,34000,7373,251.0,199,40000,40000,40000,40000,-,40000,40000,,,550,150,2199,299.0,1.0,0.0,4,2.0,2,2200,300.0,1900,7372,251.0
04/09/2024,4965514,4965514,40000,46000,34000,3,0.0,199,40000,40000,40000,40000,-,40000,40000,,,280,150,1397,297.0,3.0,0.0,5,2.0,3,1400,300.0,1100,-,
30/08/2024,4965514,4965514,39700,45600,33800,2400,96.0,199,40000,40000,40000,40000,-,40000,40000,300.0,0.76,600,650,600,200.0,2400.0,96.0,5,4.0,1,3000,2600.0,400,-,
29/08/2024,4965514,4965514,39700,45600,33800,1,0.0,197,39700,39700,39700,39700,-,39700,39700,,,1100,1000,4399,999.0,1.0,0.0,4,1.0,3,4400,1000.0,3400,-,
28/08/2024,4965514,4965514,40000,46000,34000,100,4.0,197,39700,39700,39700,39700,-,39700,39700,-300.0,-0.75,125,367,400,1000.0,100.0,4.0,4,3.0,1,500,1100.0,-600,-,
27/08/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,1133,500,3400,1000.0,,,3,2.0,1,3400,1000.0,2400,-,
26/08/2024,4965514,4965514,40000,46000,34000,1,0.0,199,40000,40000,40000,40000,-,40000,40000,,,1400,200,5599,199.0,1.0,0.0,4,1.0,3,5600,200.0,5400,-,
23/08/2024,4965514,4965514,40000,46000,34000,-,,199,40000,40000,40000,40000,-,40000,40000,,,925,500,3700,1000.0,,,4,2.0,2,3700,1000.0,2700,-,
22/08/2024,4965514,4965514,40000,46000,34000,1,0.0,199,40000,40000,40000,40000,-,40000,40000,,,1800,150,5399,299.0,1.0,0.0,3,2.0,1,5400,300.0,5100,-,
21/08/2024,4965514,4965514,40000,46000,34000,2500,100.0,199,40000,40000,40000,40000,-,40000,40000,,,1225,675,2400,200.0,2500.0,100.0,4,4.0,-,4900,2700.0,2200,-,
20/08/2024,4965514,4965514,39800,45700,33900,102,4.0,199,40000,40000,40000,40000,-,40000,40000,200.0,0.5,175,150,598,198.0,102.0,4.0,4,2.0,2,700,300.0,400,-,
19/08/2024,4965514,4965514,39500,45400,33600,600,24.0,199,39600,40000,40000,39600,400,39800,40000,500.0,1.27,1083,267,5900,1000.0,600.0,24.0,6,6.0,-,6500,1600.0,4900,-,
16/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,150,100,600,100.0,,,4,1.0,3,600,100.0,500,-,
15/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,350,767,700,2300.0,,,2,3.0,-1,700,2300.0,-1600,-,
14/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,100,100,200,100.0,,,2,1.0,1,200,100.0,100,-,
13/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,200,450,200,900.0,,,1,2.0,-1,200,900.0,-700,-,
12/08/2024,4965514,4965514,39500,45400,33600,1,0.0,196,39500,40000,39500,39500,-,39500,39500,500.0,1.27,50,800,99,799.0,1.0,0.0,2,1.0,1,100,800.0,-700,-,
09/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,175,367,700,1100.0,,,4,3.0,1,700,1100.0,-400,-,
08/08/2024,4965514,4965514,39500,45400,33600,-,,196,39500,39500,39500,39500,-,39500,39500,,,280,200,1400,200.0,,,5,1.0,4,1400,200.0,1200,-,
07/08/2024,4965514,4965514,38500,44200,32800,300,12.0,199,38600,40000,40000,38600,1400,39533,40000,1500.0,3.9,400,400,3700,1700.0,300.0,12.0,10,5.0,5,4000,2000.0,2000,-,
06/08/2024,4965514,4965514,38500,44200,32800,100,4.0,191,38500,38500,38500,38500,-,38500,38500,,,600,267,3500,700.0,100.0,4.0,6,3.0,3,3600,800.0,2800,-,
05/08/2024,4965514,4965514,38500,44200,32800,306,12.0,191,38500,38500,38500,38500,-,38500,38500,,,525,100,3894,,306.0,12.0,8,3.0,5,4200,300.0,3900,-,
02/08/2024,4965514,4965514,38500,44200,32800,302,12.0,192,38500,38600,38600,38500,100,38533,38600,100.0,0.26,486,100,3098,98.0,302.0,12.0,7,4.0,3,3400,400.0,3000,-,
01/08/2024,4965514,4965514,40000,46000,34000,1002,39.0,191,38500,38500,38500,38500,-,38500,38500,-1500.0,-3.75,471,220,2298,98.0,1002.0,39.0,7,5.0,2,3300,1100.0,2200,-,
31/07/2024,4965514,4965514,40000,46000,34000,1,0.0,199,40000,40000,40000,40000,-,40000,40000,,,350,200,699,199.0,1.0,0.0,2,1.0,1,700,200.0,500,-,
30/07/2024,4965514,4965514,40000,46000,34000,202,8.0,199,40000,40000,40000,40000,-,40000,40000,,,140,100,498,98.0,202.0,8.0,5,3.0,2,700,300.0,400,-,
29/07/2024,4965514,4965514,40000,46000,34000,209,8.0,199,40000,40000,40000,40000,-,40000,40000,,,150,475,391,1691.0,209.0,8.0,4,4.0,-,600,1900.0,-1300,-,
26/07/2024,4965514,4965514,40100,46100,34100,103,4.0,199,40000,40000,40000,40000,-,40000,40000,-100.0,-0.25,167,150,397,197.0,103.0,4.0,3,2.0,1,500,300.0,200,-,
25/07/2024,4965514,4965514,40100,46100,34100,5,0.0,199,40100,40000,40100,40100,-,40100,40100,-100.0,-0.25,167,600,495,1795.0,5.0,0.0,3,3.0,-,500,1800.0,-1300,-,
24/07/2024,4965514,4965514,40300,46300,34300,1009,41.0,199,40500,40000,40500,40000,500,40140,40000,-300.0,-0.74,188,260,491,291.0,1009.0,41.0,8,5.0,3,1500,1300.0,200,-,
23/07/2024,4965514,4965514,40300,46300,34300,11,0.0,200,40300,40500,40300,40300,-,40300,40300,200.0,0.5,133,200,389,189.0,11.0,0.0,3,1.0,2,400,200.0,200,-,
22/07/2024,4965514,4965514,40300,46300,34300,412,17.0,201,40000,40500,40500,40000,500,40250,40500,200.0,0.5,160,200,388,,412.0,17.0,5,2.0,3,800,400.0,400,-,
19/07/2024,4965514,4965514,40300,46300,34300,5,0.0,200,40300,40200,40300,40300,-,40300,40300,-100.0,-0.25,133,-,395,,5.0,0.0,3,,3,400,,400,-,
18/07/2024,4965514,4965514,40700,46800,34600,700,28.0,200,40500,40200,40500,40200,300,40286,40200,-500.0,-1.23,200,240,500,500.0,700.0,28.0,6,5.0,1,1200,1200.0,-,-,
17/07/2024,4965514,4965514,40700,46800,34600,500,20.0,202,40700,40700,40700,40700,-,40700,40700,,,300,367,1300,600.0,500.0,20.0,6,3.0,3,1800,1100.0,700,-,
16/07/2024,4965514,4965514,40700,46800,34600,-,,202,40700,40700,40700,40700,-,40700,40700,,,150,600,300,600.0,,,2,1.0,1,300,600.0,-300,-,
15/07/2024,4965514,4965514,40700,46800,34600,-,,202,40700,40700,40700,40700,-,40700,40700,,,267,600,800,600.0,,,3,1.0,2,800,600.0,200,-,
12/07/2024,4965514,4965514,40400,46400,34400,900,37.0,201,41000,40500,41000,40500,500,40667,40500,100.0,0.25,325,350,400,500.0,900.0,37.0,4,4.0,-,1300,1400.0,-100,-,
11/07/2024,4965514,4965514,40400,46400,34400,-,,201,40400,40400,40400,40400,-,40400,40400,,,200,-,400,,,,2,,2,400,,400,-,
10/07/2024,4965514,4965514,40500,46500,34500,700,28.0,201,40000,40500,40500,40000,500,40429,40500,,,250,260,300,600.0,700.0,28.0,4,5.0,-1,1000,1300.0,-300,-,
09/07/2024,4965514,4965514,40000,46000,34000,200,8.0,201,40500,40500,40500,40500,-,40500,40500,500.0,1.25,220,200,900,600.0,200.0,8.0,5,4.0,1,1100,800.0,300,-,
08/07/2024,4965514,4965514,40200,46200,34200,1500,60.0,199,40000,40000,40000,40000,-,40000,40000,-200.0,-0.5,500,425,500,200.0,1500.0,60.0,4,4.0,-,2000,1700.0,300,-,
05/07/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,200,100,400,300.0,,,2,3.0,-1,400,300.0,100,-,
04/07/2024,4965514,4965514,40200,46200,34200,1,0.0,200,40200,40200,40200,40200,-,40200,40200,,,200,100,399,299.0,1.0,0.0,2,3.0,-1,400,300.0,100,-,
03/07/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,300,100,900,100.0,,,3,1.0,2,900,100.0,800,-,
02/07/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,350,200,700,200.0,,,2,1.0,1,700,200.0,500,-,
01/07/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,200,75,400,300.0,,,2,4.0,-2,400,300.0,100,-,
28/06/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,200,200,400,200.0,,,2,1.0,1,400,200.0,200,-,
27/06/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,200,200,400,200.0,,,2,1.0,1,400,200.0,200,-,
26/06/2024,4965514,4965514,40200,46200,34200,-,,200,40200,40200,40200,40200,-,40200,40200,,,350,200,700,200.0,,,2,1.0,1,700,200.0,500,-,
