Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,50000000,50000000,2200,2500,1900,144003,316,105,2200,2100,2300,2100,200,2192,2100,-100.0,-4.55,6112,5176,381597,285597.0,144003,316,86,83,3,525600,429600,96000,-,
26/09/2024,50000000,50000000,2200,2500,1900,50300,111,110,2300,2200,2300,2200,100,2203,2200,,,4812,4793,262500,333100.0,50300,111,65,80,-15,312800,383400,-70600,-,
25/09/2024,50000000,50000000,2300,2600,2000,33002,73,110,2300,2200,2300,2200,100,2227,2200,-100.0,-4.35,5394,4739,258298,369798.0,33002,73,54,85,-31,291300,402800,-111500,-,
24/09/2024,50000000,50000000,2200,2500,1900,136800,314,115,2200,2300,2300,2200,100,2295,2300,100.0,4.55,6099,4625,345000,233200.0,136800,314,79,80,-1,481800,370000,111800,-,
23/09/2024,50000000,50000000,2200,2500,1900,46001,101,110,2200,2200,2200,2100,100,2196,2200,,,8386,6685,431999,308299.0,46001,101,57,53,4,478000,354300,123700,-,
20/09/2024,50000000,50000000,2300,2600,2000,182600,404,110,2300,2200,2400,2100,300,2212,2200,-100.0,-4.35,4779,5731,199700,436400.0,182600,404,80,108,-28,382300,619000,-236700,-,
19/09/2024,50000000,50000000,2300,2600,2000,81500,187,110,2300,2200,2300,2200,100,2296,2200,-100.0,-4.35,7224,5022,243600,420700.0,81500,187,45,100,-55,325100,502200,-177100,-,
18/09/2024,50000000,50000000,2100,2400,1800,278304,635,115,2200,2300,2400,2200,200,2282,2300,200.0,9.52,5038,3992,290996,156796.0,278304,635,113,109,4,569300,435100,134200,-,
17/09/2024,50000000,50000000,2100,2400,1800,70701,148,105,2100,2100,2100,2100,-,2100,2100,,,4408,6963,268699,214799.0,70701,148,77,41,36,339400,285500,53900,-,
