Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,60342638,60339285,14400,15400,13400,3900,55,860,14400,14250,14400,14250,150,14103,14300,-150.0,-1.04,551,1172,8300,24700,3900,55,67.0,72.0,-5,36900.0,84400.0,-47500,-,
26/09/2024,60342638,60339285,14150,15100,13200,6700,95,869,14350,14400,14400,14200,200,14179,14400,250.0,1.77,1356,464,1600,4300,6700,95,93.0,66.0,27,126100.0,30600.0,95500,-,
25/09/2024,60342638,60339285,14250,15200,13300,2123632,30517,854,14200,14150,14500,14100,400,14179,14200,-100.0,-0.7,1113,1233,28200,4300,40200,570,151.0,66.0,85,168000.0,81400.0,86600,2083432,29947.0
24/09/2024,60342638,60339285,14250,15200,13300,12200,174,860,14300,14250,14400,14150,250,14262,14300,,,1206,830,43000,2200,12200,174,95.0,47.0,48,114600.0,39000.0,75600,-,
23/09/2024,60342638,60339285,14500,15500,13500,87500,1250,860,14400,14250,14400,14250,150,14286,14300,-250.0,-1.72,1647,2182,17000,3900,87500,1250,118.0,62.0,56,194300.0,135300.0,59000,-,
20/09/2024,60342638,60339285,14400,15400,13400,57100,820,875,14350,14500,14500,14350,150,14361,14500,100.0,0.69,1291,1935,31200,5400,57100,820,94.0,55.0,39,121400.0,106400.0,15000,-,
19/09/2024,60342638,60339285,14550,15550,13550,20000,289,869,14500,14400,14550,14400,150,14450,14400,-150.0,-1.03,1144,1494,15000,13700,20000,289,52.0,48.0,4,59500.0,71700.0,-12200,-,
18/09/2024,60342638,60339285,14550,15550,13550,16900,245,878,14550,14550,14550,14500,50,14497,14600,,,1540,908,20500,11100,16900,245,50.0,53.0,-3,77000.0,48100.0,28900,-,
17/09/2024,60342638,60339285,14500,15500,13500,27100,391,878,14400,14550,14550,14400,150,14428,14600,50.0,0.34,1172,1294,18300,7100,27100,391,71.0,50.0,21,83200.0,64700.0,18500,-,
