Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1123468046,1123468046,21300,22750,19850,15900,336,23705,21300,21100,21350,21100,250,21132,21100,-200.0,-0.94,2000,525,7500,900.0,15900,336,73.0,83.0,-10,146000.0,43600.0,102400,-,
26/09/2024,1123468046,1123468046,21250,22700,19800,13500,286,23930,21200,21300,21300,21150,150,21185,21300,50.0,0.24,799,616,6700,7600.0,13500,286,81.0,73.0,8,64700.0,45000.0,19700,-,
25/09/2024,1123468046,1123468046,21350,22800,19900,32200,682,23874,21300,21250,21300,21100,200,21180,21300,-100.0,-0.47,920,742,9500,4600.0,32200,682,95.0,83.0,12,87400.0,61600.0,25800,-,
24/09/2024,1123468046,1123468046,21300,22750,19850,14900,317,23986,21450,21350,21450,21200,250,21275,21400,50.0,0.23,911,441,7400,6100.0,14900,317,57.0,78.0,-21,51900.0,34400.0,17500,-,
23/09/2024,1123468046,1123468046,21300,22750,19850,17100,365,23930,21650,21300,21650,21300,350,21345,21300,,,1531,609,3900,4700.0,17100,365,49.0,85.0,-36,75000.0,51800.0,23200,-,
20/09/2024,1123468046,1123468046,21500,23000,20000,8700,185,23930,21300,21300,21800,21300,500,21264,21300,-200.0,-0.93,1077,852,5600,4200.0,8700,185,60.0,65.0,-5,64600.0,55400.0,9200,-,
19/09/2024,1123468046,1123468046,21750,23250,20250,75400,1609,24155,21450,21500,21550,21300,250,21340,21500,-250.0,-1.15,1055,1271,9000,5800.0,75400,1609,119.0,83.0,36,125500.0,105500.0,20000,-,
18/09/2024,1123468046,1123468046,21850,23350,20350,39300,838,24435,21500,21750,21850,21300,550,21323,21800,-100.0,-0.46,781,842,4800,7500.0,39300,838,119.0,77.0,42,92900.0,64800.0,28100,-,
17/09/2024,1123468046,1123468046,21850,23350,20350,24200,523,24548,21750,21850,21900,21300,600,21612,21900,,,1005,734,6700,5500.0,24200,523,75.0,73.0,2,75400.0,53600.0,21800,-,
