Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,50602094,50681927,5440,5820,5060,17300,94,278,5450,5480,5550,5450,100,5434,5500,40.0,0.74,1203,1301,20900,23100.0,17300,94,93.0,69.0,24,111900.0,89800.0,22100,-,
26/09/2024,50602094,50681927,5500,5880,5120,50500,277,276,5500,5440,5590,5430,160,5485,5400,-60.0,-1.09,1010,2450,10500,22600.0,50500,277,104.0,68.0,36,105000.0,166600.0,-61600,-,
25/09/2024,50602094,50681927,5490,5870,5110,66400,365,279,5450,5500,5560,5450,110,5497,5500,10.0,0.18,1478,3865,9400,6800.0,66400,365,77.0,71.0,6,113800.0,274400.0,-160600,-,
24/09/2024,50602094,50681927,5560,5940,5180,16700,91,278,5470,5490,5560,5450,110,5449,5500,-70.0,-1.26,1129,1042,4600,4200.0,16700,91,68.0,55.0,13,76800.0,57300.0,19500,-,
23/09/2024,50602094,50681927,5580,5970,5190,1118000,6221,282,5500,5560,5600,5400,200,5457,5600,-20.0,-0.36,1255,6956,2400,11000.0,138000,753,170.0,62.0,108,213300.0,431300.0,-218000,980000,5468.0
20/09/2024,50602094,50681927,5500,5880,5120,64000,355,283,5500,5580,5600,5500,100,5547,5600,80.0,1.45,1026,2645,2300,16700.0,64000,355,112.0,60.0,52,114900.0,158700.0,-43800,-,
19/09/2024,50602094,50681927,5510,5890,5130,62500,345,279,5450,5500,5590,5450,140,5520,5500,-10.0,-0.18,1401,3743,13200,18900.0,62500,345,84.0,56.0,28,117700.0,209600.0,-91900,-,
18/09/2024,50602094,50681927,5600,5990,5210,56500,314,279,5600,5510,5600,5510,90,5558,5500,-90.0,-1.61,1372,5769,8900,49700.0,56500,314,79.0,49.0,30,108400.0,282700.0,-174300,-,
17/09/2024,50602094,50681927,5600,5990,5210,54300,303,284,5600,5600,5680,5570,110,5580,5600,,,1456,2237,23700,6400.0,54300,303,71.0,63.0,8,103400.0,140900.0,-37500,-,
16/09/2024,50602094,50681927,5660,6050,5270,69200,391,284,5660,5600,5700,5600,100,5650,5600,-60.0,-1.06,3126,2568,33700,8000.0,69200,391,58.0,59.0,-1,181300.0,151500.0,29800,-,
13/09/2024,50602094,50681927,5600,5990,5210,76700,432,287,5820,5660,5820,5600,220,5632,5700,60.0,1.07,1340,2435,5200,6200.0,76700,432,127.0,86.0,41,170200.0,209400.0,-39200,-,
12/09/2024,50602094,50681927,6100,6520,5680,1143800,6979,309,6290,6100,6290,6070,220,6119,5600,,,1073,3364,6200,40600.0,68800,421,172.0,83.0,89,184600.0,279200.0,-94600,1075000,6558.0
11/09/2024,50602094,50681927,6180,6610,5750,50200,307,309,6180,6100,6180,6070,110,6116,5600,-80.0,-1.29,1123,1799,6200,21900.0,50200,307,103.0,95.0,8,115700.0,170900.0,-55200,-,
10/09/2024,50602094,50681927,6150,6580,5720,57800,356,313,6150,6180,6200,6140,60,6159,5700,30.0,0.49,1129,1914,5800,10100.0,57800,356,122.0,102.0,20,137700.0,195200.0,-57500,-,
09/09/2024,50602094,50681927,6150,6580,5720,35200,215,312,6150,6150,6150,5950,200,6108,5600,,,850,1670,2500,600.0,35200,215,174.0,73.0,101,147900.0,121900.0,26000,-,
06/09/2024,50602094,50681927,6200,6630,5770,44300,268,312,6200,6150,6200,5800,400,6050,5600,-50.0,-0.81,1160,2136,7800,4400.0,44300,268,132.0,108.0,24,153100.0,230700.0,-77600,-,
05/09/2024,50602094,50681927,6150,6580,5720,109100,695,314,6550,6200,6550,6160,390,6370,5700,50.0,0.81,1676,2364,11100,9400.0,109100,695,128.0,183.0,-55,214500.0,432600.0,-218100,-,
04/09/2024,50602094,50681927,5750,6150,5350,604200,3526,312,5830,6150,6150,5830,320,6058,5600,400.0,6.96,2780,1286,53300,,168200,1019,261.0,147.0,114,725700.0,189000.0,536700,436000,2507.0
30/08/2024,50602094,50681927,5800,6200,5400,85700,495,291,5800,5750,5940,5700,240,5776,5300,-50.0,-0.86,1368,1793,8700,14700.0,85700,495,69.0,56.0,13,94400.0,100400.0,-6000,-,
29/08/2024,50602094,50681927,5900,6310,5490,41500,241,294,5950,5800,5950,5800,150,5807,5300,-100.0,-1.69,1293,3571,13100,6000.0,41500,241,89.0,51.0,38,115100.0,182100.0,-67000,-,
28/08/2024,50602094,50681927,5900,6310,5490,20500,121,299,5900,5900,5970,5900,70,5902,5400,,,916,1792,6400,15500.0,20500,121,75.0,60.0,15,68700.0,107500.0,-38800,-,
27/08/2024,50602094,50681927,5890,6300,5480,26200,154,299,5890,5900,5900,5880,20,5878,5400,10.0,0.17,847,2265,7300,1000.0,26200,154,64.0,46.0,18,54200.0,104200.0,-50000,-,
26/08/2024,50602094,50681927,5900,6310,5490,177900,1049,299,5900,5890,5910,5890,20,5897,5400,-10.0,-0.17,4782,15658,7400,7200.0,177900,1049,109.0,66.0,43,521200.0,1033400.0,-512200,-,
23/08/2024,50602094,50681927,5930,6340,5520,43600,257,299,5930,5900,5930,5890,40,5894,5400,-30.0,-0.51,1232,1919,9500,12600.0,43600,257,85.0,57.0,28,104700.0,109400.0,-4700,-,
22/08/2024,50602094,50681927,5950,6360,5540,55200,327,301,5990,5930,5990,5900,90,5924,5400,-20.0,-0.34,1339,1797,6500,16000.0,55200,327,110.0,72.0,38,147300.0,129400.0,17900,-,
21/08/2024,50602094,50681927,5960,6370,5550,32100,190,302,5940,5950,5960,5860,100,5919,5500,-10.0,-0.17,1266,1844,17200,30300.0,32100,190,88.0,55.0,33,111400.0,101400.0,10000,-,
20/08/2024,50602094,50681927,5940,6350,5530,130200,774,302,5940,5960,5980,5910,70,5945,5500,20.0,0.34,2563,3751,12900,27100.0,130200,774,96.0,70.0,26,246000.0,262600.0,-16600,-,
19/08/2024,50602094,50681927,5880,6290,5470,108200,638,301,5870,5940,5950,5820,130,5896,5500,60.0,1.02,1650,7437,2400,50200.0,108200,638,120.0,60.0,60,198000.0,446200.0,-248200,-,
16/08/2024,50602094,50681927,5800,6200,5400,102800,604,298,5900,5880,5900,5830,70,5875,5400,80.0,1.38,1332,2541,1500,12500.0,102800,604,124.0,68.0,56,165200.0,172800.0,-7600,-,
15/08/2024,50602094,50681927,5800,6200,5400,4100,23,294,5800,5800,5800,5780,20,5610,5300,,,272,1232,3800,37800.0,4100,23,29.0,34.0,-5,7900.0,41900.0,-34000,-,
14/08/2024,50602094,50681927,5800,6200,5400,35400,205,294,5790,5800,5880,5700,180,5791,5300,,,766,1602,7500,31900.0,35400,205,56.0,42.0,14,42900.0,67300.0,-24400,-,
13/08/2024,50602094,50681927,5930,6340,5520,46500,271,294,5920,5800,5930,5800,130,5828,5300,-130.0,-2.19,940,1751,9900,35800.0,46500,271,60.0,47.0,13,56400.0,82300.0,-25900,-,
12/08/2024,50602094,50681927,5900,6310,5490,38600,224,301,5720,5930,5930,5720,210,5803,5400,30.0,0.51,721,1064,10400,31600.0,38600,224,68.0,66.0,2,49000.0,70200.0,-21200,-,
09/08/2024,50602094,50681927,5930,6340,5520,25400,149,299,5910,5900,5970,5850,120,5866,5400,-30.0,-0.51,587,1249,5700,20800.0,25400,149,53.0,37.0,16,31100.0,46200.0,-15100,-,
08/08/2024,50602094,50681927,5950,6360,5540,18200,107,301,5950,5930,6000,5860,140,5879,5400,-20.0,-0.34,416,533,4700,9000.0,18200,107,55.0,51.0,4,22900.0,27200.0,-4300,-,
07/08/2024,50602094,50681927,5970,6380,5560,66400,389,302,6140,5950,6140,5800,340,5858,5500,-20.0,-0.34,738,1402,2200,9300.0,66400,389,93.0,54.0,39,68600.0,75700.0,-7100,-,
06/08/2024,50602094,50681927,5650,6040,5260,76800,424,303,5800,5970,5970,5260,710,5521,5500,320.0,5.66,778,1388,8000,3700.0,76800,424,109.0,58.0,51,84800.0,80500.0,4300,-,
05/08/2024,50602094,50681927,6050,6470,5630,59700,346,286,5800,5650,6040,5650,390,5796,5200,-400.0,-6.61,1163,931,31000,10100.0,59700,346,78.0,75.0,3,90700.0,69800.0,20900,-,
02/08/2024,50602094,50681927,6090,6510,5670,98900,591,307,6150,6050,6150,5810,340,5976,5600,-40.0,-0.66,753,1832,4300,5500.0,98900,591,137.0,57.0,80,103200.0,104400.0,-1200,-,
01/08/2024,50602094,50681927,6160,6590,5730,78200,478,309,6160,6090,6170,6090,80,6113,5600,-70.0,-1.14,783,932,3200,7500.0,78200,478,104.0,92.0,12,81400.0,85700.0,-4300,-,
31/07/2024,50602094,50681927,6200,6630,5770,78600,484,312,6200,6160,6220,6120,100,6158,5700,-40.0,-0.65,816,1230,600,16100.0,78600,484,97.0,77.0,20,79200.0,94700.0,-15500,-,
30/07/2024,50602094,50681927,6270,6700,5840,40900,253,314,6270,6200,6290,6200,90,6186,5700,-70.0,-1.12,721,506,11000,3100.0,40900,253,72.0,87.0,-15,51900.0,44000.0,7900,-,
29/07/2024,50602094,50681927,6290,6730,5850,72200,453,318,6400,6270,6400,6260,140,6274,5800,-20.0,-0.32,1356,894,2400,3800.0,72200,453,55.0,85.0,-30,74600.0,76000.0,-1400,-,
26/07/2024,50602094,50681927,6270,6700,5840,74300,461,319,6270,6290,6340,6200,140,6205,5800,20.0,0.32,827,1275,1800,7300.0,74300,461,92.0,64.0,28,76100.0,81600.0,-5500,-,
25/07/2024,50602094,50681927,6240,6670,5810,15700,98,318,6230,6270,6380,6230,150,6242,5800,30.0,0.48,486,1478,14900,139500.0,15700,98,63.0,105.0,-42,30600.0,155200.0,-124600,-,
24/07/2024,50602094,50681927,6210,6640,5780,13500,84,316,6400,6240,6470,6210,260,6222,5700,30.0,0.48,413,268,9600,4200.0,13500,84,56.0,66.0,-10,23100.0,17700.0,5400,-,
23/07/2024,50602094,50681927,6230,6660,5800,26900,168,315,6400,6210,6400,6210,190,6245,5700,-20.0,-0.32,555,532,14200,6100.0,26900,168,74.0,62.0,12,41100.0,33000.0,8100,-,
22/07/2024,50602094,50681927,6370,6810,5930,15700,98,316,6310,6230,6400,6200,200,6242,5700,-140.0,-2.2,270,396,2900,6900.0,15700,98,69.0,57.0,12,18600.0,22600.0,-4000,-,
19/07/2024,50602094,50681927,6480,6930,6030,45900,293,323,6480,6370,6500,6360,140,6383,5800,-110.0,-1.7,580,545,4000,4200.0,45900,293,86.0,92.0,-6,49900.0,50100.0,-200,-,
18/07/2024,50602094,50681927,6420,6860,5980,43900,282,328,6420,6480,6480,6410,70,6424,5900,60.0,0.93,475,736,6900,7600.0,43900,282,107.0,70.0,37,50800.0,51500.0,-700,-,
17/07/2024,50602094,50681927,6620,7080,6160,75000,489,325,6680,6420,6680,6400,280,6520,5900,-200.0,-3.02,624,946,6800,13000.0,75000,489,131.0,93.0,38,81800.0,88000.0,-6200,-,
16/07/2024,50602094,50681927,6630,7090,6170,119700,791,336,6630,6620,6640,6590,50,6608,6100,-10.0,-0.15,1010,1387,8600,5100.0,119700,791,127.0,90.0,37,128300.0,124800.0,3500,-,
