Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,150009819,150009329,10000,11500,8500,3,0.0,1500,10000,10000,10000,10000,-,10000,10000,,,100,-,97.0,,3.0,0.0,1.0,,1,100.0,,100,-,
26/09/2024,150009819,150009329,10000,11500,8500,-,,1500,10000,10000,10000,10000,-,10000,10000,,,133,-,400.0,,,,3.0,1.0,2,400.0,,400,-,
25/09/2024,150009819,150009329,9900,11300,8500,100,1.0,1500,10000,10000,10000,10000,-,10000,10000,100.0,1.01,100,100,200.0,100.0,100.0,1.0,3.0,2.0,1,300.0,200.0,100,-,
24/09/2024,150009819,150009329,9900,11300,8500,1,0.0,1485,9900,9900,9900,9900,-,9900,9900,,,100,-,199.0,,1.0,0.0,2.0,,2,200.0,,200,-,
23/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,133,100,400.0,200.0,,,3.0,2.0,1,400.0,200.0,200,-,
20/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,133,5000,400.0,10000.0,,,3.0,2.0,1,400.0,10000.0,-9600,-,
19/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,100,-,200.0,,,,2.0,,2,200.0,,200,-,
18/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,33,-,100.0,,,,3.0,,3,100.0,,100,-,
17/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
16/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,100,9900,200.0,9900.0,,,2.0,1.0,1,200.0,9900.0,-9700,-,
13/09/2024,150009819,150009329,9900,11300,8500,-,,1485,9900,9900,9900,9900,-,9900,9900,,,-,-,,,,,,,-,,,-,-,
