Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
26/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
19/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
18/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
17/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
16/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
13/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
12/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
11/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
10/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
09/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
06/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
05/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
04/09/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
30/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
29/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
28/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
27/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
26/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
23/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
22/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
21/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
20/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
19/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
16/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
15/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
14/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
13/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
12/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
09/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
08/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
07/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
06/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
05/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
02/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
01/08/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
31/07/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
30/07/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
29/07/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
26/07/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
25/07/2024,4000000,4000000,2800,3200,2400,-,,11,2800,2800,2800,2800,-,2800,2800,,,-,-,,,,,,,-,,,-,-,
