Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,7326928,7326861,28000,30800,25200,-,,205,28000,28000,28000,28000,-,28000,28000,,,450,225,1800.0,900.0,,,4.0,4.0,-,1800.0,900.0,900,-,
26/09/2024,7326928,7326861,27500,30200,24800,100,3.0,205,28000,28000,28000,28000,-,28000,28000,500.0,1.82,233,133,1300.0,300.0,100.0,3.0,6.0,3.0,3,1400.0,400.0,1000,-,
25/09/2024,7326928,7326861,27500,30200,24800,-,,201,27500,27500,27500,27500,-,27500,27500,,,767,350,4600.0,1400.0,,,6.0,4.0,2,4600.0,1400.0,3200,-,
24/09/2024,7326928,7326861,27500,30200,24800,2300,63.0,201,27000,27500,27500,27000,500,27391,27500,,,550,580,2100.0,600.0,2300.0,63.0,8.0,5.0,3,4400.0,2900.0,1500,-,
23/09/2024,7326928,7326861,26700,29300,24100,202,6.0,201,27500,27500,27500,27500,-,27500,27500,800.0,3.0,275,160,1998.0,598.0,202.0,6.0,8.0,5.0,3,2200.0,800.0,1400,-,
20/09/2024,7326928,7326861,26700,29300,24100,-,,196,26700,26700,26700,26700,-,26700,26700,,,244,100,2200.0,200.0,,,9.0,2.0,7,2200.0,200.0,2000,-,
19/09/2024,7326928,7326861,26700,29300,24100,-,,196,26700,26700,26700,26700,-,26700,26700,,,400,100,2400.0,100.0,,,6.0,1.0,5,2400.0,100.0,2300,-,
18/09/2024,7326928,7326861,26700,29300,24100,-,,196,26700,26700,26700,26700,-,26700,26700,,,450,150,3600.0,300.0,,,8.0,2.0,6,3600.0,300.0,3300,-,
17/09/2024,7326928,7326861,28900,31700,26100,137,4.0,196,26700,26700,26700,26700,-,26700,26700,-2200.0,-7.61,175,375,1263.0,1363.0,137.0,4.0,8.0,4.0,4,1400.0,1500.0,-100,-,
16/09/2024,7326928,7326861,28900,31700,26100,-,,212,28900,28900,28900,28900,-,28900,28900,,,250,333,1000.0,1000.0,,,4.0,3.0,1,1000.0,1000.0,-,-,
13/09/2024,7326928,7326861,28900,31700,26100,-,,212,28900,28900,28900,28900,-,28900,28900,,,213,150,1700.0,300.0,,,8.0,2.0,6,1700.0,300.0,1400,-,
12/09/2024,7326928,7326861,29500,32400,26600,400,11.0,212,27300,28900,28900,27300,1600,28500,28900,-600.0,-2.03,283,160,3000.0,400.0,400.0,11.0,12.0,5.0,7,3400.0,800.0,2600,-,
11/09/2024,7326928,7326861,29500,32400,26600,-,,216,29500,29500,29500,29500,-,29500,29500,,,480,150,2400.0,900.0,,,5.0,6.0,-1,2400.0,900.0,1500,-,
10/09/2024,7326928,7326861,29500,32400,26600,-,,216,29500,29500,29500,29500,-,29500,29500,,,300,643,900.0,4500.0,,,3.0,7.0,-4,900.0,4500.0,-3600,-,
09/09/2024,7326928,7326861,30000,33000,27000,329,10.0,216,29500,29500,29500,29500,-,29500,29500,-500.0,-1.67,1475,380,5571.0,1571.0,329.0,10.0,4.0,5.0,-1,5900.0,1900.0,4000,-,
06/09/2024,7326928,7326861,30000,33000,27000,3,0.0,220,30000,30000,30000,30000,-,30000,30000,,,200,325,397.0,1297.0,3.0,0.0,2.0,4.0,-2,400.0,1300.0,-900,-,
05/09/2024,7326928,7326861,30000,33000,27000,5,0.0,220,30000,30000,30000,30000,-,30000,30000,,,280,500,1395.0,1995.0,5.0,0.0,5.0,4.0,1,1400.0,2000.0,-600,-,
04/09/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,300,225,900.0,900.0,,,3.0,4.0,-1,900.0,900.0,-,-,
30/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,250,560,1000.0,2800.0,,,4.0,5.0,-1,1000.0,2800.0,-1800,-,
29/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,300,629,900.0,4400.0,,,3.0,7.0,-4,900.0,4400.0,-3500,-,
28/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,225,280,900.0,1400.0,,,4.0,5.0,-1,900.0,1400.0,-500,-,
27/08/2024,7326928,7326861,30000,33000,27000,600,18.0,220,30000,30000,30000,30000,-,30000,30000,,,350,540,800.0,2100.0,600.0,18.0,4.0,5.0,-1,1400.0,2700.0,-1300,-,
26/08/2024,7326928,7326861,30000,33000,27000,1700,51.0,220,30000,30000,30000,30000,-,30000,30000,,,529,344,2000.0,1400.0,1700.0,51.0,7.0,9.0,-2,3700.0,3100.0,600,-,
23/08/2024,7326928,7326861,30000,33000,27000,100,3.0,220,30000,30000,30000,30000,-,30000,30000,,,275,140,1000.0,600.0,100.0,3.0,4.0,5.0,-1,1100.0,700.0,400,-,
22/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,500,280,1000.0,1400.0,,,2.0,5.0,-3,1000.0,1400.0,-400,-,
21/08/2024,7326928,7326861,30000,33000,27000,4,0.0,220,30000,30000,30000,30000,-,30000,30000,,,500,300,996.0,1496.0,4.0,0.0,2.0,5.0,-3,1000.0,1500.0,-500,-,
20/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,500,300,1500.0,600.0,,,3.0,2.0,1,1500.0,600.0,900,-,
19/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,300,663,1200.0,5300.0,,,4.0,8.0,-4,1200.0,5300.0,-4100,-,
16/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,500,360,500.0,1800.0,,,1.0,5.0,-4,500.0,1800.0,-1300,-,
15/08/2024,7326928,7326861,30000,33000,27000,4,0.0,220,30000,30000,30000,30000,-,30000,30000,,,400,75,396.0,296.0,4.0,0.0,1.0,4.0,-3,400.0,300.0,100,-,
14/08/2024,7326928,7326861,30000,33000,27000,-,,220,30000,30000,30000,30000,-,30000,30000,,,300,375,600.0,1500.0,,,2.0,4.0,-2,600.0,1500.0,-900,-,
13/08/2024,7326928,7326861,27700,30400,25000,2000,60.0,220,28100,30000,30000,28100,1900,28100,30000,2300.0,8.3,667,275,,200.0,2000.0,60.0,3.0,8.0,-5,2000.0,2200.0,-200,-,
12/08/2024,7326928,7326861,27700,30400,25000,-,,203,27700,27700,27700,27700,-,27700,27700,,,1133,367,3400.0,3300.0,,,3.0,9.0,-6,3400.0,3300.0,100,-,
09/08/2024,7326928,7326861,27700,30400,25000,59,2.0,203,27700,27700,27700,27700,-,27700,27700,,,533,475,3141.0,1841.0,59.0,2.0,6.0,4.0,2,3200.0,1900.0,1300,-,
08/08/2024,7326928,7326861,27000,29700,24300,1200,33.0,203,24900,27700,27700,24900,2800,24900,27700,700.0,2.59,920,375,3400.0,300.0,1200.0,33.0,5.0,4.0,1,4600.0,1500.0,3100,-,
07/08/2024,7326928,7326861,26600,29200,24000,100,3.0,198,27000,27000,27000,27000,-,27000,27000,400.0,1.5,175,100,600.0,100.0,100.0,3.0,4.0,2.0,2,700.0,200.0,500,-,
06/08/2024,7326928,7326861,25800,28300,23300,600,16.0,195,26600,26600,26600,26600,-,26600,26600,800.0,3.1,629,200,3800.0,1000.0,600.0,16.0,7.0,8.0,-1,4400.0,1600.0,2800,-,
05/08/2024,7326928,7326861,25800,28300,23300,-,,189,25800,25800,25800,25800,-,25800,25800,,,450,100,900.0,100.0,,,2.0,1.0,1,900.0,100.0,800,-,
02/08/2024,7326928,7326861,25800,28300,23300,-,,189,25800,25800,25800,25800,-,25800,25800,,,400,100,800.0,200.0,,,2.0,2.0,-,800.0,200.0,600,-,
01/08/2024,7326928,7326861,25800,28300,23300,-,,189,25800,25800,25800,25800,-,25800,25800,,,380,433,1900.0,1300.0,,,5.0,3.0,2,1900.0,1300.0,600,-,
31/07/2024,7326928,7326861,25800,28300,23300,48,1.0,189,25800,25800,25800,25800,-,25800,25800,,,400,350,1552.0,652.0,48.0,1.0,4.0,2.0,2,1600.0,700.0,900,-,
30/07/2024,7326928,7326861,25800,28300,23300,10,0.0,189,25800,25800,25800,25800,-,25800,25800,,,400,267,1590.0,790.0,10.0,0.0,4.0,3.0,1,1600.0,800.0,800,-,
29/07/2024,7326928,7326861,25800,28300,23300,1,0.0,189,25800,25800,25800,25800,-,25800,25800,,,300,300,599.0,599.0,1.0,0.0,2.0,2.0,-,600.0,600.0,-,-,
26/07/2024,7326928,7326861,25800,28300,23300,10,0.0,189,25800,25800,25800,25800,-,25800,25800,,,750,425,1490.0,1690.0,10.0,0.0,2.0,4.0,-2,1500.0,1700.0,-200,-,
25/07/2024,7326928,7326861,25800,28300,23300,501,13.0,189,25800,25800,25800,25800,-,25800,25800,,,375,667,999.0,1499.0,501.0,13.0,4.0,3.0,1,1500.0,2000.0,-500,-,
24/07/2024,7326928,7326861,25800,28300,23300,-,,189,25800,25800,25800,25800,-,25800,25800,,,300,775,1200.0,3100.0,,,4.0,4.0,-,1200.0,3100.0,-1900,-,
23/07/2024,7326928,7326861,25800,28300,23300,-,,189,25800,25800,25800,25800,-,25800,25800,,,360,260,1800.0,1300.0,,,5.0,5.0,-,1800.0,1300.0,500,-,
22/07/2024,7326928,7326861,23500,25800,21200,300,8.0,189,25800,25800,25800,25800,-,25800,25800,2300.0,9.79,313,100,2200.0,,300.0,8.0,8.0,3.0,5,2500.0,300.0,2200,-,
19/07/2024,7326928,7326861,25000,27500,22500,703,17.0,172,23500,23500,23500,23500,-,23500,23500,-1500.0,-6.0,360,433,1097.0,597.0,703.0,17.0,5.0,3.0,2,1800.0,1300.0,500,-,
18/07/2024,7326928,7326861,26500,29100,23900,1235,32.0,183,26600,25000,26600,24500,2100,26292,25000,-1500.0,-5.66,500,450,2265.0,565.0,1235.0,32.0,7.0,4.0,3,3500.0,1800.0,1700,-,
17/07/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,400,300,799.0,599.0,1.0,0.0,2.0,2.0,-,800.0,600.0,200,-,
16/07/2024,7326928,7326861,26500,29100,23900,6,0.0,194,26500,26500,26500,26500,-,26500,26500,,,275,300,1094.0,594.0,6.0,0.0,4.0,2.0,2,1100.0,600.0,500,-,
15/07/2024,7326928,7326861,26500,29100,23900,-,,194,26500,26500,26500,26500,-,26500,26500,,,975,300,3900.0,600.0,,,4.0,2.0,2,3900.0,600.0,3300,-,
12/07/2024,7326928,7326861,26500,29100,23900,800,21.0,194,26500,26500,26500,26500,-,26500,26500,,,783,375,3900.0,700.0,800.0,21.0,6.0,4.0,2,4700.0,1500.0,3200,-,
11/07/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,1267,300,3799.0,599.0,1.0,0.0,3.0,2.0,1,3800.0,600.0,3200,-,
10/07/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,333,533,999.0,1599.0,1.0,0.0,3.0,3.0,-,1000.0,1600.0,-600,-,
09/07/2024,7326928,7326861,26500,29100,23900,-,,194,26500,26500,26500,26500,-,26500,26500,,,250,400,500.0,800.0,,,2.0,2.0,-,500.0,800.0,-300,-,
08/07/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,725,300,2899.0,599.0,1.0,0.0,4.0,2.0,2,2900.0,600.0,2300,-,
05/07/2024,7326928,7326861,26500,29100,23900,3,0.0,194,26500,26500,26500,26500,-,26500,26500,,,1550,467,6197.0,1397.0,3.0,0.0,4.0,3.0,1,6200.0,1400.0,4800,-,
04/07/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,933,300,5599.0,599.0,1.0,0.0,6.0,2.0,4,5600.0,600.0,5000,-,
03/07/2024,7326928,7326861,26900,29500,24300,107,3.0,194,26500,26500,26500,26500,-,26500,26500,-400.0,-1.49,2750,740,5393.0,3593.0,107.0,3.0,2.0,5.0,-3,5500.0,3700.0,1800,-,
02/07/2024,7326928,7326861,26900,29500,24300,7,0.0,197,26900,26900,26900,26900,-,26900,26900,,,2750,867,5493.0,2593.0,7.0,0.0,2.0,3.0,-1,5500.0,2600.0,2900,-,
01/07/2024,7326928,7326861,26900,29500,24300,3229,86.0,197,26500,26900,26900,26500,400,26758,26900,,,2075,740,5071.0,471.0,3229.0,86.0,4.0,5.0,-1,8300.0,3700.0,4600,-,
28/06/2024,7326928,7326861,26900,29500,24300,1,0.0,197,26900,26900,26900,26900,-,26900,26900,,,350,1125,699.0,4499.0,1.0,0.0,2.0,4.0,-2,700.0,4500.0,-3800,-,
27/06/2024,7326928,7326861,29700,32600,26800,211,6.0,197,26900,26900,26900,26900,-,26900,26900,-2800.0,-9.43,400,825,189.0,3089.0,211.0,6.0,1.0,4.0,-3,400.0,3300.0,-2900,-,
26/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,450,1100,900.0,4400.0,,,2.0,4.0,-2,900.0,4400.0,-3500,-,
25/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,-,1167,,3500.0,,,,3.0,-3,,3500.0,-3500,-,
24/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,200,833,200.0,2500.0,,,1.0,3.0,-2,200.0,2500.0,-2300,-,
21/06/2024,7326928,7326861,29700,32600,26800,900,27.0,218,29700,29700,29700,29700,-,29700,29700,,,1967,660,5000.0,2400.0,900.0,27.0,3.0,5.0,-2,5900.0,3300.0,2600,-,
20/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,1133,233,3400.0,700.0,,,3.0,3.0,-,3400.0,700.0,2700,-,
19/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,400,200,400.0,800.0,,,1.0,4.0,-3,400.0,800.0,-400,-,
18/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,5000,675,5000.0,2700.0,,,1.0,4.0,-3,5000.0,2700.0,2300,-,
17/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,400,140,400.0,700.0,,,1.0,5.0,-4,400.0,700.0,-300,-,
14/06/2024,7326928,7326861,29700,32600,26800,-,,218,29700,29700,29700,29700,-,29700,29700,,,-,1425,,5700.0,,,,4.0,-4,,5700.0,-5700,-,
13/06/2024,7326928,7326861,27000,29700,24300,1016,30.0,218,29700,29700,29700,29700,-,29700,29700,2700.0,10.0,880,933,3384.0,1784.0,1016.0,30.0,5.0,3.0,2,4400.0,2800.0,1600,-,
12/06/2024,7326928,7326861,27000,29700,24300,-,,198,27000,27000,27000,27000,-,27000,27000,,,400,1050,400.0,2100.0,,,1.0,2.0,-1,400.0,2100.0,-1700,-,
11/06/2024,7326928,7326861,27000,29700,24300,-,,198,27000,27000,27000,27000,-,27000,27000,,,500,100,500.0,200.0,,,1.0,2.0,-1,500.0,200.0,300,-,
10/06/2024,7326928,7326861,27000,29700,24300,-,,198,27000,27000,27000,27000,-,27000,27000,,,300,100,600.0,200.0,,,2.0,2.0,-,600.0,200.0,400,-,
07/06/2024,7326928,7326861,26500,29100,23900,6301,168.0,198,26500,27000,27000,26500,500,26738,27000,500.0,1.89,1920,1650,3299.0,299.0,6301.0,168.0,5.0,4.0,1,9600.0,6600.0,3000,-,
06/06/2024,7326928,7326861,26500,29100,23900,3000,80.0,194,26500,26500,26500,26500,-,26500,26500,,,2167,1300,3500.0,3500.0,3000.0,80.0,3.0,5.0,-2,6500.0,6500.0,-,-,
05/06/2024,7326928,7326861,26500,29100,23900,1,0.0,194,26500,26500,26500,26500,-,26500,26500,,,1200,100,3599.0,99.0,1.0,0.0,3.0,1.0,2,3600.0,100.0,3500,-,
04/06/2024,7326928,7326861,26500,29100,23900,-,,194,26500,26500,26500,26500,-,26500,26500,,,67,100,200.0,100.0,,,3.0,1.0,2,200.0,100.0,100,-,
