Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,1293878081,1270592235,45600,48750,42450,1565100,70629,57113,45700,44950,45750,44900,850,45127,45000,-650.0,-1.43,1047,2339,151300,11200.0,1565100,70629,2657.0,1387.0,1270,2782900.0,3244200.0,-461300,-,
26/09/2024,1293878081,1270592235,45400,48550,42250,1671300,76241,57939,45600,45600,46000,45300,700,45618,45600,200.0,0.44,1638,1968,34100,68800.0,1671300,76241,1552.0,1634.0,-82,2541400.0,3216300.0,-674900,-,
25/09/2024,1293878081,1270592235,45200,48350,42050,1308800,59608,57685,45500,45400,45800,45250,550,45544,45400,200.0,0.44,1521,2370,98500,67500.0,1308800,59608,1452.0,1482.0,-30,2208600.0,3512000.0,-1303400,-,
24/09/2024,1293878081,1270592235,45250,48400,42100,1181700,53454,57431,45300,45200,45600,45000,600,45235,45200,-50.0,-0.11,1171,1774,71000,19000.0,1181700,53454,1692.0,1309.0,383,1981000.0,2322700.0,-341700,-,
23/09/2024,1293878081,1270592235,46000,49200,42800,964800,43784,57494,46000,45250,46000,45100,900,45381,45300,-750.0,-1.63,999,1847,93400,22000.0,964800,43784,1840.0,1266.0,574,1837900.0,2337700.0,-499800,-,
20/09/2024,1293878081,1270592235,45350,48500,42200,1269300,58242,58447,45400,46000,46350,45350,1000,45885,46000,650.0,1.43,1666,1906,13000,69200.0,1269300,58242,1558.0,1713.0,-155,2596000.0,3264600.0,-668600,-,
19/09/2024,1293878081,1270592235,45000,48150,41850,1416300,63503,57621,45050,45350,45350,44550,800,44837,45400,350.0,0.78,1464,1961,5500,11700.0,1416300,63503,2139.0,1147.0,992,3130800.0,2249800.0,881000,-,
18/09/2024,1293878081,1270592235,45000,48150,41850,895400,40419,57177,45350,45000,45600,44750,850,45141,45000,,,1546,1620,32400,19900.0,895400,40419,1437.0,1289.0,148,2220900.0,2088200.0,132700,-,
17/09/2024,1293878081,1270592235,45000,48150,41850,1125600,50215,57177,45000,45000,45400,44200,1200,44612,45000,,,1174,1717,89400,5100.0,1125600,50215,1933.0,1271.0,662,2269600.0,2182600.0,87000,-,
