Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,12000000,12000000,9900,10800,9000,-,,119,9900,9900,9900,9900,-,9900,9900,,,407,2700,6100,56700,,,15,21,-6,6100,56700,-50600,-,
26/09/2024,12000000,12000000,9900,10800,9000,5800,57.0,119,9900,9900,9900,9900,-,9900,9900,,,700,2542,7500,55200,5800.0,57.0,19,24,-5,13300,61000,-47700,-,
25/09/2024,12000000,12000000,9900,10800,9000,4500,45.0,119,9900,9900,10000,9900,100,9904,9900,,,691,2624,10700,61100,4500.0,45.0,22,25,-3,15200,65600,-50400,-,
24/09/2024,12000000,12000000,9800,10700,8900,36600,360.0,119,9800,9900,9900,9800,100,9800,9900,100.0,1.02,1489,3768,17000,68900,36600.0,360.0,36,28,8,53600,105500,-51900,-,
23/09/2024,12000000,12000000,9800,10700,8900,13200,130.0,118,9900,9800,9900,9800,100,9900,9800,,,891,2841,6400,77700,13200.0,130.0,22,32,-10,19600,90900,-71300,-,
20/09/2024,12000000,12000000,9900,10800,9000,2525,25.0,118,9900,9800,9900,9800,100,9816,9800,-100.0,-1.01,281,2723,3375,68275,2525.0,25.0,21,26,-5,5900,70800,-64900,-,
19/09/2024,12000000,12000000,9900,10800,9000,10100,100.0,119,9900,9900,9900,9800,100,9867,9900,,,546,2559,10100,59000,10100.0,100.0,37,27,10,20200,69100,-48900,-,
18/09/2024,12000000,12000000,9900,10800,9000,1232,12.0,119,9900,9900,9900,9800,100,9858,9900,,,444,2742,9868,70068,1232.0,12.0,25,26,-1,11100,71300,-60200,-,
17/09/2024,12000000,12000000,9900,10800,9000,600,6.0,119,9900,9900,9900,9900,-,9900,9900,,,941,2788,15400,71900,600.0,6.0,17,26,-9,16000,72500,-56500,-,
16/09/2024,12000000,12000000,9900,10800,9000,7000,69.0,119,9900,9900,9900,9900,-,9900,9900,,,577,2422,8000,58400,7000.0,69.0,26,27,-1,15000,65400,-50400,-,
13/09/2024,12000000,12000000,9900,10800,9000,1500,15.0,119,9800,9900,9900,9800,100,9833,9900,,,587,2908,12000,68300,1500.0,15.0,23,24,-1,13500,69800,-56300,-,
12/09/2024,12000000,12000000,9800,10700,8900,500,5.0,119,9900,9900,9900,9900,-,9900,9900,100.0,1.02,354,2700,8000,69700,500.0,5.0,24,26,-2,8500,70200,-61700,-,
11/09/2024,12000000,12000000,9800,10700,8900,800,8.0,118,9800,9800,9800,9800,-,9800,9800,,,390,3409,7000,77600,800.0,8.0,20,23,-3,7800,78400,-70600,-,
10/09/2024,12000000,12000000,10000,11000,9000,600,6.0,118,10000,9800,10000,9800,200,9867,9800,-200.0,-2.0,282,2694,4200,85600,600.0,6.0,17,32,-15,4800,86200,-81400,-,
09/09/2024,12000000,12000000,9800,10700,8900,2404,24.0,120,9800,10000,10000,9800,200,9833,10000,200.0,2.04,370,1234,8696,40796,2404.0,24.0,30,35,-5,11100,43200,-32100,-,
06/09/2024,12000000,12000000,10000,11000,9000,14900,147.0,118,10000,9800,10000,9800,200,9866,9800,-200.0,-2.0,647,1486,4500,38600,14900.0,147.0,30,36,-6,19400,53500,-34100,-,
05/09/2024,12000000,12000000,10000,11000,9000,2101,21.0,120,10000,10000,10000,10000,-,10000,10000,,,471,793,11099,19299,2101.0,21.0,28,27,1,13200,21400,-8200,-,
04/09/2024,12000000,12000000,10100,11100,9100,1400,14.0,120,10000,10000,10000,10000,-,10000,10000,-100.0,-0.99,565,1070,16100,20000,1400.0,14.0,31,20,11,17500,21400,-3900,-,
30/08/2024,12000000,12000000,10000,11000,9000,11938,120.0,121,10000,10100,10100,10000,100,10029,10100,100.0,1.0,700,1344,9762,31062,11938.0,120.0,31,32,-1,21700,43000,-21300,-,
