Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,46336278,46336278,7500,8020,6980,300,2.0,334,7200,7200,7200,7200,-,6667.0,7200,-300.0,-4.0,125,338,100.0,1200.0,300.0,2.0,4.0,8.0,-4,500.0,2700.0,-2200,-,
26/09/2024,46336278,46336278,7500,8020,6980,-,,348,7500,7500,7500,7500,-,,7500,,,-,175,,600.0,,,1.0,4.0,-3,,700.0,-700,-,
25/09/2024,46336278,46336278,7500,8020,6980,200,1.0,348,7500,7500,7500,7500,-,5000.0,7500,,,100,121,100.0,400.0,200.0,1.0,4.0,14.0,-10,400.0,1700.0,-1300,-,
24/09/2024,46336278,46336278,7080,7570,6590,400,2.0,348,7080,7500,7500,6590,910,5000.0,7500,420.0,5.93,118,111,1100.0,500.0,400.0,2.0,17.0,9.0,8,2000.0,1000.0,1000,-,
23/09/2024,46336278,46336278,7080,7570,6590,-,,328,7080,7080,7080,7080,-,,7100,,,160,100,700.0,100.0,,,5.0,1.0,4,800.0,100.0,700,-,
20/09/2024,46336278,46336278,7600,8130,7070,400,3.0,328,7710,7080,7710,7080,630,7500.0,7100,-520.0,-6.84,107,371,500.0,2200.0,400.0,3.0,14.0,7.0,7,1500.0,2600.0,-1100,-,
19/09/2024,46336278,46336278,7200,7700,6700,290700,1976.0,352,6800,7600,7600,6700,900,5714.0,7600,400.0,5.56,107,158,700.0,300.0,700.0,4.0,27.0,12.0,15,2900.0,1900.0,1000,290000,1972.0
18/09/2024,46336278,46336278,7300,7810,6790,300,2.0,334,7790,7200,7790,7200,590,6667.0,7200,-100.0,-1.37,443,100,1000.0,400.0,300.0,2.0,7.0,11.0,-4,3100.0,1100.0,2000,-,
17/09/2024,46336278,46336278,6880,7360,6400,290100,1972.0,338,7300,7300,7300,7300,-,,7300,420.0,6.1,186,100,1000.0,300.0,100.0,,7.0,6.0,1,1300.0,600.0,700,290000,1972.0
16/09/2024,46336278,46336278,6890,7370,6410,800,5.0,319,6410,6880,6880,6410,470,6250.0,6900,-10.0,-0.15,463,188,2600.0,500.0,800.0,5.0,8.0,8.0,-,3700.0,1500.0,2200,-,
13/09/2024,46336278,46336278,6890,7370,6410,-,,319,6890,6890,6890,6890,-,,6900,,,500,100,1000.0,,,,2.0,2.0,-,1000.0,200.0,800,-,
12/09/2024,46336278,46336278,6520,6970,6070,200,1.0,319,6090,6890,6890,6090,800,5000.0,6900,370.0,5.67,300,180,1200.0,600.0,200.0,1.0,13.0,5.0,8,3900.0,900.0,3000,-,
11/09/2024,46336278,46336278,7000,7490,6510,100,,302,6520,6520,6520,6520,-,,6500,-480.0,-6.86,300,200,1000.0,700.0,100.0,,4.0,4.0,-,1200.0,800.0,400,-,
10/09/2024,46336278,46336278,7000,7490,6510,-,,324,7000,7000,7000,7000,-,,7000,,,300,100,1100.0,200.0,,,4.0,4.0,-,1200.0,400.0,800,-,
09/09/2024,46336278,46336278,7400,7910,6890,900,6.0,324,6890,7000,7300,6890,410,6667.0,7000,-400.0,-5.41,211,358,900.0,600.0,900.0,6.0,9.0,19.0,-10,1900.0,6800.0,-4900,-,
06/09/2024,46336278,46336278,7400,7910,6890,-,,343,7400,7400,7400,7400,-,,7400,,,367,117,1100.0,400.0,,,3.0,6.0,-3,1100.0,700.0,400,-,
05/09/2024,46336278,46336278,7090,7580,6600,100,,343,7400,7400,7400,7400,-,,7400,310.0,4.37,217,117,1100.0,400.0,100.0,,6.0,6.0,-,1300.0,700.0,600,-,
04/09/2024,46336278,46336278,6860,7340,6380,200,1.0,329,6390,7090,7090,6390,700,5000.0,7100,230.0,3.35,355,133,300.0,500.0,200.0,1.0,11.0,6.0,5,3900.0,800.0,3100,-,
30/08/2024,46336278,46336278,6860,7340,6380,1600,11.0,318,6860,6860,7340,6860,480,6875.0,6900,,,344,264,1500.0,1300.0,1600.0,11.0,9.0,11.0,-2,3100.0,2900.0,200,-,
29/08/2024,46336278,46336278,7360,7870,6850,100,,318,6860,6860,6860,6860,-,,6900,-500.0,-6.79,860,100,3300.0,300.0,100.0,,15.0,4.0,11,12900.0,400.0,12500,-,
28/08/2024,46336278,46336278,7900,8450,7350,200,1.0,341,7350,7360,7360,7350,10,5000.0,7400,-540.0,-6.84,243,213,1300.0,900.0,200.0,1.0,7.0,8.0,-1,1700.0,1700.0,-,-,
27/08/2024,46336278,46336278,7900,8450,7350,-,,366,7900,7900,7900,7900,-,,7900,,,750,463,1400.0,2900.0,,,2.0,8.0,-6,1500.0,3700.0,-2200,-,
26/08/2024,46336278,46336278,7900,8450,7350,-,,366,7900,7900,7900,7900,-,,7900,,,750,233,1400.0,700.0,,,2.0,3.0,-1,1500.0,700.0,800,-,
23/08/2024,46336278,46336278,7900,8450,7350,100,,366,7900,7900,7900,7900,-,,7900,,,467,170,1200.0,300.0,100.0,,3.0,10.0,-7,1400.0,1700.0,-300,-,
22/08/2024,46336278,46336278,7630,8160,7100,500,3.0,366,7100,7900,8140,7100,1040,6000.0,7900,270.0,3.54,189,367,100.0,1700.0,500.0,3.0,9.0,9.0,-,1700.0,3300.0,-1600,-,
21/08/2024,46336278,46336278,8200,8770,7630,200,1.0,354,7630,7630,7630,7630,-,5000.0,7600,-570.0,-6.95,67,190,,1100.0,200.0,1.0,3.0,10.0,-7,200.0,1900.0,-1700,-,
20/08/2024,46336278,46336278,8200,8770,7630,-,,380,8200,8200,8200,8200,-,,8200,,,-,243,,400.0,,,,7.0,-7,,1700.0,-1700,-,
19/08/2024,46336278,46336278,8200,8770,7630,100,,380,8200,8200,8200,8200,-,,8200,,,50,342,,1600.0,100.0,,2.0,12.0,-10,100.0,4100.0,-4000,-,
16/08/2024,46336278,46336278,7800,8340,7260,300,2.0,380,7700,8200,8200,7700,500,6667.0,8200,400.0,5.13,175,400,400.0,2100.0,300.0,2.0,4.0,9.0,-5,700.0,3600.0,-2900,-,
15/08/2024,46336278,46336278,7800,8340,7260,-,,361,7800,7800,7800,7800,-,,7800,,,-,550,,1100.0,,,,2.0,-2,,1100.0,-1100,-,
14/08/2024,46336278,46336278,7800,8340,7260,-,,361,7800,7800,7800,7800,-,,7800,,,-,260,,1300.0,,,,5.0,-5,,1300.0,-1300,-,
13/08/2024,46336278,46336278,7800,8340,7260,-,,361,7800,7800,7800,7800,-,,7800,,,33,100,100.0,400.0,,,3.0,4.0,-1,100.0,400.0,-300,-,
12/08/2024,46336278,46336278,7800,8340,7260,-,,361,7800,7800,7800,7800,-,,7800,,,-,180,,900.0,,,,5.0,-5,,900.0,-900,-,
09/08/2024,46336278,46336278,7900,8450,7350,100,,361,7800,7800,7800,7800,-,,7800,-100.0,-1.27,180,59,800.0,900.0,100.0,,5.0,17.0,-12,900.0,1000.0,-100,-,
08/08/2024,46336278,46336278,8460,9050,7870,1200,9.0,366,7870,7900,7900,7870,30,7500.0,7900,-560.0,-6.62,300,150,,900.0,1200.0,9.0,4.0,14.0,-10,1200.0,2100.0,-900,-,
07/08/2024,46336278,46336278,7980,8530,7430,100,,392,8460,8460,8460,8460,-,,8500,480.0,6.02,-,26,,400.0,100.0,,,19.0,-19,100.0,500.0,-400,-,
06/08/2024,46336278,46336278,7490,8010,6970,100,,370,7980,7980,7980,7980,-,,8000,490.0,6.54,600,84,2300.0,1500.0,100.0,,4.0,19.0,-15,2400.0,1600.0,800,-,
05/08/2024,46336278,46336278,7490,8010,6970,200,1.0,347,7490,7490,7490,7490,-,5000.0,7500,,,29,250,,1800.0,200.0,1.0,7.0,8.0,-1,200.0,2000.0,-1800,-,
02/08/2024,46336278,46336278,7070,7560,6580,1100,8.0,347,6580,7490,7490,6580,910,7273.0,7500,420.0,5.94,283,356,600.0,2100.0,1100.0,8.0,6.0,9.0,-3,1700.0,3200.0,-1500,-,
01/08/2024,46336278,46336278,7600,8130,7070,100,,328,7070,7070,7070,7070,-,,7100,-530.0,-6.97,825,75,3200.0,500.0,100.0,,4.0,8.0,-4,3300.0,600.0,2700,-,
31/07/2024,46336278,46336278,7600,8130,7070,-,,352,7600,7600,7600,7600,-,,7600,,,333,500,1000.0,1000.0,,,3.0,2.0,1,1000.0,1000.0,-,-,
30/07/2024,46336278,46336278,7600,8130,7070,-,,352,7600,7600,7600,7600,-,,7600,,,600,300,1200.0,600.0,,,2.0,2.0,-,1200.0,600.0,600,-,
29/07/2024,46336278,46336278,7980,8530,7430,600,4.0,352,7430,7600,8400,7430,970,6667.0,7600,-380.0,-4.76,178,163,1000.0,2000.0,600.0,4.0,9.0,16.0,-7,1600.0,2600.0,-1000,-,
26/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,1000,633,1000.0,1900.0,,,1.0,3.0,-2,1000.0,1900.0,-900,-,
25/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,1000,173,1000.0,1900.0,,,1.0,11.0,-10,1000.0,1900.0,-900,-,
24/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,433,200,1300.0,1000.0,,,3.0,5.0,-2,1300.0,1000.0,300,-,
23/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,-,357,,2500.0,,,2.0,7.0,-5,,2500.0,-2500,-,
22/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,100,400,400.0,1600.0,,,4.0,4.0,-,400.0,1600.0,-1200,-,
19/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,1000,267,1000.0,1600.0,,,1.0,6.0,-5,1000.0,1600.0,-600,-,
18/07/2024,46336278,46336278,7980,8530,7430,-,,370,7980,7980,7980,7980,-,,8000,,,1000,220,1000.0,1100.0,,,1.0,5.0,-4,1000.0,1100.0,-100,-,
17/07/2024,46336278,46336278,8000,8560,7440,100,,370,7980,7980,7980,7980,-,,8000,-20.0,-0.25,325,157,1200.0,2100.0,100.0,,4.0,14.0,-10,1300.0,2200.0,-900,-,
16/07/2024,46336278,46336278,8000,8560,7440,-,,371,8000,8000,8000,8000,-,,8000,,,333,88,1000.0,700.0,,,3.0,8.0,-5,1000.0,700.0,300,-,
15/07/2024,46336278,46336278,8000,8560,7440,2300,18.0,371,8000,8000,8000,8000,-,7826.0,8000,,,1100,533,1000.0,2500.0,2300.0,18.0,3.0,9.0,-6,3300.0,4800.0,-1500,-,
12/07/2024,46336278,46336278,8000,8560,7440,900,7.0,371,8000,8000,8000,8000,-,7778.0,8000,,,271,254,1000.0,2400.0,900.0,7.0,7.0,13.0,-6,1900.0,3300.0,-1400,-,
11/07/2024,46336278,46336278,7900,8450,7350,600,4.0,371,8000,8000,8000,8000,-,6667.0,8000,100.0,1.27,950,410,1300.0,3500.0,600.0,4.0,2.0,10.0,-8,1900.0,4100.0,-2200,-,
10/07/2024,46336278,46336278,7400,7910,6890,300,2.0,366,7900,7900,7900,7900,-,6667.0,7900,500.0,6.76,111,500,700.0,4700.0,300.0,2.0,9.0,10.0,-1,1000.0,5000.0,-4000,-,
09/07/2024,46336278,46336278,7900,8450,7350,200,1.0,343,7400,7400,7400,7400,-,5000.0,7400,-500.0,-6.33,433,485,100.0,800.0,200.0,1.0,3.0,13.0,-10,1300.0,6300.0,-5000,-,
08/07/2024,46336278,46336278,7900,8450,7350,-,,366,7900,7900,7900,7900,-,,7900,,,450,480,200.0,2400.0,,,4.0,5.0,-1,1800.0,2400.0,-600,-,
05/07/2024,46336278,46336278,7950,8500,7400,3100,24.0,366,7990,7900,7990,7800,190,7742.0,7900,-50.0,-0.63,529,447,600.0,800.0,3100.0,24.0,7.0,17.0,-10,3700.0,7600.0,-3900,-,
04/07/2024,46336278,46336278,7460,7980,6940,100,,368,7950,7950,7950,7950,-,,8000,490.0,6.57,138,313,400.0,1900.0,100.0,,8.0,8.0,-,1100.0,2500.0,-1400,-,
03/07/2024,46336278,46336278,7440,7960,6920,400,3.0,346,7800,7460,7800,7460,340,7500.0,7500,20.0,0.27,163,375,1400.0,2600.0,400.0,3.0,16.0,8.0,8,2600.0,3000.0,-400,-,
