Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,19430006,19430006,18700,20500,16900,-,,363,18700,18700,18700,18700,-,18700,18700,,,540,525,2700.0,2100.0,,,5,4,1,2700.0,2100,600,-,
26/09/2024,19430006,19430006,18700,20500,16900,1,0.0,363,18700,18700,18700,18700,-,18700,18700,,,400,225,1199.0,899.0,1.0,0.0,3,4,-1,1200.0,900,300,-,
25/09/2024,19430006,19430006,18700,20500,16900,-,,363,18700,18700,18700,18700,-,18700,18700,,,433,525,1300.0,2100.0,,,3,4,-1,1300.0,2100,-800,-,
24/09/2024,19430006,19430006,17300,19000,15600,186,3.0,363,18700,18700,18700,18700,-,18700,18700,1400.0,8.09,513,533,3914.0,1414.0,186.0,3.0,8,3,5,4100.0,1600,2500,-,
23/09/2024,19430006,19430006,17300,19000,15600,7,0.0,336,17300,17300,17300,17300,-,17300,17300,,,743,100,5193.0,193.0,7.0,0.0,7,2,5,5200.0,200,5000,-,
20/09/2024,19430006,19430006,17300,19000,15600,5580,97.0,336,17500,17300,17500,17300,200,17307,17300,,,680,950,4620.0,120.0,5580.0,97.0,15,6,9,10200.0,5700,4500,-,
19/09/2024,19430006,19430006,17900,19600,16200,2544,44.0,336,17500,17300,17500,17300,200,17348,17300,-600.0,-3.35,418,1029,4556.0,4656.0,2544.0,44.0,17,7,10,7100.0,7200,-100,-,
18/09/2024,19430006,19430006,17900,19600,16200,1,0.0,348,17900,17900,17900,17900,-,17900,17900,,,620,900,3099.0,4499.0,1.0,0.0,5,5,-,3100.0,4500,-1400,-,
17/09/2024,19430006,19430006,18900,20700,17100,801,15.0,348,18400,17900,18400,17900,500,18338,17900,-1000.0,-5.29,300,471,699.0,2499.0,801.0,15.0,5,7,-2,1500.0,3300,-1800,-,
16/09/2024,19430006,19430006,18900,20700,17100,-,,367,18900,18900,18900,18900,-,18900,18900,,,300,640,600.0,3200.0,,,2,5,-3,600.0,3200,-2600,-,
13/09/2024,19430006,19430006,18900,20700,17100,-,,367,18900,18900,18900,18900,-,18900,18900,,,500,400,500.0,800.0,,,1,2,-1,500.0,800,-300,-,
12/09/2024,19430006,19430006,18900,20700,17100,5,0.0,367,18900,18900,18900,18900,-,18900,18900,,,300,480,595.0,2395.0,5.0,0.0,2,5,-3,600.0,2400,-1800,-,
11/09/2024,19430006,19430006,18900,20700,17100,-,,367,18900,18900,18900,18900,-,18900,18900,,,500,560,1500.0,2800.0,,,3,5,-2,1500.0,2800,-1300,-,
10/09/2024,19430006,19430006,18900,20700,17100,-,,367,18900,18900,18900,18900,-,18900,18900,,,1250,300,2500.0,1800.0,,,2,6,-4,2500.0,1800,700,-,
09/09/2024,19430006,19430006,18900,20700,17100,7,0.0,367,18900,18900,18900,18900,-,18900,18900,,,500,367,993.0,1093.0,7.0,0.0,2,3,-1,1000.0,1100,-100,-,
06/09/2024,19430006,19430006,17600,19300,15900,109,2.0,367,18900,18900,18900,18900,-,18900,18900,1300.0,7.39,708,100,8391.0,191.0,109.0,2.0,12,3,9,8500.0,300,8200,-,
05/09/2024,19430006,19430006,17600,19300,15900,1,0.0,342,17600,17600,17600,17600,-,17600,17600,,,1213,100,9699.0,299.0,1.0,0.0,8,3,5,9700.0,300,9400,-,
04/09/2024,19430006,19430006,16700,18300,15100,1100,19.0,342,17500,17600,17600,17500,100,17591,17600,900.0,5.39,1170,325,10600.0,200.0,1100.0,19.0,10,4,6,11700.0,1300,10400,-,
30/08/2024,19430006,19430006,18000,19800,16200,811,14.0,324,17200,16700,17200,16700,500,17013,16700,-1300.0,-7.22,464,250,5689.0,689.0,811.0,14.0,14,6,8,6500.0,1500,5000,-,
29/08/2024,19430006,19430006,18000,19800,16200,1,0.0,350,18000,18000,18000,18000,-,18000,18000,,,650,420,2599.0,2099.0,1.0,0.0,4,5,-1,2600.0,2100,500,-,
28/08/2024,19430006,19430006,18000,19800,16200,700,13.0,350,18000,18000,18000,18000,-,18000,18000,,,480,267,1700.0,900.0,700.0,13.0,5,6,-1,2400.0,1600,800,-,
27/08/2024,19430006,19430006,18000,19800,16200,-,,350,18000,18000,18000,18000,-,18000,18000,,,540,200,2700.0,800.0,,,5,4,1,2700.0,800,1900,-,
