Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,2341871600,2341871600,13050,13950,12150,7500100,98248,30561,13000,13050,13250,13000,250,13100,13100,,,7406,4425,1884600,473400.0,7500100,98248,2270.0,3996.0,-1726,16812100.0,17682400.0,-870300,-,
26/09/2024,2341871600,2341871600,13050,13950,12150,6034427,78772,30561,13050,13050,13150,12950,200,13054,13100,,,4221,4328,738300,1315800.0,6034400,78772,2712.0,3655.0,-943,11447700.0,15817200.0,-4369500,27,0.0
25/09/2024,2341871600,2341871600,12600,13450,11750,15412516,198562,30561,12700,13050,13050,12600,450,12883,13100,450.0,3.57,7769,5008,636100,1004900.0,15412500,198562,3787.0,4985.0,-1198,29420500.0,24962700.0,4457800,16,0.0
24/09/2024,2341871600,2341871600,12500,13350,11650,2322224,29199,29508,12550,12600,12650,12500,150,12574,12600,100.0,0.8,2850,4165,411300,1013400.0,2322200,29199,2059.0,1848.0,211,5868700.0,7696100.0,-1827400,24,0.0
23/09/2024,2341871600,2341871600,12550,13400,11700,3154700,39659,29273,12650,12500,12700,12500,200,12571,12500,-50.0,-0.4,3018,4859,713200,263400.0,3154700,39659,2415.0,2194.0,221,7287700.0,10659900.0,-3372200,-,
20/09/2024,2341871600,2341871600,12550,13400,11700,5332414,67235,29390,12600,12550,12750,12500,250,12609,12600,,,3707,6300,871000,541300.0,5232400,65975,3245.0,2472.0,773,12029300.0,15573600.0,-3544300,100014,1260.0
19/09/2024,2341871600,2341871600,12750,13600,11900,3166226,39972,29390,12750,12550,12800,12550,250,12625,12600,-200.0,-1.57,2286,5966,863200,231000.0,3166200,39972,2915.0,1918.0,997,6664100.0,11443000.0,-4778900,26,0.0
18/09/2024,2341871600,2341871600,12550,13400,11700,7447925,93884,29859,12600,12750,12750,12450,300,12606,12800,200.0,1.59,4357,6420,599400,1458000.0,7347900,92624,3021.0,2189.0,832,13162200.0,14052400.0,-890200,100025,1260.0
17/09/2024,2341871600,2341871600,12300,13150,11450,4649740,57414,29390,12350,12550,12550,12250,300,12348,12600,250.0,2.03,3606,5038,313900,306400.0,4649700,57414,3344.0,1725.0,1619,12059100.0,8691400.0,3367700,40,0.0
16/09/2024,2341871600,2341871600,12800,13650,11950,9058902,113317,28805,12850,12300,12950,12250,700,12509,12300,-500.0,-3.91,2823,7211,1303300,189700.0,9058900,113317,5484.0,2298.0,3186,15481800.0,16571200.0,-1089400,2,0.0
13/09/2024,2341871600,2341871600,12900,13800,12000,2316211,29814,29976,12950,12800,13000,12800,200,12872,12800,-100.0,-0.78,2226,4662,748800,305500.0,2316200,29814,2386.0,1449.0,937,5310200.0,6755500.0,-1445300,11,0.0
12/09/2024,2341871600,2341871600,12850,13700,12000,1649258,21379,30210,12900,12900,13050,12900,150,12963,12900,50.0,0.39,2296,3575,642200,394200.0,1649200,21378,2024.0,1715.0,309,4646800.0,6131100.0,-1484300,58,1.0
11/09/2024,2341871600,2341871600,13000,13900,12100,3884573,50076,30093,12950,12850,13050,12800,250,12888,12900,-150.0,-1.15,2514,5209,628700,239100.0,3784500,48775,3407.0,1681.0,1726,8565500.0,8756200.0,-190700,100073,1301.0
10/09/2024,2341871600,2341871600,13050,13950,12150,3367519,43993,30444,13250,13000,13250,12950,300,13064,13000,-50.0,-0.38,3022,3831,610900,298400.0,3367500,43993,2514.0,2582.0,-68,7598100.0,9890700.0,-2292600,19,0.0
09/09/2024,2341871600,2341871600,13100,14000,12200,2627903,34282,30561,13100,13050,13150,12900,250,13047,13100,-50.0,-0.38,3487,3766,751900,244100.0,2527900,32982,2729.0,1766.0,963,9515800.0,6650900.0,2864900,100003,1300.0
06/09/2024,2341871600,2341871600,13050,13950,12150,5592800,72480,30679,13150,13100,13150,12800,350,12960,13100,50.0,0.38,3156,4711,283100,243000.0,5592800,72480,4758.0,2383.0,2375,15016500.0,11226800.0,3789700,-,
05/09/2024,2341871600,2341871600,13200,14100,12300,7870448,103185,30561,13200,13050,13300,12900,400,13110,13100,-150.0,-1.14,2947,6428,361900,241300.0,7870400,103184,4970.0,2266.0,2704,14644700.0,14566200.0,78500,48,1.0
04/09/2024,2341871600,2341871600,13450,14350,12550,6585725,87442,30913,13350,13200,13400,13200,200,13278,13200,-250.0,-1.86,3129,6630,1086100,288800.0,6585700,87442,4148.0,2184.0,1964,12980600.0,14480100.0,-1499500,25,0.0
30/08/2024,2341871600,2341871600,13550,14450,12650,4119301,55625,31498,13550,13450,13600,13450,150,13504,13500,-100.0,-0.74,3393,4057,1099400,404100.0,4119300,55625,1538.0,1115.0,423,5218700.0,4523400.0,695300,1,0.0
29/08/2024,2341871600,2341871600,13650,14600,12700,4854037,66389,31732,13700,13550,13850,13550,300,13677,13600,-100.0,-0.73,3095,4179,709600,824300.0,4854000,66389,3124.0,4699.0,-1575,9668800.0,19636500.0,-9967700,37,0.0
28/08/2024,2341871600,2341871600,13450,14350,12550,7769616,105456,31967,13450,13650,13700,13400,300,13573,13700,200.0,1.49,5353,4437,466500,1598100.0,7769600,105456,3306.0,4601.0,-1295,17695900.0,20414500.0,-2718600,16,0.0
27/08/2024,2341871600,2341871600,13400,14300,12500,5942140,79318,31498,13400,13450,13500,13250,250,13348,13500,50.0,0.37,3695,6038,383000,604800.0,5942100,79317,4655.0,2519.0,2136,17199500.0,15209400.0,1990100,40,1.0
26/08/2024,2341871600,2341871600,13550,14450,12650,6596336,89350,31381,13700,13400,13700,13400,300,13545,13400,-150.0,-1.11,5168,5124,522600,605800.0,6596300,89350,2977.0,3505.0,-528,15384000.0,17959000.0,-2575000,36,0.0
23/08/2024,2341871600,2341871600,13600,14550,12650,5784550,78597,31732,13600,13550,13700,13500,200,13587,13600,-50.0,-0.37,4881,4789,1829100,795000.0,5784500,78596,3337.0,3413.0,-76,16287100.0,16344400.0,-57300,50,1.0
22/08/2024,2341871600,2341871600,13750,14700,12800,6038133,82415,31849,13800,13600,13800,13550,250,13649,13600,-150.0,-1.09,3163,4401,1106800,548300.0,6038100,82415,3993.0,3955.0,38,12628600.0,17405400.0,-4776800,33,0.0
21/08/2024,2341871600,2341871600,13500,14400,12600,12635455,173615,32201,13500,13750,13950,13400,550,13740,13800,250.0,1.85,4722,4857,1011000,1165400.0,12635400,173614,5831.0,6766.0,-935,27535800.0,32864900.0,-5329100,55,1.0
20/08/2024,2341871600,2341871600,13500,14400,12600,9152028,122757,31615,13550,13500,13600,13300,300,13413,13500,,,3634,7059,1087700,694700.0,9152000,122757,5947.0,3080.0,2867,21612100.0,21742100.0,-130000,28,0.0
19/08/2024,2341871600,2341871600,13450,14350,12550,8438731,114911,31615,13550,13500,13750,13500,250,13617,13500,50.0,0.37,4672,4448,1157400,273700.0,8438700,114911,4050.0,3735.0,315,18920800.0,16613700.0,2307100,31,0.0
16/08/2024,2341871600,2341871600,13050,13950,12150,7606930,102019,31498,13100,13450,13550,13100,450,13411,13500,400.0,3.07,5148,4289,603300,647700.0,7606900,102019,4006.0,3638.0,368,20623800.0,15603400.0,5020400,30,0.0
15/08/2024,2341871600,2341871600,13350,14250,12450,5342113,70183,30561,13250,13050,13350,13050,300,13138,13100,-300.0,-2.25,3321,5014,1229400,43100.0,5342100,70183,1979.0,1074.0,905,6571500.0,5385200.0,1186300,13,0.0
14/08/2024,2341871600,2341871600,13400,14300,12500,3128035,41623,31264,13450,13350,13450,13250,200,13307,13400,-50.0,-0.37,2557,3169,645500,383800.0,3128000,41623,1476.0,1108.0,368,3773500.0,3511800.0,261700,35,0.0
13/08/2024,2341871600,2341871600,13600,14550,12650,12008305,159819,31381,13550,13400,13600,13050,550,13309,13400,-200.0,-1.47,4714,6603,164200,609200.0,12008300,159819,2582.0,1911.0,671,12172500.0,12617500.0,-445000,5,0.0
12/08/2024,2341871600,2341871600,13850,14800,12900,8115303,111342,31849,13950,13600,13950,13600,350,13720,13600,-250.0,-1.81,4609,6656,572000,184800.0,8115300,111342,1885.0,1247.0,638,8687300.0,8300100.0,387200,3,0.0
09/08/2024,2341871600,2341871600,13800,14750,12850,7389601,102466,32435,14000,13850,14000,13650,350,13866,13900,50.0,0.36,4201,4785,361000,500300.0,7389600,102466,1845.0,1649.0,196,7750600.0,7889900.0,-139300,1,0.0
08/08/2024,2341871600,2341871600,13750,14700,12800,12626803,175258,32318,13750,13800,14150,13550,600,13880,13800,50.0,0.36,5809,5698,107300,582000.0,12626800,175258,2192.0,2318.0,-126,12734100.0,13208800.0,-474700,3,0.0
07/08/2024,2341871600,2341871600,13750,14700,12800,5928800,80950,32201,13750,13750,13850,13450,400,13653,13800,,,3334,4577,253000,774000.0,5898800,80539,1845.0,1458.0,387,6151800.0,6672800.0,-521000,30000,411.0
06/08/2024,2341871600,2341871600,13300,14200,12400,11832001,161368,32201,13300,13750,13850,13300,550,13575,13800,450.0,3.38,6852,6245,243500,889500.0,10088700,136950,1508.0,1758.0,-250,10332200.0,10978200.0,-646000,1743301,24418.0
