Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,74670891,74670891,29800,34200,25400,13901,414,2225,29800,29800,29800,29600,200,29765,29800,,,728,874,36299,36799,13901,414,69,58,11,50200,50700,-500,-,
26/09/2024,74670891,74670891,29500,33900,25100,74906,1998,2218,29500,29700,30000,29500,500,29812,29700,200.0,0.68,929,1041,39194,28194,24906,743,69,51,18,64100,53100,11000,50000,1255.0
25/09/2024,74670891,74670891,29500,33900,25100,20100,593,2203,29500,29500,29600,29500,100,29506,29500,,,875,1628,36800,49900,20100,593,65,43,22,56900,70000,-13100,-,
24/09/2024,74670891,74670891,29400,33800,25000,16167,478,2210,29600,29600,29700,29400,300,29545,29600,200.0,0.68,697,1153,34733,25333,16167,478,73,36,37,50900,41500,9400,-,
23/09/2024,74670891,74670891,29400,33800,25000,6700,197,2203,29500,29500,29600,29300,300,29437,29500,100.0,0.34,549,803,27900,19000,6700,197,63,32,31,34600,25700,8900,-,
20/09/2024,74670891,74670891,29500,33900,25100,29800,876,2203,29500,29500,29700,29300,400,29396,29500,,,554,1617,25000,54300,29800,876,99,52,47,54800,84100,-29300,-,
19/09/2024,74670891,74670891,29600,34000,25200,10820,320,2218,29600,29700,29700,29400,300,29534,29700,100.0,0.34,522,1247,17880,29080,10820,320,55,32,23,28700,39900,-11200,-,
18/09/2024,74670891,74670891,29400,33800,25000,113901,2911,2210,29400,29600,29700,29400,300,29571,29600,200.0,0.68,691,1464,22699,59299,13901,411,53,50,3,36600,73200,-36600,100000,2500.0
17/09/2024,74670891,74670891,29400,33800,25000,9400,276,2203,29400,29500,29500,29300,200,29405,29500,100.0,0.34,592,1246,26100,52900,9400,276,60,50,10,35500,62300,-26800,-,
16/09/2024,74670891,74670891,29300,33600,25000,7200,212,2195,29400,29400,29500,29400,100,29408,29400,100.0,0.34,409,893,10400,32100,7200,212,43,44,-1,17600,39300,-21700,-,
13/09/2024,74670891,74670891,29300,33600,25000,5200,152,2188,29300,29300,29400,29200,200,29306,29300,,,442,718,17800,18500,5200,152,52,33,19,23000,23700,-700,-,
12/09/2024,74670891,74670891,29300,33600,25000,17500,512,2188,29200,29300,29400,29200,200,29279,29300,,,563,1060,17400,14300,17500,512,62,30,32,34900,31800,3100,-,
11/09/2024,74670891,74670891,29400,33800,25000,5800,170,2195,29300,29400,29400,29200,200,29312,29400,,,428,2452,18600,65300,5800,170,57,29,28,24400,71100,-46700,-,
10/09/2024,74670891,74670891,29300,33600,25000,20100,591,2188,29400,29300,29400,29300,100,29381,29300,,,728,1634,21400,46900,20100,591,57,41,16,41500,67000,-25500,-,
09/09/2024,74670891,74670891,29500,33900,25100,8710,255,2195,29600,29400,29600,29200,400,29299,29400,-100.0,-0.34,563,1883,41990,59090,8710,255,90,36,54,50700,67800,-17100,-,
06/09/2024,74670891,74670891,29600,34000,25200,15000,443,2195,29600,29400,29600,29400,200,29515,29400,-200.0,-0.68,633,1659,23000,53000,15000,443,60,41,19,38000,68000,-30000,-,
05/09/2024,74670891,74670891,29600,34000,25200,19601,580,2203,29600,29500,29800,29500,300,29605,29500,-100.0,-0.34,835,1852,21299,72999,19601,580,49,50,-1,40900,92600,-51700,-,
04/09/2024,74670891,74670891,29500,33900,25100,30110,892,2210,29400,29600,29900,29300,600,29617,29600,100.0,0.34,1351,1305,52290,55990,30110,892,61,66,-5,82400,86100,-3700,-,
30/08/2024,74670891,74670891,29400,33800,25000,8601,254,2203,29500,29500,29600,29400,200,29522,29500,100.0,0.34,635,1718,26299,48099,8601,254,55,33,22,34900,56700,-21800,-,
29/08/2024,74670891,74670891,29400,33800,25000,16200,477,2203,29200,29500,29600,29200,400,29436,29500,100.0,0.34,731,1519,31300,56700,16200,477,65,48,17,47500,72900,-25400,-,
28/08/2024,74670891,74670891,29300,33600,25000,12400,365,2195,29300,29400,29500,29300,200,29427,29400,100.0,0.34,850,1675,36900,61300,12400,365,58,44,14,49300,73700,-24400,-,
27/08/2024,74670891,74670891,29400,33800,25000,31200,915,2195,29400,29400,29400,29300,100,29336,29400,,,727,2064,28400,55500,31200,915,82,42,40,59600,86700,-27100,-,
26/08/2024,74670891,74670891,29500,33900,25100,35900,1056,2188,29400,29300,29600,29300,300,29424,29300,-200.0,-0.68,778,1231,45000,55200,35900,1056,104,74,30,80900,91100,-10200,-,
23/08/2024,74670891,74670891,29600,34000,25200,12101,357,2203,29500,29500,29600,29400,200,29485,29500,-100.0,-0.34,414,1101,11899,63899,12101,357,58,69,-11,24000,76000,-52000,-,
22/08/2024,74670891,74670891,29600,34000,25200,20401,604,2203,29500,29500,29800,29500,300,29598,29500,-100.0,-0.34,611,1056,19299,61999,20401,604,65,78,-13,39700,82400,-42700,-,
21/08/2024,74670891,74670891,29600,34000,25200,36800,1087,2225,29700,29800,29800,29500,300,29550,29800,200.0,0.68,687,1585,34600,67800,36800,1087,104,66,38,71400,104600,-33200,-,
20/08/2024,74670891,74670891,29700,34100,25300,63500,1880,2203,29900,29500,29900,29500,400,29603,29500,-200.0,-0.67,766,1273,26100,53600,63500,1880,117,92,25,89600,117100,-27500,-,
19/08/2024,74670891,74670891,29900,34300,25500,92201,2739,2225,29900,29800,29900,29600,300,29712,29800,-100.0,-0.33,783,1669,24399,42999,92201,2739,149,81,68,116600,135200,-18600,-,
16/08/2024,74670891,74670891,29900,34300,25500,38001,1136,2233,29800,29900,30100,29500,600,29899,29900,,,634,607,24099,49399,38001,1136,98,144,-46,62100,87400,-25300,-,
15/08/2024,74670891,74670891,29700,34100,25300,21120,632,2218,29600,29700,30100,29600,500,29911,29700,,,775,1237,23080,62980,21120,632,57,68,-11,44200,84100,-39900,-,
14/08/2024,74670891,74670891,30100,34600,25600,42100,1251,2203,30300,29500,30300,29500,800,29717,29500,-600.0,-1.99,477,1199,7000,58600,42100,1251,103,84,19,49100,100700,-51600,-,
13/08/2024,74670891,74670891,31000,35600,26400,145400,4005,2240,30400,30000,30400,29900,500,30065,30000,-1000.0,-3.23,602,880,20800,98000,45400,1365,110,163,-53,66200,143400,-77200,100000,2640.0
12/08/2024,74670891,74670891,30400,34900,25900,74100,2295,2277,30500,30500,31900,30300,1600,30965,30500,100.0,0.33,802,1213,8500,93300,74100,2295,103,138,-35,82600,167400,-84800,-,
09/08/2024,74670891,74670891,29900,34300,25500,28370,863,2255,30500,30200,30600,30200,400,30413,30200,300.0,1.0,808,1220,12830,86330,28370,863,51,94,-43,41200,114700,-73500,-,
08/08/2024,74670891,74670891,29300,33600,25000,91450,2736,2240,29400,30000,30600,29300,1300,29913,30000,700.0,2.39,921,845,16250,65750,91450,2736,117,186,-69,107700,157200,-49500,-,
07/08/2024,74670891,74670891,29000,33300,24700,14701,431,2195,29200,29400,29500,29100,400,29307,29400,400.0,1.38,519,904,12299,27799,14701,431,52,47,5,27000,42500,-15500,-,
06/08/2024,74670891,74670891,28800,33100,24500,18500,537,2180,29200,29200,29200,28800,400,29018,29200,400.0,1.39,468,947,11000,26000,18500,537,63,47,16,29500,44500,-15000,-,
05/08/2024,74670891,74670891,29500,33900,25100,21501,619,2173,29100,29100,29500,28500,1000,28800,29100,-400.0,-1.36,536,877,32099,24999,21501,619,100,53,47,53600,46500,7100,-,
02/08/2024,74670891,74670891,29600,34000,25200,28200,832,2210,29500,29600,29700,29300,400,29489,29600,,,597,1383,10000,36800,28200,832,64,47,17,38200,65000,-26800,-,
01/08/2024,74670891,74670891,29800,34200,25400,78300,2319,2180,29800,29200,29900,29200,700,29618,29200,-600.0,-2.01,1342,1323,17000,54000,78300,2319,71,100,-29,95300,132300,-37000,-,
31/07/2024,74670891,74670891,29700,34100,25300,41151,1225,2225,29700,29800,30300,29600,700,29758,29800,100.0,0.34,985,1116,45549,33649,41151,1225,88,67,21,86700,74800,11900,-,
30/07/2024,74670891,74670891,30400,34900,25900,76510,2274,2218,30200,29700,30200,29500,700,29726,29700,-700.0,-2.3,612,999,31790,19390,76510,2274,177,96,81,108300,95900,12400,-,
29/07/2024,74670891,74670891,30200,34700,25700,134201,3609,2277,30800,30500,30900,30300,600,30368,30500,300.0,0.99,933,1148,40399,35799,34201,1039,80,61,19,74600,70000,4600,100000,2570.0
26/07/2024,74670891,74670891,30100,34600,25600,32401,978,2263,30000,30300,30300,30000,300,30183,30300,200.0,0.66,1246,1174,67299,22799,32401,978,80,47,33,99700,55200,44500,-,
25/07/2024,74670891,74670891,30000,34500,25500,40700,1224,2248,29900,30100,30200,29700,500,30078,30100,100.0,0.33,1090,1133,63900,31800,40700,1224,96,64,32,104600,72500,32100,-,
24/07/2024,74670891,74670891,29900,34300,25500,51020,1530,2248,30300,30100,30300,29200,1100,29989,30100,200.0,0.67,710,1100,27080,41380,51020,1530,110,84,26,78100,92400,-14300,-,
23/07/2024,74670891,74670891,30300,34800,25800,75202,2249,2210,30300,29600,30900,29600,1300,29902,29600,-700.0,-2.31,887,1477,6398,63598,75202,2249,92,94,-2,81600,138800,-57200,-,
22/07/2024,74670891,74670891,30400,34900,25900,41900,1269,2270,30500,30400,30900,30100,800,30293,30400,,,1140,1096,63000,37000,41900,1269,92,72,20,104900,78900,26000,-,
19/07/2024,74670891,74670891,30200,34700,25700,36634,1114,2292,30600,30700,30900,30200,700,30401,30700,500.0,1.66,1097,977,89566,27866,36634,1114,115,66,49,126200,64500,61700,-,
18/07/2024,74670891,74670891,31800,36500,27100,188800,5706,2300,31800,30800,31800,29700,2100,30221,30800,-1000.0,-3.14,1301,2311,100100,63100,188800,5706,222,109,113,288900,251900,37000,-,
17/07/2024,74670891,74670891,32300,37100,27500,56151,1784,2337,32200,31300,33000,31000,2000,31778,31300,-1000.0,-3.1,746,1461,34149,104549,56151,1784,121,110,11,90300,160700,-70400,-,
16/07/2024,74670891,74670891,31800,36500,27100,217191,7017,2442,31300,32700,33900,31300,2600,32310,32700,900.0,2.83,1730,2703,73409,96309,217191,7017,168,116,52,290600,313500,-22900,-,
15/07/2024,74670891,74670891,31100,35700,26500,55202,1754,2337,31500,31300,32000,31200,800,31782,31300,200.0,0.64,1136,2649,14098,154098,55202,1754,61,79,-18,69300,209300,-140000,-,
12/07/2024,74670891,74670891,31200,35800,26600,11913,371,2322,31400,31100,31400,31000,400,31119,31100,-100.0,-0.32,1320,850,42187,18687,11913,371,41,36,5,54100,30600,23500,-,
11/07/2024,74670891,74670891,31200,35800,26600,15510,484,2337,31300,31300,31400,31000,400,31220,31300,100.0,0.32,1070,809,31590,19290,15510,484,44,43,1,47100,34800,12300,-,
10/07/2024,74670891,74670891,31300,35900,26700,128851,3571,2315,31700,31000,31700,31000,700,31221,31000,-300.0,-0.96,740,993,17049,28749,28851,901,62,58,4,45900,57600,-11700,100000,2670.0
09/07/2024,74670891,74670891,31100,35700,26500,32985,1033,2345,31200,31400,31700,30900,800,31327,31400,300.0,0.96,941,1008,38515,47615,32985,1033,76,80,-4,71500,80600,-9100,-,
08/07/2024,74670891,74670891,30400,34900,25900,98019,3052,2322,31000,31100,31400,30800,600,31139,31100,700.0,2.3,1269,1568,40281,68181,98019,3052,109,106,3,138300,166200,-27900,-,
05/07/2024,74670891,74670891,29900,34300,25500,112755,3166,2270,29600,30400,30600,29600,1000,30383,30400,500.0,1.67,1332,1336,39003,95403,59597,1811,74,116,-42,98600,155000,-56400,53158,1356.0
04/07/2024,74670891,74670891,29600,34000,25200,72751,2175,2218,29600,29700,30300,29600,700,29903,29700,100.0,0.34,1292,1405,37049,77549,72751,2175,85,107,-22,109800,150300,-40500,-,
03/07/2024,74670891,74670891,28800,33100,24500,126500,3748,2210,29000,29600,31000,29000,2000,29631,29600,800.0,2.78,1355,1431,37500,116800,126500,3748,121,170,-49,164000,243300,-79300,-,
02/07/2024,74670891,74670891,28800,33100,24500,128900,3283,2151,28800,28800,29000,28700,300,28807,28800,,,763,908,20700,16500,28900,833,65,50,15,49600,45400,4200,100000,2450.0
01/07/2024,74670891,74670891,28800,33100,24500,30009,863,2151,28900,28800,28900,28600,300,28759,28800,,,946,1025,17291,19191,30009,863,50,48,2,47300,49200,-1900,-,
28/06/2024,74670891,74670891,28800,33100,24500,19300,556,2158,29000,28900,29000,28600,400,28796,28900,100.0,0.35,757,731,26900,20200,19300,556,61,54,7,46200,39500,6700,-,
27/06/2024,74670891,74670891,28500,32700,24300,24850,717,2158,28800,28900,29000,28600,400,28844,28900,400.0,1.4,577,648,25350,19850,24850,717,87,69,18,50200,44700,5500,-,
26/06/2024,74670891,74670891,29100,33400,24800,31133,905,2165,29100,29000,29400,29000,400,29069,28400,-100.0,-0.34,622,1295,27967,42667,31133,905,95,57,38,59100,73800,-14700,-,
25/06/2024,74670891,74670891,29100,33400,24800,26132,761,2195,29100,29400,29500,29000,500,29138,28800,300.0,1.03,638,1073,36368,28568,26132,761,98,51,47,62500,54700,7800,-,
24/06/2024,74670891,74670891,29500,33900,25100,50382,1467,2165,29600,29000,29600,28900,700,29110,28400,-500.0,-1.69,920,1170,32418,32718,50382,1467,90,71,19,82800,83100,-300,-,
21/06/2024,74670891,74670891,29100,33400,24800,104620,3084,2225,29100,29800,29900,29000,900,29475,29200,700.0,2.41,1067,1460,42580,48680,104620,3084,138,105,33,147200,153300,-6100,-,
20/06/2024,74670891,74670891,29200,33500,24900,27600,802,2180,29300,29200,29300,29000,300,29053,28600,,,926,2025,42800,61500,27600,802,76,44,32,70400,89100,-18700,-,
19/06/2024,74670891,74670891,29000,33300,24700,41100,1199,2180,29100,29200,29300,29000,300,29182,28600,200.0,0.69,923,1260,28100,49600,41100,1199,75,72,3,69200,90700,-21500,-,
18/06/2024,74670891,74670891,28600,32800,24400,45850,1330,2173,28700,29100,29100,28700,400,28999,28500,500.0,1.75,1028,1011,36350,19850,45850,1330,80,65,15,82200,65700,16500,-,
17/06/2024,74670891,74670891,28800,33100,24500,24000,687,2143,28800,28700,28800,28600,200,28637,28100,-100.0,-0.35,901,1000,61600,25000,24000,687,95,49,46,85600,49000,36600,-,
