Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,300000000,300000000,11500,13200,9800,-,,3450,11500,11500,11500,11500,-,11500,11200,,,790,7105,7900,149200,,,10,21,-11,7900,149200,-141300,-,
26/09/2024,300000000,300000000,11200,12800,9600,5800,67.0,3450,11500,11500,11700,11500,200,11534,11200,300.0,2.68,1381,6504,16300,150300,5800.0,67.0,16,24,-8,22100,156100,-134000,-,
25/09/2024,300000000,300000000,11600,13300,9900,3100,35.0,3360,11300,11200,11300,11200,100,11216,10900,-400.0,-3.45,1114,2591,12500,85000,3100.0,35.0,14,34,-20,15600,88100,-72500,-,
24/09/2024,300000000,300000000,11100,12700,9500,1100,13.0,3330,11600,11100,11600,11100,500,11555,10800,,,1308,9238,14600,146700,1100.0,13.0,12,16,-4,15700,147800,-132100,-,
23/09/2024,300000000,300000000,11100,12700,9500,-,,3330,11100,11100,11100,11100,-,11100,10800,,,1183,6275,14200,100400,,,12,16,-4,14200,100400,-86200,-,
20/09/2024,300000000,300000000,11100,12700,9500,5800,64.0,3360,11100,11200,11500,11000,500,11050,10900,100.0,0.9,1162,9127,24400,131100,5800.0,64.0,26,15,11,30200,136900,-106700,-,
19/09/2024,300000000,300000000,11200,12800,9600,300,3.0,3360,10900,11200,11200,10900,300,11100,10900,,,687,8900,15500,124300,300.0,3.0,23,14,9,15800,124600,-108800,-,
18/09/2024,300000000,300000000,11200,12800,9600,1700,19.0,3360,11600,11200,11600,11100,500,11188,10900,,,757,6700,15700,105500,1700.0,19.0,23,16,7,17400,107200,-89800,-,
17/09/2024,300000000,300000000,11200,12800,9600,-,,3360,11200,11200,11200,11200,-,11200,10900,,,988,9392,15800,122100,,,16,13,3,15800,122100,-106300,-,
16/09/2024,300000000,300000000,11200,12800,9600,-,,3360,11200,11200,11200,11200,-,11200,10900,,,918,8500,15600,127500,,,17,15,2,15600,127500,-111900,-,
