Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,50000000,50000000,6600,7500,5700,139387,908.0,330,6600,6600,6700,6500,200,6515,6600,,,1658,4362,51313.0,296813.0,139387.0,908.0,115,100,15,190700,436200,-245500,-,
26/09/2024,50000000,50000000,6600,7500,5700,131429,868.0,330,6500,6600,6800,6500,300,6608,6600,,,1704,3608,98671.0,243771.0,131429.0,868.0,135,104,31,230100,375200,-145100,-,
25/09/2024,50000000,50000000,6700,7700,5700,142866,937.0,330,6700,6600,6700,6300,400,6557,6600,-100.0,-1.49,1131,3516,73134.0,191134.0,142866.0,937.0,191,95,96,216000,334000,-118000,-,
24/09/2024,50000000,50000000,6800,7800,5800,97577,651.0,340,6700,6800,6800,6600,200,6675,6800,,,1040,3635,34523.0,164123.0,97577.0,651.0,127,72,55,132100,261700,-129600,-,
23/09/2024,50000000,50000000,6800,7800,5800,70725,480.0,340,6800,6800,6900,6700,200,6792,6800,,,2171,2849,135475.0,208475.0,70725.0,480.0,95,98,-3,206200,279200,-73000,-,
20/09/2024,50000000,50000000,6800,7800,5800,78313,532.0,340,6800,6800,6900,6700,200,6799,6800,,,1318,2349,61387.0,175387.0,78313.0,532.0,106,108,-2,139700,253700,-114000,-,
19/09/2024,50000000,50000000,6900,7900,5900,73610,499.0,345,6900,6900,6900,6700,200,6774,6900,,,961,3293,40690.0,242490.0,73610.0,499.0,119,96,23,114300,316100,-201800,-,
18/09/2024,50000000,50000000,6800,7800,5800,82588,566.0,350,6900,7000,7000,6800,200,6854,7000,200.0,2.94,1511,2596,64012.0,197812.0,82588.0,566.0,97,108,-11,146600,280400,-133800,-,
17/09/2024,50000000,50000000,6700,7700,5700,94308,638.0,340,6700,6800,6900,6600,300,6765,6800,100.0,1.49,1064,3541,36592.0,263292.0,94308.0,638.0,123,101,22,130900,357600,-226700,-,
