Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,51827894,51827894,12800,14000,11600,20241,257,658,12800,12700,12800,12600,200,12673,12700,-100.0,-0.78,868,2317,37059,104859,20241,257,66,54,12,57300,125100,-67800,-,
26/09/2024,51827894,51827894,12800,14000,11600,19170,243,663,12800,12800,12800,12500,300,12655,12800,,,1383,1502,80430,76930,19170,243,72,64,8,99600,96100,3500,-,
25/09/2024,51827894,51827894,12700,13900,11500,88140,1112,663,12600,12800,12800,12600,200,12613,12800,100.0,0.79,1975,2322,79760,67460,88140,1112,85,67,18,167900,155600,12300,-,
24/09/2024,51827894,51827894,12800,14000,11600,14800,188,658,12600,12700,12800,12600,200,12724,12700,-100.0,-0.78,658,1632,20100,81500,14800,188,53,59,-6,34900,96300,-61400,-,
23/09/2024,51827894,51827894,12800,14000,11600,5311,68,663,12800,12800,12800,12600,200,12717,12800,,,788,1446,34089,69889,5311,68,50,52,-2,39400,75200,-35800,-,
20/09/2024,51827894,51827894,12700,13900,11500,51950,664,663,12700,12800,13000,12700,300,12775,12800,100.0,0.79,1359,1488,37750,71550,51950,664,66,83,-17,89700,123500,-33800,-,
19/09/2024,51827894,51827894,12600,13800,11400,8301,105,658,12700,12700,12700,12500,200,12648,12700,100.0,0.79,841,1569,41299,57599,8301,105,59,42,17,49600,65900,-16300,-,
18/09/2024,51827894,51827894,12700,13900,11500,17300,217,653,12700,12600,12700,12500,200,12545,12600,-100.0,-0.79,1395,2219,73400,98100,17300,217,65,52,13,90700,115400,-24700,-,
17/09/2024,51827894,51827894,12600,13800,11400,24035,302,658,12400,12700,12700,12100,600,12546,12700,100.0,0.79,1028,1738,37665,59365,24035,302,60,48,12,61700,83400,-21700,-,
16/09/2024,51827894,51827894,12600,13800,11400,9554,120,653,12600,12600,12600,12500,100,12552,12600,,,726,1696,39846,68446,9554,120,68,46,22,49400,78000,-28600,-,
13/09/2024,51827894,51827894,12400,13600,11200,9803,123,653,12500,12600,12600,12500,100,12537,12600,200.0,1.61,1803,1389,100197,38797,9803,123,61,35,26,110000,48600,61400,-,
12/09/2024,51827894,51827894,12500,13700,11300,58520,729,643,12500,12400,12600,12400,200,12456,12400,-100.0,-0.8,1375,2333,87180,67480,58520,729,106,54,52,145700,126000,19700,-,
11/09/2024,51827894,51827894,12600,13800,11400,50605,633,648,12700,12500,12700,12500,200,12516,12500,-100.0,-0.79,1170,2542,58195,63795,50605,633,93,45,48,108800,114400,-5600,-,
10/09/2024,51827894,51827894,12800,14000,11600,55101,696,653,12800,12600,12800,12600,200,12634,12600,-200.0,-1.56,1053,2324,44899,72699,55101,696,95,55,40,100000,127800,-27800,-,
09/09/2024,51827894,51827894,12800,14000,11600,28718,363,663,12800,12800,12800,12600,200,12652,12800,,,1053,1527,58682,46082,28718,363,83,49,34,87400,74800,12600,-,
06/09/2024,51827894,51827894,12800,14000,11600,23400,296,663,12700,12800,12800,12600,200,12644,12800,,,1132,2519,89800,97500,23400,296,100,48,52,113200,120900,-7700,-,
05/09/2024,51827894,51827894,12900,14100,11700,27835,354,663,12700,12800,13000,12600,400,12716,12800,-100.0,-0.78,1149,2320,82465,97465,27835,354,96,54,42,110300,125300,-15000,-,
04/09/2024,51827894,51827894,12900,14100,11700,20400,260,669,12800,12900,12900,12700,200,12722,12900,,,1059,1962,80200,71800,20400,260,95,47,48,100600,92200,8400,-,
30/08/2024,51827894,51827894,12900,14100,11700,17320,223,669,12900,12900,13000,12800,200,12858,12900,,,1034,2526,73680,91280,17320,223,88,43,45,91000,108600,-17600,-,
29/08/2024,51827894,51827894,13000,14300,11700,56508,729,669,12900,12900,13000,12900,100,12902,12900,-100.0,-0.77,1548,2394,92092,99092,56508,729,96,65,31,148600,155600,-7000,-,
28/08/2024,51827894,51827894,13100,14400,11800,63123,820,674,13100,13000,13100,12900,200,12997,13000,-100.0,-0.76,1476,2406,97777,124577,63123,820,109,78,31,160900,187700,-26800,-,
27/08/2024,51827894,51827894,13100,14400,11800,67755,883,679,13100,13100,13100,13000,100,13026,13100,,,1367,2286,60745,101445,67755,883,94,74,20,128500,169200,-40700,-,
26/08/2024,51827894,51827894,13200,14500,11900,67704,888,679,13200,13100,13200,13100,100,13119,13100,-100.0,-0.76,1452,3804,91996,221396,67704,888,110,76,34,159700,289100,-129400,-,
23/08/2024,51827894,51827894,13400,14700,12100,32778,431,684,13500,13200,13500,13100,400,13138,13200,-200.0,-1.49,1290,3737,74322,307322,32778,431,83,91,-8,107100,340100,-233000,-,
22/08/2024,51827894,51827894,13500,14800,12200,54016,712,694,13700,13400,13700,13100,600,13190,13400,-100.0,-0.74,1032,2747,49184,300384,54016,712,100,129,-29,103200,354400,-251200,-,
21/08/2024,51827894,51827894,13100,14400,11800,345865,4615,700,13100,13500,13800,13100,700,13343,13500,400.0,3.05,2940,3188,80435,231135,345865,4615,145,181,-36,426300,577000,-150700,-,
20/08/2024,51827894,51827894,13300,14600,12000,16070,212,679,13300,13100,13400,13100,300,13221,13100,-200.0,-1.5,836,3134,39930,272230,16070,212,67,92,-25,56000,288300,-232300,-,
19/08/2024,51827894,51827894,13100,14400,11800,214425,2847,689,13100,13300,13400,13000,400,13278,13300,200.0,1.53,2575,3974,58475,250575,214425,2847,106,117,-11,272900,465000,-192100,-,
16/08/2024,51827894,51827894,12700,13900,11500,116681,1505,679,12800,13100,13100,12600,500,12828,13100,400.0,3.15,2161,1834,108719,27719,111681,1445,102,76,26,220400,139400,81000,5000,60.0
15/08/2024,51827894,51827894,12800,14000,11600,3003,38,658,12800,12700,12800,12600,200,12780,12700,-100.0,-0.78,823,1149,35697,46397,3003,38,47,43,4,38700,49400,-10700,-,
14/08/2024,51827894,51827894,12500,13700,11300,41507,523,663,12700,12800,12800,12000,800,12604,12800,300.0,2.4,1109,1780,49393,40393,41507,523,82,46,36,90900,81900,9000,-,
13/08/2024,51827894,51827894,12700,13900,11500,19034,240,648,12900,12500,12900,12500,400,12625,12500,-200.0,-1.57,718,1643,24066,61466,19034,240,60,49,11,43100,80500,-37400,-,
12/08/2024,51827894,51827894,12600,13800,11400,24012,306,658,12700,12700,12900,12700,200,12739,12700,100.0,0.79,895,1959,34188,56288,24012,306,65,41,24,58200,80300,-22100,-,
09/08/2024,51827894,51827894,12600,13800,11400,28025,356,653,12700,12600,12700,12600,100,12687,12600,,,944,2071,30475,36175,28025,356,62,31,31,58500,64200,-5700,-,
08/08/2024,51827894,51827894,12700,13900,11500,15701,198,653,12700,12600,12700,12600,100,12610,12600,-100.0,-0.79,721,3092,28999,101799,15701,198,62,38,24,44700,117500,-72800,-,
07/08/2024,51827894,51827894,12700,13900,11500,24600,311,658,12700,12700,12800,12500,300,12642,12700,,,964,2653,34200,89500,24600,311,61,43,18,58800,114100,-55300,-,
06/08/2024,51827894,51827894,12600,13800,11400,33525,422,658,12600,12700,12700,12500,200,12599,12700,100.0,0.79,873,1802,31975,58375,33525,422,75,51,24,65500,91900,-26400,-,
