Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,66938403,66938403,61800,66100,57500,43500,2675,4123,61900,61600,61900,61000,900,61494,61600,-200.0,-0.32,575,1054,7900,47900.0,43500,2675,305.0,201.0,104,175500.0,211800.0,-36300,-,
26/09/2024,66938403,66938403,62000,66300,57700,72600,4502,4137,62400,61800,62400,61800,600,62011,61800,-200.0,-0.32,671,869,9900,87800.0,72600,4502,295.0,279.0,16,197900.0,242400.0,-44500,-,
25/09/2024,66938403,66938403,62000,66300,57700,105900,6571,4150,62800,62000,62800,61900,900,62049,62000,,,646,851,14600,33100.0,105900,6571,341.0,330.0,11,220300.0,280900.0,-60600,-,
24/09/2024,66938403,66938403,62000,66300,57700,96900,6027,4150,62900,62000,62900,61900,1000,62198,62000,,,702,1276,6800,63100.0,96900,6027,262.0,216.0,46,183800.0,275600.0,-91800,-,
23/09/2024,66938403,66938403,62000,66300,57700,23400,1456,4150,62500,62000,62500,62000,500,62222,62000,,,781,1078,5900,11000.0,23400,1456,147.0,146.0,1,114800.0,157400.0,-42600,-,
20/09/2024,66938403,66938403,62000,66300,57700,78700,4902,4150,62300,62000,63000,61900,1100,62287,62000,,,1071,1237,5000,2800.0,78700,4902,200.0,204.0,-4,214200.0,252400.0,-38200,-,
19/09/2024,66938403,66938403,62400,66700,58100,20900,1301,4150,63000,62000,63000,62000,1000,62249,62000,-400.0,-0.64,495,950,4800,16000.0,20900,1301,151.0,149.0,2,74700.0,141500.0,-66800,-,
18/09/2024,66938403,66938403,62600,66900,58300,38300,2389,4177,63300,62400,63500,62100,1400,62376,62400,-200.0,-0.32,582,985,2900,22600.0,38300,2389,193.0,150.0,43,112400.0,147700.0,-35300,-,
17/09/2024,66938403,66938403,61800,66100,57500,25300,1587,4190,61300,62600,65100,61300,3800,62727,62600,800.0,1.29,870,642,800,6400.0,25300,1587,137.0,212.0,-75,119200.0,136200.0,-17000,-,
16/09/2024,66938403,66938403,62200,66500,57900,55700,3456,4137,62200,61800,63000,61800,1200,62047,61800,-400.0,-0.64,848,1154,13400,1900.0,55700,3456,148.0,102.0,46,125500.0,117700.0,7800,-,
13/09/2024,66938403,66938403,62200,66500,57900,39500,2461,4164,62200,62200,63000,62200,800,62304,62200,,,1103,1093,45500,9200.0,39500,2461,147.0,100.0,47,162100.0,109300.0,52800,-,
12/09/2024,66938403,66938403,61900,66200,57600,37500,2338,4164,63400,62200,63400,62200,1200,62347,62200,300.0,0.48,715,829,12700,1200.0,37500,2338,170.0,124.0,46,121600.0,102800.0,18800,-,
11/09/2024,66938403,66938403,61700,66000,57400,44500,2762,4143,62800,61900,62800,61500,1300,62067,61900,200.0,0.32,648,822,8600,9700.0,44500,2762,225.0,127.0,98,145700.0,104400.0,41300,-,
10/09/2024,66938403,66938403,63300,67700,58900,78400,4895,4130,63000,61700,63400,61700,1700,62436,61700,-1600.0,-2.53,610,433,6600,9700.0,78400,4895,292.0,304.0,-12,178100.0,131500.0,46600,-,
09/09/2024,66938403,66938403,64000,68400,59600,20900,1324,4237,63500,63300,64400,63000,1400,63349,63300,-700.0,-1.09,634,749,10800,11500.0,20900,1324,151.0,100.0,51,95800.0,74900.0,20900,-,
06/09/2024,66938403,66938403,64000,68400,59600,67700,4308,4284,64000,64000,64000,63300,700,63634,64000,,,717,1875,9000,20200.0,67700,4308,252.0,87.0,165,180800.0,163100.0,17700,-,
05/09/2024,66938403,66938403,64600,69100,60100,94700,6068,4284,64500,64000,64800,63900,900,64076,64000,-600.0,-0.93,882,1165,2400,28200.0,94700,6068,275.0,181.0,94,242600.0,210900.0,31700,-,
04/09/2024,66938403,66938403,65300,69800,60800,39400,2550,4324,65300,64600,65300,64500,800,64721,64600,-700.0,-1.07,1088,663,6300,7300.0,39400,2550,171.0,134.0,37,186100.0,88800.0,97300,-,
30/08/2024,66938403,66938403,65900,70500,61300,40800,2673,4371,66000,65300,66000,65100,900,65515,65300,-600.0,-0.91,566,980,15800,17000.0,40800,2673,100.0,59.0,41,56600.0,57800.0,-1200,-,
29/08/2024,66938403,66938403,65500,70000,61000,50800,3314,4411,65700,65900,66400,64500,1900,65236,65900,400.0,0.61,935,1045,129300,41100.0,50800,3314,246.0,218.0,28,229900.0,227800.0,2100,-,
28/08/2024,66938403,66938403,66300,70900,61700,45900,3020,4384,66000,65500,66100,65500,600,65795,65500,-800.0,-1.21,1406,758,11300,16600.0,45900,3020,143.0,156.0,-13,201100.0,118300.0,82800,-,
27/08/2024,66938403,66938403,66300,70900,61700,47900,3161,4438,65800,66300,66300,65800,500,65992,66300,,,882,978,22700,16500.0,47900,3161,125.0,154.0,-29,110200.0,150600.0,-40400,-,
26/08/2024,66938403,66938403,66300,70900,61700,117300,7751,4438,66300,66300,66300,65800,500,66078,66300,,,1193,1036,17600,23100.0,117300,7751,255.0,227.0,28,304100.0,235100.0,69000,-,
23/08/2024,66938403,66938403,66400,71000,61800,94600,6204,4438,66400,66300,66400,65500,900,65581,66300,-100.0,-0.15,1774,1336,28600,7900.0,94600,6204,151.0,163.0,-12,267900.0,217800.0,50100,-,
22/08/2024,66938403,66938403,66400,71000,61800,144400,9565,4445,66200,66400,66900,66000,900,66240,66400,,,1457,459,39500,9400.0,144400,9565,226.0,552.0,-326,329300.0,253300.0,76000,-,
21/08/2024,66938403,66938403,65800,70400,61200,73100,4801,4445,65500,66400,66500,65000,1500,65677,66400,600.0,0.91,626,849,3800,9900.0,73100,4801,333.0,207.0,126,208300.0,175800.0,32500,-,
20/08/2024,66938403,66938403,65800,70400,61200,89600,5902,4405,66800,65800,66800,65500,1300,65871,65800,,,702,687,12500,1500.0,89600,5902,298.0,421.0,-123,209300.0,289100.0,-79800,-,
19/08/2024,66938403,66938403,65500,70000,61000,138300,9151,4405,65900,65800,67000,65000,2000,66168,65800,300.0,0.46,923,744,9800,4900.0,138300,9151,295.0,350.0,-55,272300.0,260400.0,11900,-,
16/08/2024,66938403,66938403,64200,68600,59800,120200,7867,4384,64500,65500,66500,64500,2000,65449,65500,1300.0,2.02,1175,1349,3400,12500.0,120200,7867,247.0,247.0,-,290200.0,333300.0,-43100,-,
15/08/2024,66938403,66938403,64900,69400,60400,153900,10027,4297,64000,64200,65500,64000,1500,64578,64200,-700.0,-1.08,777,672,16900,4500.0,133900,8647,194.0,206.0,-12,150800.0,138400.0,12400,20000,1380.0
14/08/2024,66938403,66938403,64500,69000,60000,144300,9260,4344,64500,64900,64900,63500,1400,64172,64900,400.0,0.62,1191,603,32000,19700.0,144300,9260,148.0,272.0,-124,176300.0,164000.0,12300,-,
13/08/2024,66938403,66938403,64600,69100,60100,157600,10033,4318,63700,64500,64700,62600,2100,63661,64500,-100.0,-0.15,518,959,1500,9300.0,157600,10033,307.0,174.0,133,159100.0,166900.0,-7800,-,
12/08/2024,66938403,66938403,63700,68100,59300,106600,6862,4324,62600,64600,64700,62600,2100,64371,64600,900.0,1.41,631,816,5000,6000.0,106600,6862,177.0,138.0,39,111600.0,112600.0,-1000,-,
09/08/2024,66938403,66938403,63300,67700,58900,161000,10138,4264,63000,63700,64000,62400,1600,62969,63700,400.0,0.63,225,1611,8000,3300.0,161000,10138,751.0,102.0,649,169000.0,164300.0,4700,-,
08/08/2024,66938403,66938403,63500,67900,59100,28600,1819,4237,61200,63300,64800,61200,3600,63601,63300,-200.0,-0.31,251,258,5100,2100.0,28600,1819,134.0,119.0,15,33700.0,30700.0,3000,-,
07/08/2024,66938403,66938403,62100,66400,57800,100400,6258,4251,62700,63500,63500,61200,2300,62412,63500,1400.0,2.25,447,528,4200,3100.0,59700,3726,143.0,119.0,24,63900.0,62800.0,1100,40700,2532.0
06/08/2024,66938403,66938403,59800,63900,55700,101500,6281,4157,62500,62100,62500,61100,1400,61882,62100,2300.0,3.85,611,619,17600,1900.0,101500,6281,195.0,167.0,28,119100.0,103400.0,15700,-,
05/08/2024,66938403,66938403,64000,68400,59600,113900,7040,4003,63500,59800,63500,59800,3700,61809,59800,-4200.0,-6.56,510,832,19800,10900.0,113900,7040,262.0,150.0,112,133700.0,124800.0,8900,-,
02/08/2024,66938403,66938403,64000,68400,59600,128100,8083,4284,64000,64000,64000,62500,1500,63099,64000,,,406,691,4700,1200.0,128100,8083,327.0,187.0,140,132800.0,129300.0,3500,-,
01/08/2024,66938403,66938403,68300,73000,63600,267300,17482,4284,68000,64000,68000,64000,4000,65402,64000,-4300.0,-6.3,766,1252,10700,9500.0,267300,17482,363.0,221.0,142,278000.0,276800.0,1200,-,
31/07/2024,66938403,66938403,69000,73800,64200,146700,9996,4572,69000,68300,69000,67500,1500,68139,68300,-700.0,-1.01,701,1553,9600,5500.0,146700,9996,223.0,98.0,125,156300.0,152200.0,4100,-,
30/07/2024,66938403,66938403,69500,74300,64700,55600,3826,4619,69500,69000,69500,68300,1200,68813,69000,-500.0,-0.72,538,529,76100,5200.0,55600,3826,245.0,115.0,130,131700.0,60800.0,70900,-,
29/07/2024,66938403,66938403,68200,72900,63500,43900,3009,4652,68300,69500,69500,68200,1300,68542,69500,1300.0,1.91,416,625,6400,4200.0,43900,3009,121.0,77.0,44,50300.0,48100.0,2200,-,
26/07/2024,66938403,66938403,68200,72900,63500,131700,9016,4565,67700,68200,69100,67700,1400,68459,68200,,,670,766,17000,4700.0,131700,9016,222.0,178.0,44,148700.0,136400.0,12300,-,
25/07/2024,66938403,66938403,68600,73400,63800,143400,9703,4565,67600,68200,68200,67400,800,67664,68200,-400.0,-0.58,677,1216,11700,11000.0,143400,9703,229.0,127.0,102,155100.0,154400.0,700,-,
24/07/2024,66938403,66938403,68000,72700,63300,160700,10962,4592,68100,68600,69200,67500,1700,68214,68600,600.0,0.88,808,616,4200,3700.0,160700,10962,204.0,267.0,-63,164900.0,164400.0,500,-,
23/07/2024,66938403,66938403,69800,74600,65000,346700,23838,4552,69700,68000,70000,67500,2500,68757,68000,-1800.0,-2.58,1388,599,28000,4500.0,346700,23838,270.0,586.0,-316,374700.0,351200.0,23500,-,
22/07/2024,66938403,66938403,72100,77100,67100,458000,32499,4672,72100,69800,73300,69700,3600,70959,69800,-2300.0,-3.19,954,1096,16100,2200.0,458000,32499,497.0,420.0,77,474100.0,460200.0,13900,-,
19/07/2024,66938403,66938403,72300,77300,67300,62800,4503,4826,72300,72100,72300,71300,1000,71704,72100,-200.0,-0.28,332,519,14000,15600.0,62800,4503,231.0,151.0,80,76800.0,78400.0,-1600,-,
18/07/2024,66938403,66938403,72200,77200,67200,183600,13181,4840,72200,72300,72300,71200,1100,71792,72300,100.0,0.14,443,718,2300,6700.0,183600,13181,420.0,265.0,155,185900.0,190300.0,-4400,-,
17/07/2024,66938403,66938403,72700,77700,67700,221300,15955,4833,72800,72200,72800,71000,1800,72097,72200,-500.0,-0.69,430,601,2700,8400.0,221300,15955,521.0,382.0,139,224000.0,229700.0,-5700,-,
16/07/2024,66938403,66938403,71100,76000,66200,237200,17206,4866,71100,72700,73100,71100,2000,72538,72700,1600.0,2.25,557,601,800,5500.0,237200,17206,427.0,404.0,23,238000.0,242700.0,-4700,-,
15/07/2024,66938403,66938403,70500,75400,65600,89600,6365,4759,70600,71100,71500,70600,900,71038,71100,600.0,0.85,420,344,4100,8300.0,89600,6365,223.0,285.0,-62,93700.0,97900.0,-4200,-,
12/07/2024,66938403,66938403,70900,75800,66000,140500,9954,4719,71500,70500,71500,70200,1300,70847,70500,-400.0,-0.56,562,750,6700,13900.0,140500,9954,262.0,206.0,56,147200.0,154400.0,-7200,-,
11/07/2024,66938403,66938403,72000,77000,67000,133700,9647,4813,73000,71900,73000,71900,1100,72154,70900,-100.0,-0.14,641,541,26000,3600.0,133700,9647,249.0,254.0,-5,159700.0,137300.0,22400,-,
10/07/2024,66938403,66938403,73400,78500,68300,213700,15565,4820,74000,72000,74100,72000,2100,72836,71000,-1400.0,-1.91,600,839,21400,8700.0,213700,15565,392.0,265.0,127,235100.0,222400.0,12700,-,
09/07/2024,66938403,66938403,72900,78000,67800,163100,11937,4913,72900,73400,73400,72900,500,73188,72400,500.0,0.69,863,1130,20800,5400.0,163100,11937,419.0,353.0,66,361800.0,398900.0,-37100,-,
08/07/2024,66938403,66938403,72000,77000,67000,178400,12924,4880,72300,72900,72900,72200,700,72444,71900,900.0,1.25,1108,1088,6300,22300.0,178400,12924,376.0,295.0,81,416600.0,321000.0,95600,-,
05/07/2024,66938403,66938403,71600,76600,66600,204000,14719,4820,72000,72000,72700,71700,1000,72152,71000,400.0,0.56,949,1222,17700,9900.0,204000,14719,470.0,369.0,101,446000.0,450800.0,-4800,-,
04/07/2024,66938403,66938403,72300,77300,67300,127100,9169,4793,72300,71600,72500,71600,900,72140,70600,-700.0,-0.97,710,1245,18900,6700.0,127100,9169,429.0,365.0,64,304600.0,454300.0,-149700,-,
03/07/2024,66938403,66938403,71700,76700,66700,231200,16584,4840,72000,72300,72500,71200,1300,71730,71300,600.0,0.84,1043,1505,5100,32400.0,231200,16584,423.0,334.0,89,441200.0,502800.0,-61600,-,
02/07/2024,66938403,66938403,71800,76800,66800,237300,17043,4799,72700,71700,72700,71600,1100,71820,70700,-100.0,-0.14,1065,1537,40700,1200.0,237300,17043,376.0,295.0,81,400300.0,453400.0,-53100,-,
01/07/2024,66938403,66938403,71100,76000,66200,270200,19468,4806,71300,71800,72800,71200,1600,72050,70800,700.0,0.98,1244,1298,14700,6900.0,270200,19468,319.0,458.0,-139,396800.0,594500.0,-197700,-,
28/06/2024,66938403,66938403,72100,77100,67100,233500,16820,4759,72600,71100,72900,71100,1800,72026,70100,-1000.0,-1.39,487,1110,29000,14000.0,190500,13721,641.0,365.0,276,312300.0,405100.0,-92800,43000,3099.0
27/06/2024,66938403,66938403,72600,77600,67600,99000,7158,4826,72000,72100,72700,72000,700,72303,71100,-500.0,-0.69,784,1356,30300,9500.0,99000,7158,367.0,203.0,164,287800.0,275200.0,12600,-,
26/06/2024,66938403,66938403,72200,77200,67200,274400,19906,4860,72600,72600,73000,71600,1400,72142,71600,400.0,0.55,1137,1762,3400,11900.0,185300,13368,358.0,285.0,73,407100.0,502100.0,-95000,89100,6538.0
25/06/2024,66938403,66938403,73100,78200,68000,128300,9270,4833,72100,72200,72700,72100,600,72253,71200,-900.0,-1.23,660,1823,36900,5500.0,128300,9270,367.0,185.0,182,242300.0,337300.0,-95000,-,
24/06/2024,66938403,66938403,75100,80300,69900,543500,39901,4893,74100,73100,75000,72000,3000,73415,72100,-2000.0,-2.66,1580,1486,57400,5600.0,543500,39901,564.0,651.0,-87,891200.0,967300.0,-76100,-,
21/06/2024,66938403,66938403,75400,80600,70200,116000,8709,5027,75400,75100,75600,74600,1000,75078,74100,-300.0,-0.4,660,1151,4400,6500.0,116000,8709,342.0,306.0,36,225600.0,352300.0,-126700,-,
20/06/2024,66938403,66938403,74000,79100,68900,456900,34469,5047,74000,75400,76800,71000,5800,75441,74400,1400.0,1.89,1374,1077,14200,5300.0,456900,34469,536.0,755.0,-219,736300.0,813300.0,-77000,-,
19/06/2024,66938403,66938403,74200,79300,69100,144200,10675,4953,74200,74000,74800,73200,1600,74029,73000,-200.0,-0.27,515,869,7700,1600.0,144200,10675,605.0,391.0,214,311400.0,339800.0,-28400,-,
18/06/2024,66938403,66938403,72600,77600,67600,183700,13446,4967,72200,74200,74200,72200,2000,73195,73200,1600.0,2.2,704,1054,6800,7400.0,183700,13446,624.0,319.0,305,439100.0,336200.0,102900,-,
17/06/2024,66938403,66938403,73500,78600,68400,193000,14054,4860,73500,72600,73500,72100,1400,72819,71600,-900.0,-1.22,652,1185,12400,16200.0,193000,14054,500.0,337.0,163,326200.0,399400.0,-73200,-,
14/06/2024,66938403,66938403,76500,81800,71200,145300,10866,4920,76300,73500,76500,73500,3000,74783,72500,-3000.0,-3.92,825,1025,3600,4100.0,145300,10866,336.0,413.0,-77,277300.0,423300.0,-146000,-,
13/06/2024,66938403,66938403,75900,81200,70600,168200,12779,5121,76200,76500,76500,74900,1600,75975,75400,600.0,0.79,966,969,2100,25500.0,168200,12779,255.0,372.0,-117,246300.0,360600.0,-114300,-,
12/06/2024,66938403,66938403,73400,78500,68300,570000,42684,5081,73000,75900,76200,73000,3200,74983,74800,2500.0,3.41,1006,924,50800,31800.0,531800,39876,953.0,988.0,-35,958500.0,913100.0,45400,38200,2808.0
11/06/2024,66938403,66938403,74000,79100,68900,154300,11356,4913,74300,73400,74500,73200,1300,73597,72400,-600.0,-0.81,559,701,16900,22400.0,154300,11356,306.0,252.0,54,171200.0,176700.0,-5500,-,
10/06/2024,66938403,66938403,73000,78100,67900,353200,25852,4953,73300,74000,74000,72300,1700,73194,73000,1000.0,1.37,839,948,5800,18400.0,353200,25852,428.0,392.0,36,359000.0,371600.0,-12600,-,
07/06/2024,66938403,66938403,72900,78000,67800,228100,16632,4887,72700,73000,73500,72600,900,72915,72000,100.0,0.14,792,1098,28600,48700.0,228100,16632,324.0,252.0,72,256700.0,276800.0,-20100,-,
06/06/2024,66938403,66938403,72500,77500,67500,321600,23620,4880,72400,72900,74500,72300,2200,73445,71900,400.0,0.55,876,569,11400,4900.0,321600,23620,380.0,574.0,-194,333000.0,326500.0,6500,-,
05/06/2024,66938403,66938403,73100,78200,68000,211700,15406,4853,73000,72500,73700,72500,1200,72773,71500,-600.0,-0.82,551,871,13100,4400.0,211700,15406,408.0,248.0,160,224800.0,216100.0,8700,-,
04/06/2024,66938403,66938403,72000,77000,67000,547300,40099,4893,72900,73100,74500,72000,2500,73267,72100,1100.0,1.53,786,987,7700,5300.0,547300,40099,706.0,560.0,146,555000.0,552600.0,2400,-,
03/06/2024,66938403,66938403,72300,77300,67300,238600,17253,4820,73400,72000,73400,72000,1400,72309,71000,-300.0,-0.41,605,695,36600,14200.0,238600,17253,455.0,364.0,91,275200.0,252800.0,22400,-,
31/05/2024,66938403,66938403,73100,78200,68000,261700,19022,4840,73100,72300,73400,72100,1300,72686,71300,-800.0,-1.09,631,774,31100,2900.0,261700,19022,464.0,342.0,122,292800.0,264600.0,28200,-,
30/05/2024,66938403,66938403,70900,75800,66000,813800,59079,4893,70800,73100,73500,70700,2800,72596,72100,2200.0,3.1,955,857,12800,33500.0,813800,59079,1573.0,1515.0,58,1501800.0,1298500.0,203300,-,
29/05/2024,66938403,66938403,70300,75200,65400,867700,61778,4746,70200,70900,72500,69600,2900,71197,69900,600.0,0.85,1039,1193,18300,58400.0,867700,61778,1586.0,1629.0,-43,1647700.0,1944200.0,-296500,-,
28/05/2024,66938403,66938403,69000,73800,64200,370400,25865,4706,69100,70300,70700,69100,1600,69830,69300,1300.0,1.88,759,914,400,13800.0,370400,25865,769.0,924.0,-155,583500.0,844800.0,-261300,-,
27/05/2024,66938403,66938403,69900,74700,65100,293900,20607,4619,69900,69000,71400,69000,2400,70116,68000,-900.0,-1.29,645,1064,13100,1500.0,293900,20607,628.0,582.0,46,405200.0,619400.0,-214200,-,
24/05/2024,66938403,66938403,71300,76200,66400,369300,26085,4679,70900,69900,72200,68600,3600,70634,68900,-1400.0,-1.96,699,976,3500,2400.0,369300,26085,988.0,792.0,196,690300.0,773100.0,-82800,-,
23/05/2024,66938403,66938403,69400,74200,64600,911000,65019,4773,69700,71300,72500,69400,3100,71371,70300,1900.0,2.74,960,996,26400,42200.0,911000,65019,2049.0,1601.0,448,1966900.0,1594800.0,372100,-,
