Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,32307324,32191624,5010,5360,4660,11600,57,161,5000,5000,5060,4750,310,4914,5000,-10.0,-0.2,1246,815,2000.0,9100.0,11600,57,69.0,65.0,4,86000.0,53000.0,33000,-,
26/09/2024,32307324,32191624,5020,5370,4670,6700,33,161,5020,5010,5110,5000,110,4925,5000,-10.0,-0.2,976,1427,2600.0,27800.0,6700,33,51.0,91.0,-40,49800.0,129900.0,-80100,-,
25/09/2024,32307324,32191624,5080,5430,4730,19900,100,162,5120,5020,5170,5020,150,5025,5000,-60.0,-1.18,1013,754,1300.0,300.0,19900,100,60.0,102.0,-42,60800.0,76900.0,-16100,-,
24/09/2024,32307324,32191624,5000,5350,4650,11300,56,164,5000,5080,5080,5000,80,4956,5100,80.0,1.6,689,2292,1300.0,24700.0,11300,56,76.0,104.0,-28,52400.0,238400.0,-186000,-,
23/09/2024,32307324,32191624,4980,5320,4640,4400,22,161,4980,5000,5080,4980,100,5000,5000,20.0,0.4,711,1468,1400.0,1800.0,4400,22,66.0,102.0,-36,46900.0,149700.0,-102800,-,
20/09/2024,32307324,32191624,5140,5490,4790,5600,28,160,4990,4980,5140,4940,200,5000,5000,-160.0,-3.11,831,1484,2900.0,31200.0,5600,28,64.0,57.0,7,53200.0,84600.0,-31400,-,
19/09/2024,32307324,32191624,5120,5470,4770,6200,30,165,5000,5140,5140,4850,290,4839,5100,20.0,0.39,668,2448,3300.0,2200.0,6200,30,78.0,60.0,18,52100.0,146900.0,-94800,-,
18/09/2024,32307324,32191624,5090,5440,4740,11800,60,165,5160,5120,5170,5090,80,5085,5100,30.0,0.59,383,588,1300.0,2000.0,11800,60,69.0,73.0,-4,26400.0,42900.0,-16500,-,
17/09/2024,32307324,32191624,5000,5350,4650,32700,165,164,4990,5090,5090,4990,100,5046,5100,90.0,1.8,922,1494,1200.0,22400.0,32700,165,114.0,63.0,51,105100.0,94100.0,11000,-,
16/09/2024,32307324,32191624,4780,5110,4450,4900,23,161,4820,5000,5100,4700,400,4694,5000,220.0,4.6,1119,1879,2600.0,300.0,4900,23,47.0,57.0,-10,52600.0,107100.0,-54500,-,
13/09/2024,32307324,32191624,5030,5380,4680,5900,28,154,4990,4780,5050,4780,270,4746,4800,-250.0,-4.97,550,1357,1500.0,3500.0,5900,28,44.0,63.0,-19,24200.0,85500.0,-61300,-,
12/09/2024,32307324,32191624,4960,5300,4620,6100,29,162,5000,5030,5080,4700,380,4754,5000,70.0,1.41,672,2712,3900.0,6400.0,6100,29,109.0,60.0,49,73200.0,162700.0,-89500,-,
11/09/2024,32307324,32191624,5000,5350,4650,8300,41,160,5000,4960,5000,4960,40,4940,5000,-40.0,-0.8,633,3963,600.0,900.0,8300,41,30.0,16.0,14,19000.0,63400.0,-44400,-,
10/09/2024,32307324,32191624,5130,5480,4780,3100,15,161,5120,5000,5120,5000,120,4839,5000,-130.0,-2.53,664,1235,700.0,6300.0,3100,15,28.0,26.0,2,18600.0,32100.0,-13500,-,
09/09/2024,32307324,32191624,5180,5540,4820,15200,76,165,5170,5130,5220,5000,220,5000,5100,-50.0,-0.97,972,1061,1400.0,2900.0,15200,76,65.0,70.0,-5,63200.0,74300.0,-11100,-,
06/09/2024,32307324,32191624,5120,5470,4770,30000,152,167,5060,5180,5180,5050,130,5067,5200,60.0,1.17,1144,3089,2200.0,2300.0,30000,152,73.0,63.0,10,83500.0,194600.0,-111100,-,
05/09/2024,32307324,32191624,5180,5540,4820,4100,20,165,5290,5120,5290,5060,230,4878,5100,-60.0,-1.16,631,1865,300.0,2900.0,4100,20,61.0,86.0,-25,38500.0,160400.0,-121900,-,
04/09/2024,32307324,32191624,5300,5670,4930,3200,16,167,5200,5180,5200,5100,100,5000,5200,-120.0,-2.26,1127,1659,13800.0,2000.0,3200,16,37.0,70.0,-33,41700.0,116100.0,-74400,-,
30/08/2024,32307324,32191624,5310,5680,4940,1000,5,171,5370,5300,5370,5280,90,5000,5300,-10.0,-0.19,26,66,300.0,8000.0,1000,5,50.0,136.0,-86,1300.0,9000.0,-7700,-,
29/08/2024,32307324,32191624,5090,5440,4740,14900,77,171,5090,5310,5390,5090,300,5168,5300,220.0,4.32,500,913,2700.0,10600.0,14900,77,103.0,104.0,-1,51500.0,95000.0,-43500,-,
28/08/2024,32307324,32191624,5290,5660,4920,2600,13,164,5290,5090,5290,5090,200,5000,5100,-200.0,-3.78,416,400,1800.0,1700.0,2600,13,55.0,86.0,-31,22900.0,34400.0,-11500,-,
27/08/2024,32307324,32191624,5280,5640,4920,24900,127,170,5210,5290,5380,5090,290,5100,5300,10.0,0.19,954,1899,17100.0,300.0,24900,127,76.0,93.0,-17,72500.0,176600.0,-104100,-,
