Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,4999933,4999933,6100,6700,5500,4856,32.0,29,6700,5900,6700,5800,900,6498,5900,-200.0,-3.28,740,980,6244.0,44.0,4856.0,32.0,15.0,5.0,10,11100.0,4900.0,6200,-,
26/09/2024,4999933,4999933,6700,7300,6100,1100,8.0,30,7300,6100,7300,6100,1200,7191,6100,-600.0,-8.96,223,1567,1800.0,3600.0,1100.0,8.0,13.0,3.0,10,2900.0,4700.0,-1800,-,
25/09/2024,4999933,4999933,7400,8100,6700,3200,23.0,33,8100,6700,8100,6700,1400,7219,6700,-700.0,-9.46,174,1217,100.0,4100.0,3200.0,23.0,19.0,6.0,13,3300.0,7300.0,-4000,-,
24/09/2024,4999933,4999933,8200,9000,7400,2059,16.0,37,7400,7400,8200,7400,800,7600,7400,-800.0,-9.76,286,967,,6641.0,2059.0,16.0,7.0,9.0,-2,2000.0,8700.0,-6700,-,
23/09/2024,4999933,4999933,7500,8200,6800,2300,18.0,41,6800,8200,8200,6800,1400,6800,8200,700.0,9.33,418,1725,2300.0,4600.0,2300.0,18.0,11.0,4.0,7,4600.0,6900.0,-2300,-,
20/09/2024,4999933,4999933,6900,7500,6300,2000,15.0,37,7400,7500,7500,7400,100,7445,7500,600.0,8.7,1100,2050,200.0,6200.0,2000.0,15.0,2.0,4.0,-2,2200.0,8200.0,-6000,-,
19/09/2024,4999933,4999933,6300,6900,5700,4600,31.0,34,6300,6900,6900,6300,600,6822,6900,600.0,9.52,378,2300,2200.0,,4600.0,31.0,18.0,2.0,16,6800.0,4600.0,2200,-,
18/09/2024,4999933,4999933,6800,7400,6200,1700,12.0,31,7300,6300,7300,6300,1000,7241,6300,-500.0,-7.35,263,1000,400.0,5300.0,1700.0,12.0,8.0,7.0,1,2100.0,7000.0,-4900,-,
17/09/2024,4999933,4999933,6200,6800,5600,1623,11.0,34,6800,6800,6800,6800,-,6800,6800,600.0,9.68,343,533,777.0,,1623.0,11.0,7.0,3.0,4,2400.0,1600.0,800,-,
16/09/2024,4999933,4999933,6800,7400,6200,2501,16.0,31,6200,6200,7400,6200,1200,6283,6200,-600.0,-8.82,192,300,,1099.0,2501.0,16.0,13.0,12.0,1,2500.0,3600.0,-1100,-,
13/09/2024,4999933,4999933,6200,6800,5600,2100,14.0,34,5600,6800,6800,5600,1200,6743,6800,600.0,9.68,417,4550,400.0,7000.0,2100.0,14.0,6.0,2.0,4,2500.0,9100.0,-6600,-,
12/09/2024,4999933,4999933,5700,6200,5200,2048,13.0,31,6200,6200,6200,6200,-,6200,6200,500.0,8.77,1200,5500,2752.0,8952.0,2048.0,13.0,4.0,2.0,2,4800.0,11000.0,-6200,-,
