Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
06/12/2023,5801924,5801924,3800,4300,3300,1200,4.0,19,3300,3300,3300,3300,-,3300,3300,-500.0,-13.16,600,1625,,8547,1200.0,4.0,2.0,6,-4,1200.0,9747,-8547,-,
05/12/2023,5801924,5801924,3800,4300,3300,-,,22,3800,3800,3800,3800,-,3800,3800,,,-,1167,,3500,,,,3,-3,,3500,-3500,-,
04/12/2023,5801924,5801924,3500,4000,3000,1102,4.0,23,3800,3900,3900,3800,100,3809,3900,400.0,11.43,526,800,1000.0,2900,1102.0,4.0,4.0,5,-1,2102.0,4002,-1900,-,
01/12/2023,5801924,5801924,3300,3700,2900,200,1.0,21,3400,3600,3600,3400,200,3500,3600,300.0,9.09,480,400,2200.0,1800,200.0,1.0,5.0,5,-,2400.0,2000,400,-,
30/11/2023,5801924,5801924,3300,3700,2900,200,1.0,20,3100,3400,3400,3100,300,3250,3400,100.0,3.03,440,150,2002.0,100,200.0,1.0,5.0,2,3,2202.0,300,1902,-,
29/11/2023,5801924,5801924,3100,3500,2700,100,0.0,19,3300,3300,3300,3300,-,3300,3300,200.0,6.45,467,133,1300.0,300,100.0,0.0,3.0,3,-,1400.0,400,1000,-,
28/11/2023,5801924,5801924,3100,3500,2700,2800,9.0,18,3000,3100,3100,3000,100,3096,3100,,,1157,475,5300.0,1000,2800.0,9.0,7.0,8,-1,8100.0,3800,4300,-,
27/11/2023,5801924,5801924,3200,3600,2800,500,2.0,18,3100,3100,3100,3100,-,3100,3100,-100.0,-3.13,633,460,1400.0,1800,500.0,2.0,3.0,5,-2,1900.0,2300,-400,-,
24/11/2023,5801924,5801924,3200,3600,2800,700,2.0,18,3500,3100,3500,3100,400,3157,3100,-100.0,-3.13,469,540,3050.0,2000,700.0,2.0,8.0,5,3,3750.0,2700,1050,-,
23/11/2023,5801924,5801924,3200,3600,2800,400,1.0,19,3000,3300,3300,3000,300,3150,3300,100.0,3.13,615,600,8210.0,800,400.0,1.0,14.0,2,12,8610.0,1200,7410,-,
22/11/2023,5801924,5801924,3500,4000,3000,14800,47.0,19,3300,3200,3300,3100,200,3203,3200,-300.0,-8.57,1003,2089,9281.0,4000,14800.0,47.0,24.0,9,15,24081.0,18800,5281,-,
21/11/2023,5801924,5801924,3100,3500,2700,445,2.0,20,3500,3500,3500,3500,-,3500,3500,400.0,12.9,569,1123,4103.0,1800,445.0,2.0,8.0,2,6,4548.0,2245,2303,-,
20/11/2023,5801924,5801924,3500,4000,3000,3400,11.0,17,3300,3000,3300,3000,300,3118,3000,-500.0,-14.29,500,1186,3100.0,1345,3400.0,11.0,13.0,4,9,6500.0,4745,1755,-,
17/11/2023,5801924,5801924,4100,4700,3500,5100,18.0,20,3600,3500,3600,3500,100,3512,3500,-600.0,-14.63,692,1081,3202.0,1386,5100.0,18.0,12.0,6,6,8302.0,6486,1816,-,
16/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,700,695,700.0,2086,,,1.0,3,-2,700.0,2086,-1386,-,
15/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,400,2462,800.0,7386,,,2.0,3,-1,800.0,7386,-6586,-,
14/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,700,2086,700.0,8345,,,1.0,4,-3,700.0,8345,-7645,-,
13/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,700,2075,700.0,8300,,,1.0,4,-3,700.0,8300,-7600,-,
10/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,800,1533,800.0,9200,,,1.0,6,-5,800.0,9200,-8400,-,
09/11/2023,5801924,5801924,4100,4700,3500,-,,24,4100,4100,4100,4100,-,4100,4100,,,350,2100,700.0,12600,,,2.0,6,-4,700.0,12600,-11900,-,
08/11/2023,5801924,5801924,4000,4600,3400,1141,5.0,23,4600,4000,4600,4000,600,4055,4000,,,480,2086,1258.0,7202,1141.0,5.0,5.0,4,1,2399.0,8343,-5944,-,
07/11/2023,5801924,5801924,4000,4600,3400,-,,23,4000,4000,4000,4000,-,4000,4000,,,320,1697,959.0,6786,,,3.0,4,-1,959.0,6786,-5827,-,
06/11/2023,5801924,5801924,3500,4000,3000,201,1.0,23,4000,4000,4000,4000,-,4000,4000,500.0,14.29,240,429,759.0,1086,201.0,1.0,4.0,3,1,960.0,1287,-327,-,
03/11/2023,5801924,5801924,3500,4000,3000,-,,20,3500,3500,3500,3500,-,3500,3500,,,110,5246,659.0,5246,,,6.0,1,5,659.0,5246,-4587,-,
02/11/2023,5801924,5801924,3500,4000,3000,50,0.0,20,3500,3300,3500,3500,-,3500,3500,-200.0,-5.71,743,3169,2179.0,6287,50.0,0.0,3.0,2,1,2229.0,6337,-4108,-,
01/11/2023,5801924,5801924,3800,4300,3300,600,2.0,19,3500,3300,3500,3300,200,3467,3300,-500.0,-13.16,332,624,1059.0,1896,600.0,2.0,5.0,4,1,1659.0,2496,-837,-,
31/10/2023,5801924,5801924,3800,4300,3300,-,,22,3800,3800,3800,3800,-,3800,3800,,,750,237,1500.0,237,,,2.0,1,1,1500.0,237,1263,-,
30/10/2023,5801924,5801924,3800,4300,3300,-,,22,3800,3800,3800,3800,-,3800,3800,,,753,2648,2259.0,5296,,,3.0,2,1,2259.0,5296,-3037,-,
27/10/2023,5801924,5801924,3800,4300,3300,-,,22,3800,3800,3800,3800,-,3800,3800,,,280,3069,559.0,6137,,,2.0,2,-,559.0,6137,-5578,-,
26/10/2023,5801924,5801924,4100,4700,3500,700,3.0,21,3900,3700,3900,3700,200,3814,3700,-400.0,-9.76,475,613,1200.0,6041,700.0,3.0,4.0,11,-7,1900.0,6741,-4841,-,
