Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,16493172,16493172,20500,23500,17500,53,1.0,338,20500,20500,20500,20500,-,20500,20500,,,-,500,,6447.0,53.0,1.0,,13,-13,,6500,-6500,-,
26/09/2024,16493172,16493172,20500,23500,17500,-,,338,20500,20500,20500,20500,-,20500,20500,,,-,533,,4800.0,,,,9,-9,,4800,-4800,-,
25/09/2024,16493172,16493172,20500,23500,17500,1,0.0,338,20500,20500,20500,20500,-,20500,20500,,,-,656,,5899.0,1.0,0.0,,9,-9,,5900,-5900,-,
24/09/2024,16493172,16493172,19100,21900,16300,108,2.0,338,20500,20500,20500,20500,-,20500,20500,1400.0,7.33,100,527,,5692.0,108.0,2.0,1.0,11,-10,100.0,5800,-5700,-,
23/09/2024,16493172,16493172,19100,21900,16300,-,,315,19100,19100,19100,19100,-,19100,19100,,,-,483,,2900.0,,,,6,-6,,2900,-2900,-,
20/09/2024,16493172,16493172,19100,21900,16300,-,,315,19100,19100,19100,19100,-,19100,19100,,,-,308,,3700.0,,,,12,-12,,3700,-3700,-,
19/09/2024,16493172,16493172,19100,21900,16300,1,0.0,315,19100,16600,19100,19100,-,19100,19100,-2500.0,-13.09,-,914,,6399.0,1.0,0.0,,7,-7,,6400,-6400,-,
18/09/2024,16493172,16493172,19100,21900,16300,5,0.0,315,19100,16600,19100,19100,-,19100,19100,-2500.0,-13.09,-,1057,,7395.0,5.0,0.0,,7,-7,,7400,-7400,-,
17/09/2024,16493172,16493172,19100,21900,16300,-,,315,19100,19100,19100,19100,-,19100,19100,,,-,636,,7000.0,,,,11,-11,,7000,-7000,-,
16/09/2024,16493172,16493172,19500,22400,16600,240,4.0,274,21500,16600,21500,16600,4900,19050,16600,-2900.0,-14.87,100,600,,5760.0,240.0,4.0,2.0,10,-8,200.0,6000,-5800,-,
13/09/2024,16493172,16493172,19500,22400,16600,-,,322,19500,19500,19500,19500,-,19500,19500,,,-,600,,4200.0,,,,7,-7,,4200,-4200,-,
12/09/2024,16493172,16493172,19500,22400,16600,5,0.0,322,19500,19500,19500,19500,-,19500,19500,,,-,600,,5995.0,5.0,0.0,,10,-10,,6000,-6000,-,
11/09/2024,16493172,16493172,18700,21500,15900,100,2.0,322,19500,19500,19500,19500,-,19500,19500,800.0,4.28,100,517,,3000.0,100.0,2.0,1.0,6,-5,100.0,3100,-3000,-,
10/09/2024,16493172,16493172,17400,20000,14800,2030,38.0,297,14800,18000,19500,14800,4700,18650,18000,600.0,3.45,400,647,,7670.0,2030.0,38.0,5.0,15,-10,2000.0,9700,-7700,-,
09/09/2024,16493172,16493172,17400,20000,14800,-,,287,17400,17400,17400,17400,-,17400,17400,,,-,300,,2100.0,,,,7,-7,,2100,-2100,-,
06/09/2024,16493172,16493172,17400,20000,14800,-,,287,17400,17400,17400,17400,-,17400,17400,,,-,479,,6700.0,,,,14,-14,,6700,-6700,-,
05/09/2024,16493172,16493172,15500,17800,13200,100,2.0,287,17400,17400,17400,17400,-,17400,17400,1900.0,12.26,100,500,,4400.0,100.0,2.0,1.0,9,-8,100.0,4500,-4400,-,
04/09/2024,16493172,16493172,14000,16100,11900,220,3.0,247,16000,15000,16000,15000,1000,15500,15000,1000.0,7.14,200,720,380.0,3380.0,220.0,3.0,3.0,5,-2,600.0,3600,-3000,-,
30/08/2024,16493172,16493172,13400,15400,11400,1239,17.0,229,14500,13900,14500,13900,600,13950,13900,500.0,3.73,440,671,961.0,3461.0,1239.0,17.0,5.0,7,-2,2200.0,4700,-2500,-,
29/08/2024,16493172,16493172,13800,15800,11800,2900,39.0,226,12000,13700,13700,12000,1700,13386,13700,-100.0,-0.72,344,370,200.0,4500.0,2900.0,39.0,9.0,20,-11,3100.0,7400,-4300,-,
28/08/2024,16493172,16493172,12900,14800,11000,100,1.0,228,13800,13800,13800,13800,-,13800,13800,900.0,6.98,100,100,,300.0,100.0,1.0,1.0,4,-3,100.0,400,-300,-,
27/08/2024,16493172,16493172,12900,14800,11000,2,0.0,213,12900,14000,12900,12900,-,12900,12900,1100.0,8.53,-,520,,2598.0,2.0,0.0,,5,-5,,2600,-2600,-,
26/08/2024,16493172,16493172,12900,14800,11000,-,,213,12900,12900,12900,12900,-,12900,12900,,,100,433,100.0,1300.0,,,1.0,3,-2,100.0,1300,-1200,-,
23/08/2024,16493172,16493172,12400,14200,10600,300,4.0,231,12400,14000,14000,12400,1600,12933,14000,1600.0,12.9,280,133,1100.0,100.0,300.0,4.0,5.0,3,2,1400.0,400,1000,-,
22/08/2024,16493172,16493172,11400,13100,9700,100,1.0,205,12400,12400,12400,12400,-,12400,12400,1000.0,8.77,500,338,2400.0,2600.0,100.0,1.0,5.0,8,-3,2500.0,2700,-200,-,
21/08/2024,16493172,16493172,10300,11800,8800,200,2.0,195,11000,11800,11800,11000,800,11400,11800,1500.0,14.56,271,150,1700.0,400.0,200.0,2.0,7.0,4,3,1900.0,600,1300,-,
20/08/2024,16493172,16493172,10500,12000,9000,600,6.0,181,10000,11000,11000,10000,1000,10283,11000,500.0,4.76,180,425,300.0,1100.0,600.0,6.0,5.0,4,1,900.0,1700,-800,-,
19/08/2024,16493172,16493172,10000,11500,8500,100,1.0,173,10500,10500,10500,10500,-,10500,10500,500.0,5.0,550,357,2100.0,2400.0,100.0,1.0,4.0,7,-3,2200.0,2500,-300,-,
16/08/2024,16493172,16493172,9600,11000,8200,2108,21.0,181,8200,11000,11000,8200,2800,10024,11000,1400.0,14.58,281,300,2392.0,,2108.0,21.0,16.0,7,9,4500.0,2100,2400,-,
15/08/2024,16493172,16493172,9500,10900,8100,200,2.0,165,9100,10000,10000,9100,900,9550,10000,500.0,5.26,350,240,3300.0,1000.0,200.0,2.0,10.0,5,5,3500.0,1200,2300,-,
14/08/2024,16493172,16493172,9100,10400,7800,600,6.0,158,9200,9600,9600,9200,400,9533,9600,500.0,5.49,350,280,1500.0,800.0,600.0,6.0,6.0,5,1,2100.0,1400,700,-,
13/08/2024,16493172,16493172,9000,10300,7700,106,1.0,150,9100,9100,9100,9100,-,9100,9100,100.0,1.11,413,267,3194.0,1494.0,106.0,1.0,8.0,6,2,3300.0,1600,1700,-,
12/08/2024,16493172,16493172,9000,10300,7700,6314,57.0,157,8900,9500,9500,8900,600,9003,9500,500.0,5.56,368,690,1786.0,586.0,6314.0,57.0,22.0,10,12,8100.0,6900,1200,-,
09/08/2024,16493172,16493172,9000,10300,7700,1502,13.0,147,9200,8900,9200,8900,300,8973,8900,-100.0,-1.11,95,617,498.0,5898.0,1502.0,13.0,21.0,12,9,2000.0,7400,-5400,-,
08/08/2024,16493172,16493172,8900,10200,7600,1200,11.0,157,8900,9500,9500,8900,600,8950,9500,600.0,6.74,1067,800,2000.0,400.0,1200.0,11.0,3.0,2,1,3200.0,1600,1600,-,
07/08/2024,16493172,16493172,8900,10200,7600,2,0.0,147,8900,8700,8900,8900,-,8900,8900,-200.0,-2.25,1000,1725,998.0,6898.0,2.0,0.0,1.0,4,-3,1000.0,6900,-5900,-,
06/08/2024,16493172,16493172,9000,10300,7700,800,7.0,143,8900,8700,8900,8700,200,8875,8700,-300.0,-3.33,200,1540,,6900.0,800.0,7.0,4.0,5,-1,800.0,7700,-6900,-,
05/08/2024,16493172,16493172,9000,10300,7700,-,,148,9000,9000,9000,9000,-,9000,9000,,,-,563,,4500.0,,,1.0,8,-7,,4500,-4500,-,
02/08/2024,16493172,16493172,9200,10500,7900,200,2.0,148,9000,9000,9000,9000,-,9000,9000,-200.0,-2.17,200,1078,,9500.0,200.0,2.0,1.0,9,-8,200.0,9700,-9500,-,
01/08/2024,16493172,16493172,9200,10500,7900,-,,152,9200,9200,9200,9200,-,9200,9200,,,-,600,,3600.0,,,1.0,6,-5,,3600,-3600,-,
31/07/2024,16493172,16493172,8900,10200,7600,100,1.0,152,9200,9200,9200,9200,-,9200,9200,300.0,3.37,4033,514,12000.0,3500.0,100.0,1.0,3.0,7,-4,12100.0,3600,8500,-,
30/07/2024,16493172,16493172,8600,9800,7400,5100,45.0,147,8900,8900,8900,8900,-,8900,8900,300.0,3.49,1000,536,2900.0,800.0,5100.0,45.0,8.0,11,-3,8000.0,5900,2100,-,
29/07/2024,16493172,16493172,8600,9800,7400,-,,142,8600,8600,8600,8600,-,8600,8600,,,867,650,2600.0,3900.0,,,3.0,6,-3,2600.0,3900,-1300,-,
26/07/2024,16493172,16493172,8600,9800,7400,-,,142,8600,8600,8600,8600,-,8600,8600,,,1000,580,2000.0,2900.0,,,2.0,5,-3,2000.0,2900,-900,-,
25/07/2024,16493172,16493172,8600,9800,7400,100,1.0,142,8600,8600,8600,8600,-,8600,8600,,,420,429,2000.0,2900.0,100.0,1.0,5.0,7,-2,2100.0,3000,-900,-,
24/07/2024,16493172,16493172,8600,9800,7400,1,0.0,142,8600,8600,8600,8600,-,8600,8600,,,750,360,1499.0,1799.0,1.0,0.0,2.0,5,-3,1500.0,1800,-300,-,
23/07/2024,16493172,16493172,8600,9800,7400,-,,142,8600,8600,8600,8600,-,8600,8600,,,250,500,500.0,1500.0,,,2.0,3,-1,500.0,1500,-1000,-,
22/07/2024,16493172,16493172,8600,9800,7400,200,2.0,142,8600,8600,8600,8600,-,8600,8600,,,550,414,2000.0,2700.0,200.0,2.0,4.0,7,-3,2200.0,2900,-700,-,
19/07/2024,16493172,16493172,8600,9800,7400,300,3.0,142,8600,8600,8600,8600,-,8600,8600,,,200,420,100.0,1800.0,300.0,3.0,2.0,5,-3,400.0,2100,-1700,-,
18/07/2024,16493172,16493172,8600,9800,7400,-,,142,8600,8600,8600,8600,-,8600,8600,,,333,540,1000.0,2700.0,,,3.0,5,-2,1000.0,2700,-1700,-,
17/07/2024,16493172,16493172,8600,9800,7400,400,3.0,142,8600,8600,8600,8600,-,8600,8600,,,375,317,1100.0,1500.0,400.0,3.0,4.0,6,-2,1500.0,1900,-400,-,
16/07/2024,16493172,16493172,8600,9800,7400,700,6.0,142,8600,8600,8600,8600,-,8600,8600,,,500,455,2800.0,4300.0,700.0,6.0,7.0,11,-4,3500.0,5000,-1500,-,
15/07/2024,16493172,16493172,8600,9800,7400,100,1.0,142,8600,8600,8600,8600,-,8600,8600,,,520,322,2500.0,2800.0,100.0,1.0,5.0,9,-4,2600.0,2900,-300,-,
12/07/2024,16493172,16493172,8600,9800,7400,-,,142,8600,8600,8600,8600,-,8600,8600,,,150,370,600.0,3700.0,,,4.0,10,-6,600.0,3700,-3100,-,
11/07/2024,16493172,16493172,8000,9200,6800,700,6.0,147,8000,8900,8900,8000,900,8643,8900,900.0,11.25,280,444,2100.0,3300.0,700.0,6.0,10.0,9,1,2800.0,4000,-1200,-,
10/07/2024,16493172,16493172,7100,8100,6100,1500,12.0,132,7600,8000,8000,7600,400,7973,8000,900.0,12.68,421,720,4400.0,2100.0,1500.0,12.0,14.0,5,9,5900.0,3600,2300,-,
09/07/2024,16493172,16493172,7100,8100,6100,-,,117,7100,7100,7100,7100,-,7100,7100,,,250,50,3000.0,100.0,,,12.0,2,10,3000.0,100,2900,-,
