Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,81194463,81194463,13100,14400,11800,554121,7230,1056,13100,13000,13200,13000,200,13049,12900,-100.0,-0.76,1868,3146,310679,1107179,554121,7230,463,528,-65,864800,1661300,-796500,-,
26/09/2024,81194463,81194463,13200,14500,11900,571536,7530,1064,13300,13100,13400,13100,300,13180,13000,-100.0,-0.76,1702,2807,352564,1536564,571536,7530,543,751,-208,924100,2108100,-1184000,-,
25/09/2024,81194463,81194463,13200,14500,11900,740838,9806,1072,13200,13200,13400,13100,300,13237,13100,,,1863,2653,384262,1463862,740838,9806,604,831,-227,1125100,2204700,-1079600,-,
24/09/2024,81194463,81194463,13000,14300,11700,496356,6480,1072,13000,13200,13200,12900,300,13033,13100,200.0,1.54,2288,2832,739144,1047344,496356,6480,540,545,-5,1235500,1543700,-308200,-,
23/09/2024,81194463,81194463,13100,14400,11800,1528839,20015,1056,13100,13000,13200,13000,200,13073,12900,-100.0,-0.76,1952,2901,510761,1234561,375439,4905,454,555,-101,886200,1610000,-723800,1153400,15110.0
20/09/2024,81194463,81194463,12700,13900,11500,1181454,15377,1064,12800,13100,13200,12800,400,13013,13000,400.0,3.15,2358,2421,665146,1126046,1181454,15377,783,953,-170,1846600,2307500,-460900,-,
19/09/2024,81194463,81194463,12700,13900,11500,2134966,27573,1031,12700,12700,12900,12700,200,12791,12600,,,2711,4523,637434,805634,926566,11825,577,383,194,1564000,1732200,-168200,1208400,15748.0
18/09/2024,81194463,81194463,12800,14000,11600,402537,5143,1031,12800,12700,12900,12700,200,12811,12600,-100.0,-0.78,1574,3117,395463,838063,402537,5143,507,398,109,798000,1240600,-442600,-,
17/09/2024,81194463,81194463,12700,13900,11500,305258,3935,1039,12700,12800,12800,12600,200,12670,12700,100.0,0.79,1818,2974,536842,624142,250258,3176,433,294,139,787100,874400,-87300,55000,759.0
