Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,39998522,39998522,6800,7400,6200,91130,617,272,6800,6800,6900,6700,200,6775,6800,,,1266,3062,89870,144670,91130,617,143,77,66,181000,235800,-54800,-,
26/09/2024,39998522,39998522,6900,7500,6300,34405,238,272,7000,6800,7000,6800,200,6912,6800,-100.0,-1.45,1320,1924,64595,131095,34405,238,75,86,-11,99000,165500,-66500,-,
25/09/2024,39998522,39998522,6900,7500,6300,17899,123,276,6900,6900,6900,6800,100,6876,6900,,,1093,2246,48801,132601,17899,123,61,67,-6,66700,150500,-83800,-,
24/09/2024,39998522,39998522,6900,7500,6300,9387,65,276,6900,6900,6900,6800,100,6883,6900,,,1771,2149,82713,113113,9387,65,52,57,-5,92100,122500,-30400,-,
23/09/2024,39998522,39998522,6900,7500,6300,19197,132,276,6900,6900,7000,6800,200,6884,6900,,,1022,1971,45203,116803,19197,132,63,69,-6,64400,136000,-71600,-,
20/09/2024,39998522,39998522,7000,7700,6300,37501,259,276,7000,6900,7000,6900,100,6908,6900,-100.0,-1.43,1142,1851,60699,116099,37501,259,86,83,3,98200,153600,-55400,-,
19/09/2024,39998522,39998522,7000,7700,6300,4296,30,280,6900,7000,7000,6900,100,6900,7000,,,1443,1716,73604,93504,4296,30,54,57,-3,77900,97800,-19900,-,
18/09/2024,39998522,39998522,6900,7500,6300,39830,275,280,6900,7000,7000,6800,200,6895,7000,100.0,1.45,1355,1869,83470,120870,39830,275,91,86,5,123300,160700,-37400,-,
17/09/2024,39998522,39998522,6900,7500,6300,24560,167,276,6900,6900,6900,6700,200,6801,6900,,,1128,1972,79240,117440,24560,167,92,72,20,103800,142000,-38200,-,
16/09/2024,39998522,39998522,6900,7500,6300,27853,191,276,6700,6900,7000,6700,300,6858,6900,,,1231,1662,66947,101747,27853,191,77,78,-1,94800,129600,-34800,-,
13/09/2024,39998522,39998522,6900,7500,6300,31198,215,276,7000,6900,7000,6800,200,6876,6900,,,2021,2367,110302,99002,31198,215,70,55,15,141500,130200,11300,-,
