Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,21000000,21000000,700,800,600,9400,6.0,15,700,700,700,600,100,610,700,,,1325,3550,6500.0,26100.0,9400.0,6.0,12.0,10.0,2,15900.0,35500.0,-19600,-,
26/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
25/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
24/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
23/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
20/09/2024,21000000,21000000,700,800,600,2300,2.0,15,600,700,800,600,200,691,700,,,2075,1056,30900.0,14600.0,2300.0,2.0,16.0,16.0,-,33200.0,16900.0,16300,-,
19/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
18/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
17/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
16/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
13/09/2024,21000000,21000000,700,800,600,4444,3.0,15,700,700,700,700,-,700,700,,,1658,3100,15456.0,26556.0,4444.0,3.0,12.0,10.0,2,19900.0,31000.0,-11100,-,
12/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
11/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
10/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
09/09/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
06/09/2024,21000000,21000000,600,700,500,2300,2.0,15,600,700,700,600,100,662,700,100.0,16.67,3056,907,52700.0,10400.0,2300.0,2.0,18.0,14.0,4,55000.0,12700.0,42300,-,
05/09/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
30/08/2024,21000000,21000000,500,600,400,20312,12.0,13,500,600,600,500,100,600,600,100.0,20.0,4609,3383,177888.0,,20312.0,12.0,43.0,6.0,37,198200.0,20300.0,177900,-,
29/08/2024,21000000,21000000,500,600,400,-,,11,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
28/08/2024,21000000,21000000,500,600,400,-,,11,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
27/08/2024,21000000,21000000,500,600,400,-,,11,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
26/08/2024,21000000,21000000,500,600,400,-,,11,500,500,500,500,-,500,500,,,-,-,,,,,,,-,,,-,-,
23/08/2024,21000000,21000000,600,700,500,29010,15.0,11,600,500,600,500,100,522,500,-100.0,-16.67,2204,4118,30490.0,16290.0,29010.0,15.0,27.0,11.0,16,59500.0,45300.0,14200,-,
22/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
21/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
20/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
19/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
16/08/2024,21000000,21000000,600,700,500,28146,17.0,15,600,700,700,500,200,620,700,100.0,16.67,2083,1171,67654.0,,28146.0,17.0,46.0,24.0,22,95800.0,28100.0,67700,-,
15/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
14/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
13/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
12/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
09/08/2024,21000000,21000000,600,700,500,16604,11.0,15,500,700,700,500,200,643,700,100.0,16.67,1622,1844,95296.0,,16604.0,11.0,69.0,9.0,60,111900.0,16600.0,95300,-,
08/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
07/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
06/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
05/08/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
02/08/2024,21000000,21000000,700,800,600,19822,13.0,15,600,700,700,600,100,638,700,,,1493,3838,23478.0,30078.0,19822.0,13.0,29.0,13.0,16,43300.0,49900.0,-6600,-,
01/08/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
31/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
30/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
29/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
26/07/2024,21000000,21000000,700,800,600,2817,2.0,17,700,800,800,700,100,739,800,100.0,14.29,639,2942,11883.0,32483.0,2817.0,2.0,23.0,12.0,11,14700.0,35300.0,-20600,-,
25/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
24/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
23/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
22/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
19/07/2024,21000000,21000000,800,900,700,14510,10.0,17,700,800,800,700,100,715,800,,,1377,1423,28190.0,28190.0,14510.0,10.0,31.0,30.0,1,42700.0,42700.0,-,-,
18/07/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
17/07/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
16/07/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
15/07/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
12/07/2024,21000000,21000000,700,800,600,12300,10.0,17,800,800,800,800,-,800,800,100.0,14.29,987,4800,41000.0,26100.0,12300.0,10.0,54.0,8.0,46,53300.0,38400.0,14900,-,
11/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
10/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
09/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
08/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
05/07/2024,21000000,21000000,700,800,600,27001,20.0,15,800,700,800,700,100,735,700,,,1500,3909,23999.0,15999.0,27001.0,20.0,34.0,11.0,23,51000.0,43000.0,8000,-,
04/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
03/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
02/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
01/07/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
28/06/2024,21000000,21000000,800,900,700,6200,4.0,17,800,800,800,700,100,718,800,,,1353,4763,14100.0,31900.0,6200.0,4.0,15.0,8.0,7,20300.0,38100.0,-17800,-,
27/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
26/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
25/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
24/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
21/06/2024,21000000,21000000,800,900,700,12401,10.0,17,800,800,900,800,100,809,800,,,1663,5050,14199.0,38099.0,12401.0,10.0,16.0,10.0,6,26600.0,50500.0,-23900,-,
20/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
19/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
18/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
17/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
14/06/2024,21000000,21000000,800,900,700,12300,9.0,17,800,800,900,700,200,761,800,,,3007,5778,32800.0,39700.0,12300.0,9.0,15.0,9.0,6,45100.0,52000.0,-6900,-,
13/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
12/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
11/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
10/06/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
07/06/2024,21000000,21000000,700,800,600,48200,39.0,17,800,800,800,800,-,800,800,100.0,14.29,4219,4382,40400.0,,48200.0,39.0,21.0,11.0,10,88600.0,48200.0,40400,-,
06/06/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
05/06/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
04/06/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
03/06/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
31/05/2024,21000000,21000000,700,800,600,20500,14.0,17,800,800,800,700,100,702,800,100.0,14.29,1957,3950,6900.0,26900.0,20500.0,14.0,14.0,12.0,2,27400.0,47400.0,-20000,-,
30/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
29/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
28/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
27/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
24/05/2024,21000000,21000000,700,800,600,8600,6.0,15,600,700,800,600,200,721,700,,,1300,2319,14800.0,28500.0,8600.0,6.0,18.0,16.0,2,23400.0,37100.0,-13700,-,
23/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
22/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
21/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
20/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
17/05/2024,21000000,21000000,800,900,700,31000,23.0,15,800,700,900,700,200,728,700,-100.0,-12.5,1409,4460,,13600.0,31000.0,23.0,22.0,10.0,12,31000.0,44600.0,-13600,-,
16/05/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
15/05/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
14/05/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
13/05/2024,21000000,21000000,800,900,700,-,,17,800,800,800,800,-,800,800,,,-,-,,,,,,,-,,,-,-,
10/05/2024,21000000,21000000,700,800,600,20300,16.0,17,800,800,800,800,-,800,800,100.0,14.29,3662,2200,27300.0,1700.0,20300.0,16.0,13.0,10.0,3,47600.0,22000.0,25600,-,
09/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
08/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
07/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
06/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
03/05/2024,21000000,21000000,700,800,600,38600,27.0,15,800,700,800,600,200,694,700,,,2284,3955,18500.0,4900.0,38600.0,27.0,25.0,11.0,14,57100.0,43500.0,13600,-,
02/05/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
26/04/2024,21000000,21000000,600,700,500,17600,12.0,15,600,700,700,600,100,689,700,100.0,16.67,4053,2933,59400.0,,17600.0,12.0,19.0,6.0,13,77000.0,17600.0,59400,-,
25/04/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
24/04/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
23/04/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
22/04/2024,21000000,21000000,600,700,500,-,,13,600,600,600,600,-,600,600,,,-,-,,,,,,,-,,,-,-,
19/04/2024,21000000,21000000,700,800,600,4000,3.0,13,600,600,700,600,100,628,600,-100.0,-14.29,700,1882,200.0,16700.0,4000.0,3.0,6.0,11.0,-5,4200.0,20700.0,-16500,-,
17/04/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
16/04/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
15/04/2024,21000000,21000000,700,800,600,-,,15,700,700,700,700,-,700,700,,,-,-,,,,,,,-,,,-,-,
