Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,50000000,50000000,3800,4300,3300,402503,1529.0,210,3800,4200,4200,3600,600,3798,4200,400.0,10.53,4070,7199,155097.0,101397.0,402503.0,1529.0,137.0,70.0,67,557600.0,503900.0,53700,-,
26/09/2024,50000000,50000000,3800,4300,3300,-,,190,3800,3800,3800,3800,-,3800,3800,,,-,-,,,,,,,-,,,-,-,
25/09/2024,50000000,50000000,3800,4300,3300,-,,190,3800,3800,3800,3800,-,3800,3800,,,-,-,,,,,,,-,,,-,-,
24/09/2024,50000000,50000000,3800,4300,3300,-,,190,3800,3800,3800,3800,-,3800,3800,,,-,-,,,,,,,-,,,-,-,
23/09/2024,50000000,50000000,3800,4300,3300,-,,190,3800,3800,3800,3800,-,3800,3800,,,-,-,,,,,,,-,,,-,-,
20/09/2024,50000000,50000000,3900,4400,3400,296030,1126.0,195,3900,3900,4200,3700,500,3803,3900,,,2689,4239,134170.0,166070.0,296030.0,1126.0,160.0,109.0,51,430200.0,462100.0,-31900,-,
19/09/2024,50000000,50000000,3900,4400,3400,-,,195,3900,3900,3900,3900,-,3900,3900,,,-,-,,,,,,,-,,,-,-,
18/09/2024,50000000,50000000,3900,4400,3400,-,,195,3900,3900,3900,3900,-,3900,3900,,,-,-,,,,,,,-,,,-,-,
17/09/2024,50000000,50000000,3900,4400,3400,-,,195,3900,3900,3900,3900,-,3900,3900,,,-,-,,,,,,,-,,,-,-,
16/09/2024,50000000,50000000,3900,4400,3400,-,,195,3900,3900,3900,3900,-,3900,3900,,,-,-,,,,,,,-,,,-,-,
13/09/2024,50000000,50000000,3600,4100,3100,359405,1391.0,200,3600,4000,4100,3600,500,3871,4000,400.0,11.11,7073,3224,262995.0,27495.0,359405.0,1391.0,88.0,120.0,-32,622400.0,386900.0,235500,-,
