Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,38638600,38638600,15800,18100,13500,5000,79.0,607,15700,15700,15700,15700,-,15700,15700,-100.0,-0.63,2300,2056,18000,50500,5000.0,79.0,10,27,-17,23000,55500,-32500,-,
26/09/2024,38638600,38638600,15900,18200,13600,3100,49.0,614,15800,15900,15900,15800,100,15803,15900,,,3388,3772,24000,91200,3100.0,49.0,8,25,-17,27100,94300,-67200,-,
25/09/2024,38638600,38638600,15500,17800,13200,100,2.0,614,15900,15900,15900,15900,-,15900,15900,400.0,2.58,1133,2504,6700,67500,100.0,2.0,6,27,-21,6800,67600,-60800,-,
24/09/2024,38638600,38638600,15600,17900,13300,800,12.0,610,15400,15800,15800,15400,400,15450,15800,200.0,1.28,1333,1824,7200,37500,800.0,12.0,6,21,-15,8000,38300,-30300,-,
23/09/2024,38638600,38638600,15500,17800,13200,16000,249.0,591,15800,15300,15900,15300,600,15567,15300,-200.0,-1.29,3533,2162,15800,57500,16000.0,249.0,9,34,-25,31800,73500,-41700,-,
20/09/2024,38638600,38638600,15400,17700,13100,9200,142.0,595,15400,15400,15500,15400,100,15454,15400,,,3580,2185,26600,47600,9200.0,142.0,10,26,-16,35800,56800,-21000,-,
19/09/2024,38638600,38638600,15400,17700,13100,2900,45.0,595,15500,15400,15500,15400,100,15403,15400,,,1509,2054,13700,50500,2900.0,45.0,11,26,-15,16600,53400,-36800,-,
18/09/2024,38638600,38638600,15700,18000,13400,20800,321.0,630,15800,16300,17900,15200,2700,15426,16300,600.0,3.82,1374,2261,5300,130700,20800.0,321.0,19,67,-48,26100,151500,-125400,-,
17/09/2024,38638600,38638600,15700,18000,13400,-,,607,15700,15700,15700,15700,-,15700,15700,,,3525,4089,28200,73600,,,8,18,-10,28200,73600,-45400,-,
16/09/2024,38638600,38638600,15800,18100,13500,10000,157.0,614,15400,15900,15900,15400,500,15684,15900,100.0,0.63,2991,1672,22900,20100,10000.0,157.0,11,18,-7,32900,30100,2800,-,
13/09/2024,38638600,38638600,15100,17300,12900,8400,133.0,610,15400,15800,15800,15400,400,15793,15800,700.0,4.64,1929,1969,24400,23100,8400.0,133.0,17,16,1,32800,31500,1300,-,
12/09/2024,38638600,38638600,15500,17800,13200,200,3.0,607,14400,15700,15700,14400,1300,15050,15700,200.0,1.29,1147,1544,17000,27600,200.0,3.0,15,18,-3,17200,27800,-10600,-,
11/09/2024,38638600,38638600,15500,17800,13200,100,2.0,599,15500,15500,15500,15500,-,15500,15500,,,2989,1769,26800,22900,100.0,2.0,9,13,-4,26900,23000,3900,-,
10/09/2024,38638600,38638600,15300,17500,13100,5500,85.0,599,15500,15500,15500,15500,-,15500,15500,200.0,1.31,3443,1719,18600,30600,5500.0,85.0,7,21,-14,24100,36100,-12000,-,
09/09/2024,38638600,38638600,15700,18000,13400,23200,355.0,607,15500,15700,15700,15100,600,15291,15700,,,3579,2329,26900,25700,23200.0,355.0,14,21,-7,50100,48900,1200,-,
06/09/2024,38638600,38638600,15900,18200,13600,300,5.0,614,15600,15900,15900,15600,300,15733,15900,,,5483,4248,32600,88900,300.0,5.0,6,21,-15,32900,89200,-56300,-,
05/09/2024,38638600,38638600,15900,18200,13600,-,,614,15900,15900,15900,15900,-,15900,15900,,,5200,5806,41600,98700,,,8,17,-9,41600,98700,-57100,-,
04/09/2024,38638600,38638600,15500,17800,13200,100,2.0,614,15900,15900,15900,15900,-,15900,15900,400.0,2.58,4288,3959,68500,67200,100.0,2.0,16,17,-1,68600,67300,1300,-,
30/08/2024,38638600,38638600,15600,17900,13300,1600,25.0,614,15800,15900,15900,15400,500,15538,15900,300.0,1.92,2600,2005,40000,40500,1600.0,25.0,16,21,-5,41600,42100,-500,-,
29/08/2024,38638600,38638600,15600,17900,13300,5100,80.0,603,15900,15600,15900,15600,300,15606,15600,,,3055,2041,28500,29600,5100.0,80.0,11,17,-6,33600,34700,-1100,-,
28/08/2024,38638600,38638600,15700,18000,13400,1000,16.0,614,16000,15900,16000,15400,600,15580,15900,200.0,1.27,2419,2154,37700,59300,1000.0,16.0,16,28,-12,38700,60300,-21600,-,
27/08/2024,38638600,38638600,15700,18000,13400,-,,607,15700,15700,15700,15700,-,15700,15700,,,5140,2589,51400,49200,,,10,19,-9,51400,49200,2200,-,
26/08/2024,38638600,38638600,15400,17700,13100,22100,347.0,599,16000,15500,16000,15500,500,15706,15500,100.0,0.65,4627,2043,28800,53500,22100.0,347.0,11,37,-26,50900,75600,-24700,-,
23/08/2024,38638600,38638600,16800,19300,14300,9700,150.0,595,16300,15400,16300,15400,900,15434,15400,-1400.0,-8.33,2356,2792,11500,124300,9700.0,150.0,9,48,-39,21200,134000,-112800,-,
22/08/2024,38638600,38638600,16000,18400,13600,6600,111.0,618,15900,16000,17700,15900,1800,16777,16000,,,3347,3263,43600,97800,6600.0,111.0,15,32,-17,50200,104400,-54200,-,
21/08/2024,38638600,38638600,16000,18400,13600,100,2.0,618,16000,16000,16000,16000,-,16000,16000,,,5789,2375,52000,56900,100.0,2.0,9,24,-15,52100,57000,-4900,-,
20/08/2024,38638600,38638600,15900,18200,13600,100,2.0,618,16000,16000,16000,16000,-,16000,16000,100.0,0.63,5033,2746,45200,65800,100.0,2.0,9,24,-15,45300,65900,-20600,-,
19/08/2024,38638600,38638600,15900,18200,13600,100,2.0,614,15900,15900,15900,15900,-,15900,15900,,,6264,1683,68800,48700,100.0,2.0,11,29,-18,68900,48800,20100,-,
16/08/2024,38638600,38638600,15400,17700,13100,100,2.0,614,15900,15900,15900,15900,-,15900,15900,500.0,3.25,4080,1862,61100,63200,100.0,2.0,15,34,-19,61200,63300,-2100,-,
15/08/2024,38638600,38638600,15500,17800,13200,4100,63.0,595,15400,15400,15400,15400,-,15400,15400,-100.0,-0.65,4757,2029,29200,30400,4100.0,63.0,7,17,-10,33300,34500,-1200,-,
14/08/2024,38638600,38638600,15400,17700,13100,600,9.0,614,15400,15900,15900,15400,500,15483,15900,500.0,3.25,3746,1438,48100,33900,600.0,9.0,13,24,-11,48700,34500,14200,-,
13/08/2024,38638600,38638600,15400,17700,13100,1400,22.0,603,15400,15600,15600,15400,200,15414,15600,200.0,1.3,3813,1150,55800,17000,1400.0,22.0,15,16,-1,57200,18400,38800,-,
12/08/2024,38638600,38638600,16000,18400,13600,4500,69.0,614,15400,15900,15900,15400,500,15411,15900,-100.0,-0.63,4411,3125,74900,70500,4500.0,69.0,18,24,-6,79400,75000,4400,-,
09/08/2024,38638600,38638600,15400,17700,13100,100,2.0,618,16000,16000,16000,16000,-,16000,16000,600.0,3.9,1970,2911,19600,81400,100.0,2.0,10,28,-18,19700,81500,-61800,-,
08/08/2024,38638600,38638600,15700,18000,13400,28300,437.0,618,15600,16000,16000,15200,800,15437,16000,300.0,1.91,3375,5466,39200,130200,28300.0,437.0,20,29,-9,67500,158500,-91000,-,
07/08/2024,38638600,38638600,16000,18400,13600,2500,39.0,618,15700,16000,16000,15700,300,15712,16000,,,3971,3974,65000,104800,2500.0,39.0,17,27,-10,67500,107300,-39800,-,
06/08/2024,38638600,38638600,15800,18100,13500,100,2.0,618,16000,16000,16000,16000,-,16000,16000,200.0,1.27,3981,4375,63600,122400,100.0,2.0,16,28,-12,63700,122500,-58800,-,
05/08/2024,38638600,38638600,15600,17900,13300,19100,301.0,614,15600,15900,16000,15600,400,15767,15900,300.0,1.92,4289,1446,101000,77800,19100.0,301.0,28,67,-39,120100,96900,23200,-,
02/08/2024,38638600,38638600,15600,17900,13300,44100,686.0,692,15500,17900,17900,15300,2600,15562,17900,2300.0,14.74,6703,2895,157000,10900,44100.0,686.0,30,19,11,201100,55000,146100,-,
01/08/2024,38638600,38638600,15900,18200,13600,19600,305.0,599,15800,15500,15800,15400,400,15554,15500,-400.0,-2.52,2722,1639,29400,18100,19600.0,305.0,18,23,-5,49000,37700,11300,-,
31/07/2024,38638600,38638600,15900,18200,13600,-,,614,15900,15900,15900,15900,-,15900,15900,,,5125,1567,41000,28200,,,8,18,-10,41000,28200,12800,-,
30/07/2024,38638600,38638600,15900,18200,13600,-,,614,15900,15900,15900,15900,-,15900,15900,,,5063,2867,40500,51600,,,8,18,-10,40500,51600,-11100,-,
29/07/2024,38638600,38638600,15700,18000,13400,100,2.0,614,15900,15900,15900,15900,-,15900,15900,200.0,1.27,5716,4058,108500,48600,100.0,2.0,19,12,7,108600,48700,59900,-,
26/07/2024,38638600,38638600,15700,18000,13400,-,,607,15700,15700,15700,15700,-,15700,15700,,,4355,4495,47900,98900,,,11,22,-11,47900,98900,-51000,-,
25/07/2024,38638600,38638600,15800,18100,13500,21500,337.0,603,15700,15600,15700,15600,100,15657,15600,-200.0,-1.27,4455,5261,27500,73200,21500.0,337.0,11,18,-7,49000,94700,-45700,-,
24/07/2024,38638600,38638600,15800,18100,13500,200,3.0,607,15800,15700,15800,15700,100,15750,15700,-100.0,-0.63,3210,1780,31900,26500,200.0,3.0,10,15,-5,32100,26700,5400,-,
23/07/2024,38638600,38638600,15800,18100,13500,3000,47.0,618,15800,16000,16000,15700,300,15793,16000,200.0,1.27,3213,1731,45200,24700,3000.0,47.0,15,16,-1,48200,27700,20500,-,
22/07/2024,38638600,38638600,15800,18100,13500,16700,263.0,618,15700,16000,16000,15700,300,15762,16000,200.0,1.27,6156,2159,81800,20000,16700.0,263.0,16,17,-1,98500,36700,61800,-,
19/07/2024,38638600,38638600,15900,18200,13600,12200,193.0,607,15800,15700,15800,15700,100,15789,15700,-200.0,-1.26,3929,4906,15300,66300,12200.0,193.0,7,16,-9,27500,78500,-51000,-,
18/07/2024,38638600,38638600,15900,18200,13600,1600,25.0,618,15900,16000,16000,15800,200,15875,16000,100.0,0.63,1980,3857,18200,79400,1600.0,25.0,10,21,-11,19800,81000,-61200,-,
17/07/2024,38638600,38638600,16000,18400,13600,1200,19.0,610,15900,15800,15900,15800,100,15892,15800,-200.0,-1.25,3829,3788,63900,93500,1200.0,19.0,17,25,-8,65100,94700,-29600,-,
16/07/2024,38638600,38638600,15900,18200,13600,300,5.0,614,16100,15900,16100,15900,200,15967,15900,,,2375,4180,37700,104200,300.0,5.0,16,25,-9,38000,104500,-66500,-,
15/07/2024,38638600,38638600,15800,18100,13500,12600,200.0,614,15800,15900,15900,15800,100,15899,15900,100.0,0.63,4608,2450,47300,41300,12600.0,200.0,13,22,-9,59900,53900,6000,-,
12/07/2024,38638600,38638600,15800,18100,13500,4500,71.0,610,15700,15800,16100,15700,400,15798,15800,,,1759,3043,34200,65500,4500.0,71.0,22,23,-1,38700,70000,-31300,-,
11/07/2024,38638600,38638600,15800,18100,13500,700,11.0,622,15800,16100,16100,15800,300,15843,16100,300.0,1.9,1372,4254,24000,101400,700.0,11.0,18,24,-6,24700,102100,-77400,-,
10/07/2024,38638600,38638600,15900,18200,13600,22000,348.0,618,15900,16000,16000,15800,200,15802,16000,100.0,0.63,4323,5524,90400,94000,22000.0,348.0,26,21,5,112400,116000,-3600,-,
09/07/2024,38638600,38638600,15900,18200,13600,2100,33.0,622,15900,16100,16100,15900,200,15910,16100,200.0,1.26,3082,2115,65700,40200,2100.0,33.0,22,20,2,67800,42300,25500,-,
08/07/2024,38638600,38638600,16000,18400,13600,33300,529.0,622,16000,16100,16100,15800,300,15898,16100,100.0,0.63,4189,4593,46300,104500,33300.0,529.0,19,30,-11,79600,137800,-58200,-,
05/07/2024,38638600,38638600,16000,18400,13600,4300,69.0,622,16000,16100,16200,16000,200,16037,16100,100.0,0.63,4425,3283,84200,130300,4300.0,69.0,20,41,-21,88500,134600,-46100,-,
04/07/2024,38638600,38638600,16000,18400,13600,2700,43.0,622,16000,16100,16100,16000,100,16007,16100,100.0,0.63,2693,1969,35000,48500,2700.0,43.0,14,26,-12,37700,51200,-13500,-,
03/07/2024,38638600,38638600,16000,18400,13600,200,3.0,622,15800,16100,16100,15800,300,15950,16100,100.0,0.63,3057,1733,42600,46600,200.0,3.0,14,27,-13,42800,46800,-4000,-,
02/07/2024,38638600,38638600,16000,18400,13600,19200,307.0,610,15900,15800,16400,15800,600,15997,15800,-200.0,-1.25,3224,1812,35600,40600,19200.0,307.0,17,33,-16,54800,59800,-5000,-,
01/07/2024,38638600,38638600,15900,18200,13600,6100,97.0,618,15800,16000,16000,15800,200,15972,16000,100.0,0.63,3909,1936,36900,63600,6100.0,97.0,11,36,-25,43000,69700,-26700,-,
28/06/2024,38638600,38638600,16100,18500,13700,36500,581.0,610,15900,15800,16100,15800,300,15925,15800,-300.0,-1.86,3761,2171,50000,37300,36500.0,581.0,23,34,-11,86500,73800,12700,-,
27/06/2024,38638600,38638600,15900,18200,13600,28500,458.0,614,16300,15900,17300,15900,1400,16068,15900,,,2580,2564,61800,122800,28500.0,458.0,35,59,-24,90300,151300,-61000,-,
26/06/2024,38638600,38638600,15900,18200,13600,64300,1023.0,634,16000,16400,16400,15800,600,15908,16400,500.0,3.14,6158,2673,95800,56000,64300.0,1023.0,26,45,-19,160100,120300,39800,-,
25/06/2024,38638600,38638600,15900,18200,13600,8500,135.0,614,15900,15900,16000,15900,100,15920,15900,,,3717,1882,58400,44200,8500.0,135.0,18,28,-10,66900,52700,14200,-,
24/06/2024,38638600,38638600,15900,18200,13600,16100,255.0,622,15900,16100,16100,15800,300,15859,16100,200.0,1.26,5838,1787,182400,51800,16100.0,255.0,34,38,-4,198500,67900,130600,-,
21/06/2024,38638600,38638600,15900,18200,13600,7800,124.0,622,15900,16100,16100,15900,200,15949,16100,200.0,1.26,4729,1113,72600,27800,7800.0,124.0,17,32,-15,80400,35600,44800,-,
20/06/2024,38638600,38638600,16000,18400,13600,2700,43.0,614,15900,15900,16000,15900,100,15907,15900,-100.0,-0.63,4809,1683,50200,46100,2700.0,43.0,11,29,-18,52900,48800,4100,-,
19/06/2024,38638600,38638600,16000,18400,13600,6200,99.0,618,16200,16000,16200,16000,200,16003,16000,,,3650,1520,59500,39400,6200.0,99.0,18,30,-12,65700,45600,20100,-,
18/06/2024,38638600,38638600,16000,18400,13600,4000,64.0,618,15900,16000,16200,15900,300,15970,16000,,,3025,2200,68600,68600,4000.0,64.0,24,33,-9,72600,72600,-,-,
