Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,356012638,356012638,28500,30450,26550,1586900,44739,10040,28500,28200,28600,28200,400,28301,28200,-300.0,-1.05,1798,2619,168200.0,56400.0,1485900,42052,1398.0,1391.0,7,2513700.0,3643200.0,-1129500,101000,2687.0
26/09/2024,356012638,356012638,28150,30100,26200,1789400,50909,10146,28250,28500,28600,28250,350,28450,28500,350.0,1.24,1763,2341,47900.0,473000.0,1789400,50909,1805.0,2167.0,-362,3182300.0,5072900.0,-1890600,-,
25/09/2024,356012638,356012638,28000,29950,26050,1545800,43544,10022,28150,28150,28300,28050,250,28169,28200,150.0,0.54,2719,2410,216300.0,142700.0,1545800,43544,1218.0,1492.0,-274,3311400.0,3595100.0,-283700,-,
24/09/2024,356012638,356012638,27700,29600,25800,738700,20555,9968,27650,28000,28000,27650,350,27826,28000,300.0,1.08,2468,2472,17300.0,92500.0,738700,20555,733.0,729.0,4,1809100.0,1802100.0,7000,-,
23/09/2024,356012638,356012638,27900,29850,25950,800800,22287,9862,27950,27700,28200,27650,550,27828,27700,-200.0,-0.72,1902,3630,128400.0,9200.0,772200,21489,812.0,868.0,-56,1544200.0,3150800.0,-1606600,28600,798.0
20/09/2024,356012638,356012638,27700,29600,25800,1908400,53582,9933,28000,27900,28250,27900,350,28077,27900,200.0,0.72,3391,2704,234100.0,5100.0,1908400,53582,1104.0,1632.0,-528,3743400.0,4413500.0,-670100,-,
19/09/2024,356012638,356012638,27600,29500,25700,650500,18014,9862,27600,27700,27850,27600,250,27693,27700,100.0,0.36,2941,3125,66100.0,90100.0,650500,18014,686.0,710.0,-24,2017300.0,2218700.0,-201400,-,
18/09/2024,356012638,356012638,27600,29500,25700,1045700,29044,9933,27750,27900,28000,27650,350,27867,27600,300.0,1.09,2569,2719,102600.0,115300.0,1000700,27887,885.0,1092.0,-207,2273700.0,2969000.0,-695300,45000,1157.0
17/09/2024,356012638,356012638,27500,29400,25600,1641500,44771,9826,27550,27600,27700,27100,600,27449,27300,100.0,0.36,2724,4132,51200.0,37300.0,1486500,40803,1301.0,643.0,658,3543400.0,2657000.0,886400,155000,3968.0
16/09/2024,356012638,356012638,28050,30000,26100,1191100,32924,9790,28050,27500,28200,26650,1550,27642,27200,-550.0,-1.96,2109,3256,99000.0,29800.0,1191100,32924,1388.0,905.0,483,2927400.0,2946400.0,-19000,-,
13/09/2024,356012638,356012638,28000,29950,26050,566800,15903,9986,28050,28050,28250,27850,400,28058,27700,50.0,0.18,3118,2141,110600.0,69800.0,566800,15903,752.0,821.0,-69,2344900.0,1757900.0,587000,-,
12/09/2024,356012638,356012638,27800,29700,25900,884700,24842,9968,27950,28000,28250,27900,350,28080,27700,200.0,0.72,2990,2318,58200.0,62800.0,884700,24842,674.0,1020.0,-346,2015500.0,2364100.0,-348600,-,
11/09/2024,356012638,356012638,27650,29550,25750,979500,27176,9897,27500,27800,27950,27500,450,27745,27500,150.0,0.54,2190,2082,63200.0,18600.0,979500,27176,1367.0,916.0,451,2993400.0,1907200.0,1086200,-,
10/09/2024,356012638,356012638,28050,30000,26100,1885400,52467,9844,28150,27650,28300,27500,800,27828,27400,-400.0,-1.43,2673,1453,37000.0,36600.0,1885400,52467,1434.0,2295.0,-861,3832500.0,3334400.0,498100,-,
09/09/2024,356012638,356012638,28250,30200,26300,888000,24984,9986,28200,28050,28300,28050,250,28135,27700,-200.0,-0.71,2585,2780,273800.0,48600.0,888000,24984,740.0,809.0,-69,1913100.0,2249100.0,-336000,-,
06/09/2024,356012638,356012638,28050,30000,26100,1337600,37504,10057,28000,28250,28350,27800,550,28038,27900,200.0,0.71,3151,2397,82700.0,38700.0,1337600,37504,1135.0,1098.0,37,3576900.0,2632300.0,944600,-,
05/09/2024,356012638,356012638,28250,30200,26300,1352200,38180,9986,28300,28050,28450,28050,400,28235,27700,-200.0,-0.71,2619,3040,248100.0,158600.0,1352200,38180,1003.0,830.0,173,2627300.0,2523100.0,104200,-,
04/09/2024,356012638,356012638,28750,30750,26750,963700,27327,10057,28300,28250,28550,28150,400,28356,27900,-500.0,-1.74,2000,3217,163700.0,17600.0,963700,27327,1139.0,783.0,356,2277700.0,2518900.0,-241200,-,
