Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,30000000,30000000,1400,1600,1200,31000,45.0,45,1400,1500,1500,1400,100,1435,1500,100.0,7.14,10788,15089,249500.0,240600.0,31000.0,45.0,26.0,18.0,8,280500.0,271600.0,8900,-,
26/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
25/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
24/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
23/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
20/09/2024,30000000,30000000,1300,1400,1200,69000,97.0,42,1400,1400,1400,1300,100,1399,1400,100.0,7.69,10350,4929,138000.0,,69000.0,97.0,20.0,14.0,6,207000.0,69000.0,138000,-,
19/09/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
18/09/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
17/09/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/09/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
13/09/2024,30000000,30000000,1400,1600,1200,30300,39.0,39,1400,1300,1400,1300,100,1301,1300,-100.0,-7.14,3710,13300,47600.0,222400.0,30300.0,39.0,21.0,19.0,2,77900.0,252700.0,-174800,-,
12/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
11/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
10/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
09/09/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
06/09/2024,30000000,30000000,1500,1700,1300,78900,114.0,45,1500,1500,1500,1400,100,1443,1500,,,5739,10550,53100.0,258700.0,78900.0,114.0,23.0,32.0,-9,132000.0,337600.0,-205600,-,
05/09/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
04/09/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
30/08/2024,30000000,30000000,1400,1600,1200,27900,41.0,45,1400,1500,1500,1300,200,1478,1500,100.0,7.14,3177,7960,83300.0,91500.0,27900.0,41.0,35.0,15.0,20,111200.0,119400.0,-8200,-,
29/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
28/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
27/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
26/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
23/08/2024,30000000,30000000,1300,1400,1200,180800,253.0,42,1300,1400,1400,1300,100,1397,1400,100.0,7.69,7603,12914,62500.0,,180800.0,253.0,32.0,14.0,18,243300.0,180800.0,62500,-,
22/08/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
21/08/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
20/08/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
19/08/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
16/08/2024,30000000,30000000,1400,1600,1200,4500,6.0,48,1600,1600,1600,1300,300,1342,1600,200.0,14.29,1427,4929,16900.0,64500.0,4500.0,6.0,15.0,14.0,1,21400.0,69000.0,-47600,-,
15/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
14/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
13/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
12/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
09/08/2024,30000000,30000000,1400,1600,1200,20300,28.0,45,1300,1500,1500,1300,200,1400,1500,100.0,7.14,5747,5950,65900.0,39200.0,20300.0,28.0,15.0,10.0,5,86200.0,59500.0,26700,-,
08/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
07/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
06/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
05/08/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
02/08/2024,30000000,30000000,1300,1400,1200,69100,97.0,42,1400,1400,1400,1400,-,1400,1400,100.0,7.69,10623,23033,69000.0,,69100.0,97.0,13.0,3.0,10,138100.0,69100.0,69000,-,
01/08/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
31/07/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
30/07/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
29/07/2024,30000000,30000000,1300,1400,1200,-,,39,1300,1300,1300,1300,-,1300,1300,,,-,-,,,,,,,-,,,-,-,
26/07/2024,30000000,30000000,1400,1600,1200,51000,67.0,45,1400,1500,1500,1300,200,1313,1500,100.0,7.14,6357,11017,95200.0,15100.0,51000.0,67.0,23.0,6.0,17,146200.0,66100.0,80100,-,
25/07/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
24/07/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
23/07/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
22/07/2024,30000000,30000000,1400,1600,1200,-,,42,1400,1400,1400,1400,-,1400,1400,,,-,-,,,,,,,-,,,-,-,
19/07/2024,30000000,30000000,1500,1700,1300,1301,2.0,42,1400,1400,1600,1300,300,1392,1400,-100.0,-6.67,2577,7863,65699.0,210999.0,1301.0,2.0,26.0,27.0,-1,67000.0,212300.0,-145300,-,
18/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
17/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
16/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
15/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
12/07/2024,30000000,30000000,1500,1700,1300,209800,317.0,48,1500,1600,1600,1500,100,1511,1600,100.0,6.67,9893,19753,57300.0,165500.0,209800.0,317.0,27.0,19.0,8,267100.0,375300.0,-108200,-,
11/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
10/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
09/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
08/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
05/07/2024,30000000,30000000,1500,1700,1300,106500,160.0,45,1500,1500,1500,1500,-,1500,1500,,,5846,19075,45500.0,198700.0,106500.0,160.0,26.0,16.0,10,152000.0,305200.0,-153200,-,
04/07/2024,30000000,30000000,1500,1700,1300,-,,45,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
