Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,15000000,15000000,1100,1200,1000,3000,4.0,18,1200,1200,1200,1100,100,1197,1200,100.0,9.09,800,3500,4200.0,25000.0,3000.0,4.0,9.0,8.0,1,7200.0,28000.0,-20800,-,
26/09/2024,15000000,15000000,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
25/09/2024,15000000,15000000,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
24/09/2024,15000000,15000000,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
23/09/2024,15000000,15000000,1100,1200,1000,-,,17,1100,1100,1100,1100,-,1100,1100,,,-,-,,,,,,,-,,,-,-,
20/09/2024,15000000,15000000,1200,1300,1100,5900,6.0,17,1100,1100,1100,1100,-,1100,1100,-100.0,-8.33,738,4682,,45600.0,5900.0,6.0,8.0,11.0,-3,5900.0,51500.0,-45600,-,
19/09/2024,15000000,15000000,1200,1300,1100,-,,18,1200,1200,1200,1200,-,1200,1200,,,-,-,,,,,,,-,,,-,-,
18/09/2024,15000000,15000000,1200,1300,1100,-,,18,1200,1200,1200,1200,-,1200,1200,,,-,-,,,,,,,-,,,-,-,
17/09/2024,15000000,15000000,1200,1300,1100,-,,18,1200,1200,1200,1200,-,1200,1200,,,-,-,,,,,,,-,,,-,-,
16/09/2024,15000000,15000000,1200,1300,1100,-,,18,1200,1200,1200,1200,-,1200,1200,,,-,-,,,,,,,-,,,-,-,
13/09/2024,15000000,15000000,1400,1600,1200,501,1.0,18,1200,1200,1200,1200,-,1200,1200,-200.0,-14.29,250,5444,,97499.0,501.0,1.0,2.0,18.0,-16,500.0,98000.0,-97500,-,
