Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,8000000,7979400,35900,41200,30600,2000,72.0,298,37300,37300,37300,34000,3300,36140,37300,1400.0,3.9,667,343,8000.0,400.0,2000.0,72.0,15.0,7.0,8,10000.0,2400.0,7600,-,
26/09/2024,8000000,7979400,35900,41200,30600,-,,286,35900,35900,35900,35900,-,35900,35900,,,610,214,6100.0,1500.0,,,10.0,7.0,3,6100.0,1500.0,4600,-,
25/09/2024,8000000,7979400,37800,43400,32200,900,32.0,294,35600,36800,36800,35600,1200,35867,36800,-1000.0,-2.65,212,162,2700.0,1200.0,900.0,32.0,17.0,13.0,4,3600.0,2100.0,1500,-,
24/09/2024,8000000,7979400,37800,43400,32200,2,0.0,302,37800,37800,37800,37800,-,37800,37800,,,278,400,2498.0,3998.0,2.0,0.0,9.0,10.0,-1,2500.0,4000.0,-1500,-,
23/09/2024,8000000,7979400,36400,41800,31000,100,4.0,302,37800,37800,37800,37800,-,37800,37800,1400.0,3.85,521,157,7200.0,1000.0,100.0,4.0,14.0,7.0,7,7300.0,1100.0,6200,-,
20/09/2024,8000000,7979400,36700,42200,31200,300,11.0,282,38400,35400,38400,35400,3000,36433,35400,-1300.0,-3.54,550,233,6300.0,1800.0,300.0,11.0,12.0,9.0,3,6600.0,2100.0,4500,-,
19/09/2024,8000000,7979400,38800,44600,33000,1100,40.0,303,35600,38000,38000,35600,2400,36691,38000,-800.0,-2.06,124,167,1000.0,900.0,1100.0,40.0,17.0,12.0,5,2100.0,2000.0,100,-,
18/09/2024,8000000,7979400,36300,41700,30900,100,4.0,310,38800,38800,38800,38800,-,38800,38800,2500.0,6.89,325,143,3800.0,900.0,100.0,4.0,12.0,7.0,5,3900.0,1000.0,2900,-,
17/09/2024,8000000,7979400,35500,40800,30200,1200,44.0,299,40800,37500,40800,35200,5600,36342,37500,2000.0,5.63,353,255,4800.0,1600.0,1200.0,44.0,17.0,11.0,6,6000.0,2800.0,3200,-,
