Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3222000,3222000,5700,6500,4900,-,,18,5700,5700,5700,5700,-,5700,5700,,,-,500,,1000.0,,,,2.0,-2,,1000.0,-1000,-,
26/09/2024,3222000,3222000,5700,6500,4900,-,,18,5700,5700,5700,5700,-,5700,5700,,,200,600,200.0,1200.0,,,1.0,2.0,-1,200.0,1200.0,-1000,-,
25/09/2024,3222000,3222000,5000,5700,4300,102,1.0,18,5700,5700,5700,5700,-,5700,5700,700.0,14.0,200,450,498.0,798.0,102.0,1.0,3.0,2.0,1,600.0,900.0,-300,-,
24/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,133,200,400.0,200.0,,,3.0,1.0,2,400.0,200.0,200,-,
23/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,200,433,400.0,1300.0,,,2.0,3.0,-1,400.0,1300.0,-900,-,
20/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,500,400.0,1000.0,,,1.0,2.0,-1,400.0,1000.0,-600,-,
19/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,500,400.0,1000.0,,,1.0,2.0,-1,400.0,1000.0,-600,-,
18/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,500,433,500.0,1300.0,,,1.0,3.0,-2,500.0,1300.0,-800,-,
17/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,467,400.0,1400.0,,,1.0,3.0,-2,400.0,1400.0,-1000,-,
16/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,350,450,700.0,900.0,,,2.0,2.0,-,700.0,900.0,-200,-,
13/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,433,400.0,1300.0,,,1.0,3.0,-2,400.0,1300.0,-900,-,
12/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,450,400.0,900.0,,,1.0,2.0,-1,400.0,900.0,-500,-,
11/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,400,433,400.0,1300.0,,,1.0,3.0,-2,400.0,1300.0,-900,-,
10/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,167,433,500.0,1300.0,,,3.0,3.0,-,500.0,1300.0,-800,-,
09/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,275,433,1100.0,1300.0,,,4.0,3.0,1,1100.0,1300.0,-200,-,
06/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,200,350,1000.0,1400.0,,,5.0,4.0,1,1000.0,1400.0,-400,-,
05/09/2024,3222000,3222000,5000,5700,4300,-,,16,5000,5000,5000,5000,-,5000,5000,,,300,400,600.0,1200.0,,,2.0,3.0,-1,600.0,1200.0,-600,-,
04/09/2024,3222000,3222000,4400,5000,3800,100,1.0,16,5000,5000,5000,5000,-,5000,5000,600.0,13.64,220,100,1000.0,,100.0,1.0,5.0,1.0,4,1100.0,100.0,1000,-,
30/08/2024,3222000,3222000,4400,5000,3800,-,,14,4400,4400,4400,4400,-,4400,4400,,,267,100,800.0,100.0,,,3.0,1.0,2,800.0,100.0,700,-,
29/08/2024,3222000,3222000,4800,5500,4100,110,0.0,14,4400,4400,4400,4400,-,4400,4400,-400.0,-8.33,300,250,790.0,890.0,110.0,0.0,3.0,4.0,-1,900.0,1000.0,-100,-,
28/08/2024,3222000,3222000,4800,5500,4100,100,0.0,15,4800,4800,4800,4800,-,4800,4800,,,240,267,1100.0,700.0,100.0,0.0,5.0,3.0,2,1200.0,800.0,400,-,
27/08/2024,3222000,3222000,5100,5800,4400,200,1.0,14,5100,4400,5100,4400,700,4750,4400,-700.0,-13.73,300,240,1000.0,1000.0,200.0,1.0,4.0,5.0,-1,1200.0,1200.0,-,-,
26/08/2024,3222000,3222000,5100,5800,4400,-,,16,5100,5100,5100,5100,-,5100,5100,,,500,333,500.0,1000.0,,,1.0,3.0,-2,500.0,1000.0,-500,-,
23/08/2024,3222000,3222000,5100,5800,4400,-,,16,5100,5100,5100,5100,-,5100,5100,,,500,250,1000.0,1000.0,,,2.0,4.0,-2,1000.0,1000.0,-,-,
22/08/2024,3222000,3222000,5100,5800,4400,-,,16,5100,5100,5100,5100,-,5100,5100,,,500,300,1000.0,900.0,,,2.0,3.0,-1,1000.0,900.0,100,-,
21/08/2024,3222000,3222000,5200,5900,4500,310,2.0,15,4900,4600,5800,4600,1200,5100,4600,-600.0,-11.54,240,220,890.0,790.0,310.0,2.0,5.0,5.0,-,1200.0,1100.0,100,-,
20/08/2024,3222000,3222000,4600,5200,4000,100,1.0,17,5200,5200,5200,5200,-,5200,5200,600.0,13.04,225,100,800.0,,100.0,1.0,4.0,1.0,3,900.0,100.0,800,-,
19/08/2024,3222000,3222000,4600,5200,4000,-,,15,4600,4600,4600,4600,-,4600,4600,,,300,100,900.0,100.0,,,3.0,1.0,2,900.0,100.0,800,-,
16/08/2024,3222000,3222000,4600,5200,4000,-,,15,4600,4600,4600,4600,-,4600,4600,,,267,200,800.0,200.0,,,3.0,1.0,2,800.0,200.0,600,-,
15/08/2024,3222000,3222000,5200,5900,4500,200,1.0,15,4600,4600,4600,4600,-,4600,4600,-600.0,-11.54,300,333,400.0,800.0,200.0,1.0,2.0,3.0,-1,600.0,1000.0,-400,-,
14/08/2024,3222000,3222000,5200,5900,4500,-,,17,5200,5200,5200,5200,-,5200,5200,,,500,350,500.0,700.0,,,1.0,2.0,-1,500.0,700.0,-200,-,
13/08/2024,3222000,3222000,5200,5900,4500,-,,17,5200,5200,5200,5200,-,5200,5200,,,500,233,500.0,700.0,,,1.0,3.0,-2,500.0,700.0,-200,-,
12/08/2024,3222000,3222000,4600,5200,4000,200,1.0,17,5200,5200,5200,5200,-,5200,5200,600.0,13.04,275,200,900.0,,200.0,1.0,4.0,1.0,3,1100.0,200.0,900,-,
