Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,20000000,20000000,14100,16200,12000,-,,282,14100,14100,14100,14100,-,14100,14100,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
26/09/2024,20000000,20000000,14100,16200,12000,-,,282,14100,14100,14100,14100,-,14100,14100,,,-,100,,200.0,,,,2.0,-2,,200.0,-200,-,
25/09/2024,20000000,20000000,14000,16100,11900,100,1.0,282,14100,14100,14100,14100,-,14100,14100,100.0,0.71,300,100,500.0,100.0,100.0,1.0,2.0,2.0,-,600.0,200.0,400,-,
24/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,500,500,500.0,500.0,,,1.0,1.0,-,500.0,500.0,-,-,
23/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,500,300,500.0,600.0,,,1.0,2.0,-1,500.0,600.0,-100,-,
20/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,500,-,500.0,,,,1.0,,1,500.0,,500,-,
19/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,-,-,,,,,,,-,,,-,-,
18/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,100,100,100.0,100.0,,,1.0,1.0,-,100.0,100.0,-,-,
17/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,300,-,600.0,,,,2.0,,2,600.0,,600,-,
16/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,-,-,,,,,,,-,,,-,-,
13/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,233,100,700.0,200.0,,,3.0,2.0,1,700.0,200.0,500,-,
12/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,200,100,200.0,100.0,,,1.0,1.0,-,200.0,100.0,100,-,
11/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,200,100,200.0,100.0,,,1.0,1.0,-,200.0,100.0,100,-,
10/09/2024,20000000,20000000,14000,16100,11900,200,3.0,280,14000,14000,14000,14000,-,14000,14000,,,200,150,400.0,100.0,200.0,3.0,3.0,2.0,1,600.0,300.0,300,-,
09/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,350,100,700.0,100.0,,,2.0,1.0,1,700.0,100.0,600,-,
06/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,200,100,600.0,100.0,,,3.0,1.0,2,600.0,100.0,500,-,
05/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,75,100,300.0,200.0,,,4.0,2.0,2,300.0,200.0,100,-,
04/09/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,233,-,700.0,,,,3.0,,3,700.0,,700,-,
30/08/2024,20000000,20000000,14000,16100,11900,-,,280,14000,14000,14000,14000,-,14000,14000,,,163,100,1300.0,100.0,,,8.0,1.0,7,1300.0,100.0,1200,-,
