Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
26/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,550,-,1100.0,,,,2.0,,2,1100.0,,1100,-,
25/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
24/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
23/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
20/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
19/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
18/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,1000,-,1000.0,,,,1.0,,1,1000.0,,1000,-,
17/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,100,-,100.0,,,,1.0,,1,100.0,,100,-,
16/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,-,-,,,,,1.0,,1,,,-,-,
13/09/2024,3240000,3240000,20500,22500,18500,-,,66,20500,20500,20500,20500,-,20500,20500,,,2000,-,2000.0,,,,1.0,,1,2000.0,,2000,-,
