Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,450000000,450000000,14300,16400,12200,285159,4039,6390,14300,14200,14300,14100,200,14164,14200,-100.0,-0.7,1181,3616,184341,426741,282059,3995,395,196,199,466400,708800,-242400,3100,44.0
26/09/2024,450000000,450000000,14300,16400,12200,66807,955,6435,14300,14300,14400,14200,200,14297,14300,,,1321,2243,229193,294393,66807,955,224,161,63,296000,361200,-65200,-,
25/09/2024,450000000,450000000,14300,16400,12200,384843,5492,6435,14400,14300,14400,14100,300,14271,14300,,,1463,3005,143257,309257,384843,5492,361,231,130,528100,694100,-166000,-,
24/09/2024,450000000,450000000,14300,16400,12200,284560,4059,6480,14400,14400,14400,14200,200,14284,14400,100.0,0.7,1806,2767,196240,272440,211860,3026,226,175,51,408100,484300,-76200,72700,1032.0
23/09/2024,450000000,450000000,14200,16300,12100,289116,4141,6480,14200,14400,14400,14200,200,14322,14400,200.0,1.41,2355,2808,235984,384684,289116,4141,223,240,-17,525100,673800,-148700,-,
20/09/2024,450000000,450000000,14100,16200,12000,173078,2459,6435,14200,14300,14300,14100,200,14207,14300,200.0,1.42,1824,2136,297622,294722,173078,2459,258,219,39,470700,467800,2900,-,
19/09/2024,450000000,450000000,14000,16100,11900,130631,1846,6390,14000,14200,14200,14000,200,14133,14200,200.0,1.43,1889,2214,390869,281169,130631,1846,276,186,90,521500,411800,109700,-,
18/09/2024,450000000,450000000,14000,16100,11900,84162,1181,6345,14000,14100,14100,14000,100,14030,14100,100.0,0.71,1003,2387,147438,250038,84162,1181,231,140,91,231600,334200,-102600,-,
17/09/2024,450000000,450000000,14000,16100,11900,83453,1167,6345,14100,14100,14100,13900,200,13988,14100,100.0,0.71,1317,2226,274847,170347,83453,1167,272,114,158,358300,253800,104500,-,
16/09/2024,450000000,450000000,14100,16200,12000,278887,3895,6300,14100,14000,14100,13900,200,13967,14000,-100.0,-0.71,1494,3545,230613,199713,278887,3895,341,135,206,509500,478600,30900,-,
13/09/2024,450000000,450000000,14100,16200,12000,137036,1929,6345,14100,14100,14200,14000,200,14076,14100,,,1385,2567,175964,209564,137036,1929,226,135,91,313000,346600,-33600,-,
12/09/2024,450000000,450000000,14000,16100,11900,82677,1166,6345,14200,14100,14200,14000,200,14101,14100,100.0,0.71,1433,2390,239823,242323,82677,1166,225,136,89,322500,325000,-2500,-,
11/09/2024,450000000,450000000,14200,16300,12100,223856,3141,6390,14200,14200,14200,13900,300,14033,14200,,,1247,2831,210044,175244,223856,3141,348,141,207,433900,399100,34800,-,
10/09/2024,450000000,450000000,14200,16300,12100,111475,1578,6345,14200,14100,14300,14100,200,14151,14100,-100.0,-0.7,961,2146,113325,184725,111475,1578,234,138,96,224800,296200,-71400,-,
09/09/2024,450000000,450000000,14200,16300,12100,79285,1123,6390,14200,14200,14300,14100,200,14164,14200,,,977,2025,221715,135415,79285,1123,308,106,202,301000,214700,86300,-,
06/09/2024,450000000,450000000,14200,16300,12100,153132,2180,6390,14700,14200,14700,14200,500,14236,14200,,,1037,2452,178568,187668,153132,2180,320,139,181,331700,340800,-9100,-,
05/09/2024,450000000,450000000,14700,16900,12500,275839,4063,6615,14800,14700,14900,14600,300,14729,14200,,,1482,2631,241461,245061,275839,4063,349,198,151,517300,520900,-3600,-,
04/09/2024,450000000,450000000,14800,17000,12600,192814,2840,6615,14900,14700,14900,14700,200,14728,14200,-100.0,-0.68,1100,2348,180186,196886,192814,2840,339,166,173,373000,389700,-16700,-,
30/08/2024,450000000,450000000,14700,16900,12500,160028,2366,6615,14800,14700,14900,14700,200,14784,14200,,,1314,2604,255272,321672,160028,2366,316,185,131,415300,481700,-66400,-,
29/08/2024,450000000,450000000,14700,16900,12500,190743,2805,6660,14700,14800,14800,14600,200,14706,14300,100.0,0.68,1452,2871,199857,262857,190743,2805,269,158,111,390600,453600,-63000,-,
28/08/2024,450000000,450000000,14700,16900,12500,260950,3831,6615,14800,14700,14800,14600,200,14680,14200,,,1216,2879,190150,257350,260950,3831,371,180,191,451100,518300,-67200,-,
27/08/2024,450000000,450000000,14800,17000,12600,142648,2100,6660,14800,14800,14900,14600,300,14724,14300,,,1017,2176,168452,222852,142648,2100,306,168,138,311100,365500,-54400,-,
26/08/2024,450000000,450000000,14900,17100,12700,144034,2136,6660,15000,14800,15000,14800,200,14829,14300,-100.0,-0.67,864,2180,135766,328966,144034,2136,324,217,107,279800,473000,-193200,-,
23/08/2024,450000000,450000000,14900,17100,12700,170190,2540,6705,14900,14900,15100,14800,300,14922,14400,,,994,2104,114010,381010,170190,2540,286,262,24,284200,551200,-267000,-,
22/08/2024,450000000,450000000,14800,17000,12600,84658,1262,6705,15000,14900,15000,14800,200,14908,14400,100.0,0.68,1182,1679,228442,274742,84658,1262,265,214,51,313100,359400,-46300,-,
21/08/2024,450000000,450000000,14700,16900,12500,516722,7666,6750,14800,15000,15200,14600,600,14836,14500,300.0,2.04,1721,2139,237278,255578,516722,7666,438,361,77,754000,772300,-18300,-,
20/08/2024,450000000,450000000,14700,16900,12500,289763,4263,6660,14900,14800,14900,14600,300,14711,14300,100.0,0.68,1260,1831,133537,193737,289763,4263,336,264,72,423300,483500,-60200,-,
19/08/2024,450000000,450000000,14600,16700,12500,104427,1537,6660,14600,14800,14800,14600,200,14719,14300,200.0,1.37,1063,1288,173973,258773,104427,1537,262,282,-20,278400,363200,-84800,-,
16/08/2024,450000000,450000000,14500,16600,12400,240224,3517,6570,14500,14600,14800,14500,300,14641,14100,100.0,0.69,1196,1557,155776,251776,240224,3517,331,316,15,396000,492000,-96000,-,
15/08/2024,450000000,450000000,14500,16600,12400,94218,1364,6525,14400,14500,14500,14400,100,14481,14000,,,874,1299,152182,194182,94218,1364,282,222,60,246400,288400,-42000,-,
14/08/2024,450000000,450000000,14600,16700,12500,412214,5990,6525,14700,14500,14700,14400,300,14532,14000,-100.0,-0.68,1613,1368,134486,273386,412214,5990,339,501,-162,546700,685600,-138900,-,
13/08/2024,450000000,450000000,14700,16900,12500,169278,2479,6615,14800,14700,14800,14600,200,14646,14200,,,1433,1407,145922,219022,169278,2479,220,276,-56,315200,388300,-73100,-,
12/08/2024,450000000,450000000,14600,16700,12500,86583,1272,6660,14600,14800,14800,14500,300,14687,14300,200.0,1.37,1558,1817,254717,242317,86583,1272,219,181,38,341300,328900,12400,-,
09/08/2024,450000000,450000000,14600,16700,12500,72961,1068,6615,14600,14700,14800,14600,200,14632,14200,100.0,0.68,1136,2157,191639,250639,72961,1068,233,150,83,264600,323600,-59000,-,
08/08/2024,450000000,450000000,14400,16500,12300,168483,2465,6570,14500,14600,14800,14400,400,14631,14100,200.0,1.39,1296,1896,211217,227817,168483,2465,293,209,84,379700,396300,-16600,-,
07/08/2024,450000000,450000000,14300,16400,12200,85628,1235,6570,14600,14600,14600,14300,300,14417,14100,300.0,2.1,1026,1601,247772,149772,85628,1235,325,147,178,333400,235400,98000,-,
06/08/2024,450000000,450000000,14400,16500,12300,509793,7276,6480,14300,14400,14500,13800,700,14273,13900,,,1126,2999,244607,150007,509793,7276,670,220,450,754400,659800,94600,-,
05/08/2024,450000000,450000000,14700,16900,12500,430292,6197,6435,14900,14300,14900,14100,800,14401,13800,-400.0,-2.72,963,2341,196508,227608,430292,6197,651,281,370,626800,657900,-31100,-,
02/08/2024,450000000,450000000,14900,17100,12700,364910,5369,6705,14900,14900,14900,14500,400,14713,14400,,,1271,3060,309790,130890,364910,5369,531,162,369,674700,495800,178900,-,
01/08/2024,450000000,450000000,15100,17300,12900,292144,4339,6705,15100,14900,15200,14700,500,14852,14400,-200.0,-1.32,1184,2269,441856,238756,292144,4339,620,234,386,734000,530900,203100,-,
31/07/2024,450000000,450000000,15200,17400,13000,274866,4146,6750,15300,15000,15300,15000,300,15083,14500,-200.0,-1.32,1158,3205,187334,282734,274866,4146,399,174,225,462200,557600,-95400,-,
30/07/2024,450000000,450000000,15300,17500,13100,103909,1578,6840,15300,15200,15300,15100,200,15189,14700,-100.0,-0.65,981,1963,180591,210091,103909,1578,290,160,130,284500,314000,-29500,-,
29/07/2024,450000000,450000000,15300,17500,13100,80434,1233,6885,15400,15300,15500,15200,300,15331,14800,,,1420,1927,274666,266366,80434,1233,250,180,70,355100,346800,8300,-,
26/07/2024,450000000,450000000,15100,17300,12900,119391,1830,6885,15200,15300,15400,15200,200,15327,14800,200.0,1.32,782,1867,161309,259609,119391,1830,359,203,156,280700,379000,-98300,-,
25/07/2024,450000000,450000000,15100,17300,12900,109253,1650,6840,15200,15200,15200,15000,200,15103,14700,100.0,0.66,1002,2140,228547,235347,109253,1650,337,161,176,337800,344600,-6800,-,
24/07/2024,450000000,450000000,15300,17500,13100,144570,2186,6840,15000,15200,15300,15000,300,15118,14700,-100.0,-0.65,1134,1565,327130,235630,144570,2186,416,243,173,471700,380200,91500,-,
23/07/2024,450000000,450000000,15100,17300,12900,245298,3753,6795,15200,15100,15400,15100,300,15299,14600,,,666,1656,207302,243302,245298,3753,680,295,385,452600,488600,-36000,-,
22/07/2024,450000000,450000000,15400,17700,13100,577597,8714,6750,15500,15000,15500,14900,600,15086,14500,-400.0,-2.6,1188,2726,233903,270203,577597,8714,683,311,372,811500,847800,-36300,-,
19/07/2024,450000000,450000000,15400,17700,13100,429019,6588,6930,15500,15400,15600,15200,400,15355,14800,,,1287,2604,290181,297381,429019,6588,559,279,280,719200,726400,-7200,-,
18/07/2024,450000000,450000000,15700,18000,13400,676679,10446,6975,15600,15500,15700,15300,400,15436,14900,-200.0,-1.27,1583,2892,461421,349921,676679,10446,719,355,364,1138100,1026600,111500,-,
17/07/2024,450000000,450000000,16500,18900,14100,2762716,43355,7020,16300,15600,16300,15500,800,15693,15000,-900.0,-5.45,1980,4359,657084,549884,2762716,43355,1727,760,967,3419800,3312600,107200,-,
16/07/2024,450000000,450000000,16500,18900,14100,567012,9329,7380,16600,16400,16700,16300,400,16453,15800,-100.0,-0.61,1425,4170,290688,1013288,567012,9329,602,379,223,857700,1580300,-722600,-,
15/07/2024,450000000,450000000,16500,18900,14100,874352,14444,7470,16500,16600,16700,16400,300,16520,16000,100.0,0.61,2668,4893,657348,848048,874352,14444,574,352,222,1531700,1722400,-190700,-,
12/07/2024,450000000,450000000,16600,19000,14200,220248,3634,7425,16700,16500,16700,16400,300,16501,15900,-100.0,-0.6,1364,2197,422152,449952,220248,3634,471,305,166,642400,670200,-27800,-,
11/07/2024,450000000,450000000,16800,19300,14300,497376,8248,7425,16800,16500,16800,16400,400,16582,15900,-300.0,-1.79,1656,2938,464524,754124,497376,8248,581,426,155,961900,1251500,-289600,-,
10/07/2024,450000000,450000000,16900,19400,14400,616108,10333,7560,17000,16800,17100,16600,500,16771,16200,-100.0,-0.59,1842,2541,339892,773892,616108,10333,519,547,-28,956000,1390000,-434000,-,
09/07/2024,450000000,450000000,16600,19000,14200,1199376,20275,7650,16700,17000,17000,16600,400,16905,16400,400.0,2.41,2563,2943,653524,1143424,1199376,20275,723,796,-73,1852900,2342800,-489900,-,
08/07/2024,450000000,450000000,16300,18700,13900,814247,13531,7515,16400,16700,16800,16400,400,16618,16100,400.0,2.45,3512,3108,832753,798653,814247,13531,469,519,-50,1647000,1612900,34100,-,
05/07/2024,450000000,450000000,16300,18700,13900,323773,5287,7380,16300,16400,16500,16200,300,16329,15800,100.0,0.61,1348,2352,350127,497227,323773,5287,500,349,151,673900,821000,-147100,-,
04/07/2024,450000000,450000000,16300,18700,13900,643703,10466,7335,16400,16300,16500,16200,300,16259,15700,,,1718,3879,380397,543397,643703,10466,596,306,290,1024100,1187100,-163000,-,
03/07/2024,450000000,450000000,16300,18700,13900,731301,11949,7380,16300,16400,16500,16200,300,16340,15800,100.0,0.61,1845,3707,358899,558899,731301,11949,591,348,243,1090200,1290200,-200000,-,
02/07/2024,450000000,450000000,16400,18800,14000,728337,11865,7290,16500,16200,16600,16200,400,16291,15600,-200.0,-1.22,1840,3389,427163,389963,728337,11865,628,330,298,1155500,1118300,37200,-,
01/07/2024,450000000,450000000,16600,19000,14200,1041146,17064,7470,16700,16600,16800,16200,600,16389,16000,,,2407,3095,609754,351554,1041146,17064,686,450,236,1650900,1392700,258200,-,
28/06/2024,450000000,450000000,17000,19500,14500,1260324,20971,7515,17000,16700,17100,16400,700,16639,16100,-300.0,-1.76,1756,4341,379376,1084076,1260324,20971,934,540,394,1639700,2344400,-704700,-,
27/06/2024,450000000,450000000,17100,19600,14600,821026,13918,7650,17300,17000,17300,16800,500,16952,16400,-100.0,-0.58,1928,4296,181474,1279774,821026,13918,520,489,31,1002500,2100800,-1098300,-,
26/06/2024,450000000,450000000,16800,19300,14300,945399,16131,7740,16800,17200,17400,16800,600,17063,16600,400.0,2.38,2443,3320,855201,1365601,945399,16131,737,696,41,1800600,2311000,-510400,-,
25/06/2024,450000000,450000000,17200,19700,14700,655060,11034,7560,17100,16800,17200,16700,500,16845,16200,-400.0,-2.33,1710,3430,341740,727340,655060,11034,583,403,180,996800,1382400,-385600,-,
24/06/2024,450000000,450000000,17300,19800,14800,919877,15849,7695,17300,17100,17600,16900,700,17229,16500,-200.0,-1.16,1664,2619,188623,962823,919877,15849,666,719,-53,1108500,1882700,-774200,-,
21/06/2024,450000000,450000000,16800,19300,14300,2305345,39818,7785,16900,17300,17700,16800,900,17272,16700,500.0,2.98,2349,2979,381455,801355,2305345,39818,1144,1043,101,2686800,3106700,-419900,-,
20/06/2024,450000000,450000000,16700,19200,14200,372777,6269,7605,16800,16900,16900,16700,200,16817,16300,200.0,1.2,2170,2192,334623,506123,372777,6269,326,401,-75,707400,878900,-171500,-,
19/06/2024,450000000,450000000,16800,19300,14300,260118,4336,7560,16800,16800,16800,16600,200,16669,16200,,,1411,3151,470582,562182,260118,4336,518,261,257,730700,822300,-91600,-,
18/06/2024,450000000,450000000,16600,19000,14200,317044,5320,7560,16700,16800,16900,16500,400,16781,16200,200.0,1.2,1493,2940,287656,641556,317044,5320,405,326,79,604700,958600,-353900,-,
17/06/2024,450000000,450000000,16700,19200,14200,223657,3717,7515,16700,16700,16700,16500,200,16620,16100,,,1227,3472,392243,699943,223657,3717,502,266,236,615900,923600,-307700,-,
14/06/2024,450000000,450000000,16800,19300,14300,496643,8297,7515,16800,16700,16900,16600,300,16706,16100,-100.0,-0.6,1580,2455,318557,475557,496643,8297,516,396,120,815200,972200,-157000,-,
13/06/2024,450000000,450000000,16600,19000,14200,335880,5643,7605,16800,16900,16900,16600,300,16799,16300,300.0,1.81,2111,2309,686020,553120,335880,5643,484,385,99,1021900,889000,132900,-,
12/06/2024,450000000,450000000,16700,19200,14200,444132,7394,7560,16800,16800,16900,16500,400,16649,16200,100.0,0.6,1761,3101,670668,554468,444132,7394,633,322,311,1114800,998600,116200,-,
11/06/2024,450000000,450000000,16800,19300,14300,431137,7205,7560,16900,16800,16900,16600,300,16712,16200,,,1751,2352,773563,540263,431137,7205,688,413,275,1204700,971400,233300,-,
10/06/2024,450000000,450000000,16800,19300,14300,472023,7923,7515,16800,16700,16900,16700,200,16784,16100,-100.0,-0.6,1626,2539,636677,477577,472023,7923,682,374,308,1108700,949600,159100,-,
07/06/2024,450000000,450000000,17100,19600,14600,1356776,22804,7560,17200,16800,17200,16700,500,16808,16200,-300.0,-1.75,1800,4494,615824,503824,1356776,22804,1096,414,682,1972600,1860600,112000,-,
06/06/2024,450000000,450000000,17200,19700,14700,540697,9247,7695,17100,17100,17300,17000,300,17102,16500,-100.0,-0.58,2028,2734,438603,673003,540697,9247,483,444,39,979300,1213700,-234400,-,
05/06/2024,450000000,450000000,17300,19800,14800,601129,10335,7695,17300,17100,17400,17100,300,17192,16500,-200.0,-1.16,1515,2712,174671,605871,601129,10335,512,445,67,775800,1207000,-431200,-,
04/06/2024,450000000,450000000,17400,20000,14800,476658,8265,7785,17500,17300,17500,17200,300,17339,16700,-100.0,-0.57,1574,2605,354342,953642,476658,8265,528,549,-21,831000,1430300,-599300,-,
03/06/2024,450000000,450000000,17400,20000,14800,655155,11403,7875,17400,17500,17500,17300,200,17405,16900,100.0,0.57,1379,2672,319845,937345,655155,11403,707,596,111,975000,1592500,-617500,-,
31/05/2024,450000000,450000000,16800,19300,14300,1876051,32640,7830,16600,17400,17700,16600,1100,17399,16800,600.0,3.57,2252,2854,583149,1080249,1876051,32640,1092,1036,56,2459200,2956300,-497100,-,
30/05/2024,450000000,450000000,17000,19500,14500,693627,11621,7560,16900,16800,16900,16700,200,16754,16200,-200.0,-1.18,1736,3688,285373,652473,693627,11621,564,365,199,979000,1346100,-367100,-,
29/05/2024,450000000,450000000,17000,19500,14500,588116,9982,7605,17000,16900,17100,16800,300,16973,16300,-100.0,-0.59,2137,2417,339384,700284,588116,9982,434,533,-99,927500,1288400,-360900,-,
28/05/2024,450000000,450000000,17000,19500,14500,497435,8451,7650,17200,17000,17200,16900,300,16988,16400,,,1774,3033,343365,618765,497435,8451,474,368,106,840800,1116200,-275400,-,
27/05/2024,450000000,450000000,16800,19300,14300,762153,12993,7650,16900,17000,17400,16700,700,17048,16400,200.0,1.19,1858,2650,348747,787947,762153,12993,598,585,13,1110900,1550100,-439200,-,
24/05/2024,450000000,450000000,16900,19400,14400,768362,12934,7605,17100,16900,17100,16600,500,16833,16300,,,1927,2928,227838,801138,768362,12934,517,536,-19,996200,1569500,-573300,-,
