Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,32064749,32064749,15200,17400,13000,400,7.0,545,17000,17000,17000,17000,-,17000,17000,1800.0,11.84,489,371,4000.0,4800,400.0,7.0,9.0,14,-5,4400.0,5200,-800,-,
26/09/2024,32064749,32064749,17000,19500,14500,1100,17.0,545,15000,17000,17000,15000,2000,15182,17000,,,336,472,3600.0,7400,1100.0,17.0,14.0,18,-4,4700.0,8500,-3800,-,
25/09/2024,32064749,32064749,17200,19700,14700,302,5.0,545,17000,17000,17000,17000,-,17000,17000,-200.0,-1.16,514,367,3298.0,4098,302.0,5.0,7.0,12,-5,3600.0,4400,-800,-,
24/09/2024,32064749,32064749,17200,19700,14700,1150,20.0,552,17200,17200,17200,17200,-,17200,17200,,,350,563,2350.0,7850,1150.0,20.0,10.0,16,-6,3500.0,9000,-5500,-,
23/09/2024,32064749,32064749,16800,19300,14300,6351,109.0,552,16800,17200,17500,16800,700,17187,17200,400.0,2.38,531,485,549.0,6249,6351.0,109.0,13.0,26,-13,6900.0,12600,-5700,-,
20/09/2024,32064749,32064749,16800,19300,14300,-,,539,16800,16800,16800,16800,-,16800,16800,,,167,600,500.0,2400,,,3.0,4,-1,500.0,2400,-1900,-,
19/09/2024,32064749,32064749,17000,19500,14500,1000,17.0,539,16800,16800,16800,16800,-,16800,16800,-200.0,-1.18,200,583,400.0,2500,1000.0,17.0,7.0,6,1,1400.0,3500,-2100,-,
18/09/2024,32064749,32064749,17000,19500,14500,-,,545,17000,17000,17000,17000,-,17000,17000,,,450,1200,900.0,8400,,,2.0,7,-5,900.0,8400,-7500,-,
17/09/2024,32064749,32064749,17000,19500,14500,-,,545,17000,17000,17000,17000,-,17000,17000,,,250,825,1000.0,3300,,,4.0,4,-,1000.0,3300,-2300,-,
