Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,5300062,4849832,2600,2900,2300,200,0.0,11,2300,2300,2300,2300,-,2300,2300,-300.0,-11.54,100,936,,12900.0,200.0,0.0,2.0,14.0,-12,200.0,13100.0,-12900,-,
26/09/2024,5300062,4849832,2600,2900,2300,-,,13,2600,2600,2600,2600,-,2600,2600,,,-,-,,,,,,,-,,,-,-,
25/09/2024,5300062,4849832,2600,2900,2300,-,,13,2600,2600,2600,2600,-,2600,2600,,,-,-,,,,,,,-,,,-,-,
24/09/2024,5300062,4849832,2600,2900,2300,-,,13,2600,2600,2600,2600,-,2600,2600,,,-,-,,,,,,,-,,,-,-,
23/09/2024,5300062,4849832,2600,2900,2300,-,,13,2600,2600,2600,2600,-,2600,2600,,,-,-,,,,,,,-,,,-,-,
20/09/2024,5300062,4849832,2300,2600,2000,101,0.0,13,2600,2600,2600,2600,-,2600,2600,300.0,13.04,100,1357,299.0,9399.0,101.0,0.0,4.0,7.0,-3,400.0,9500.0,-9100,-,
19/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
18/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
17/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
16/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
13/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,50,1267,100.0,7600.0,,,2.0,6.0,-4,100.0,7600.0,-7500,-,
12/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
11/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
10/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
09/09/2024,5300062,4849832,2300,2600,2000,-,,11,2300,2300,2300,2300,-,2300,2300,,,-,-,,,,,,,-,,,-,-,
06/09/2024,5300062,4849832,2700,3100,2300,5400,13.0,13,2700,2700,2700,2300,400,2315,2700,,,1080,2760,,22200.0,5400.0,13.0,5.0,10.0,-5,5400.0,27600.0,-22200,-,
05/09/2024,5300062,4849832,2700,3100,2300,-,,13,2700,2700,2700,2700,-,2700,2700,,,-,-,,,,,,,-,,,-,-,
04/09/2024,5300062,4849832,2700,3100,2300,-,,13,2700,2700,2700,2700,-,2700,2700,,,-,-,,,,,,,-,,,-,-,
30/08/2024,5300062,4849832,2400,2700,2100,110,0.0,13,2700,2700,2700,2700,-,2700,2700,300.0,12.5,2367,800,6990.0,2290.0,110.0,0.0,3.0,3.0,-,7100.0,2400.0,4700,-,
29/08/2024,5300062,4849832,2400,2700,2100,-,,12,2400,2400,2400,2400,-,2400,2400,,,-,-,,,,,,,-,,,-,-,
28/08/2024,5300062,4849832,2400,2700,2100,-,,12,2400,2400,2400,2400,-,2400,2400,,,-,-,,,,,,,-,,,-,-,
27/08/2024,5300062,4849832,2400,2700,2100,-,,12,2400,2400,2400,2400,-,2400,2400,,,-,-,,,,,,,-,,,-,-,
26/08/2024,5300062,4849832,2400,2700,2100,-,,12,2400,2400,2400,2400,-,2400,2400,,,-,-,,,,,,,-,,,-,-,
23/08/2024,5300062,4849832,2100,2400,1800,10000,24.0,12,2400,2400,2400,2400,-,2400,2400,300.0,14.29,5064,3333,45700.0,,10000.0,24.0,11.0,3.0,8,55700.0,10000.0,45700,-,
22/08/2024,5300062,4849832,2100,2400,1800,-,,10,2100,2100,2100,2100,-,2100,2100,,,-,-,,,,,,,-,,,-,-,
21/08/2024,5300062,4849832,2100,2400,1800,-,,10,2100,2100,2100,2100,-,2100,2100,,,-,-,,,,,,,-,,,-,-,
20/08/2024,5300062,4849832,2100,2400,1800,-,,10,2100,2100,2100,2100,-,2100,2100,,,-,-,,,,,,,-,,,-,-,
19/08/2024,5300062,4849832,2100,2400,1800,-,,10,2100,2100,2100,2100,-,2100,2100,,,-,-,,,,,,,-,,,-,-,
16/08/2024,5300062,4849832,1900,2100,1700,1666300,2845.0,10,2100,2100,2100,2100,-,2100,2100,200.0,10.53,3240,2277,19000.0,,29600.0,62.0,15.0,13.0,2,48600.0,29600.0,19000,1636700,2782.0
15/08/2024,5300062,4849832,1900,2100,1700,-,,9,1900,1900,1900,1900,-,1900,1900,,,-,-,,,,,,,-,,,-,-,
14/08/2024,5300062,4849832,1900,2100,1700,-,,9,1900,1900,1900,1900,-,1900,1900,,,-,-,,,,,,,-,,,-,-,
13/08/2024,5300062,4849832,1900,2100,1700,-,,9,1900,1900,1900,1900,-,1900,1900,,,-,-,,,,,,,-,,,-,-,
12/08/2024,5300062,4849832,1900,2100,1700,-,,9,1900,1900,1900,1900,-,1900,1900,,,-,-,,,,,,,-,,,-,-,
09/08/2024,5300062,4849832,1700,1900,1500,300,1.0,9,1900,1900,1900,1900,-,1900,1900,200.0,11.76,750,443,4200.0,2800.0,300.0,1.0,6.0,7.0,-1,4500.0,3100.0,1400,-,
08/08/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
07/08/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
06/08/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
05/08/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
02/08/2024,5300062,4849832,1700,1900,1500,200,0.0,9,1500,1800,1800,1500,300,1650,1800,100.0,5.88,940,1700,4500.0,4900.0,200.0,0.0,5.0,3.0,2,4700.0,5100.0,-400,-,
01/08/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
31/07/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
30/07/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
29/07/2024,5300062,4849832,1700,1900,1500,-,,8,1700,1700,1700,1700,-,1700,1700,,,-,-,,,,,,,-,,,-,-,
26/07/2024,5300062,4849832,1500,1700,1300,7400,13.0,8,1700,1700,1700,1700,-,1700,1700,200.0,13.33,1150,1850,17900.0,,7400.0,13.0,22.0,4.0,18,25300.0,7400.0,17900,-,
25/07/2024,5300062,4849832,1500,1700,1300,-,,7,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
24/07/2024,5300062,4849832,1500,1700,1300,-,,7,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
23/07/2024,5300062,4849832,1500,1700,1300,-,,7,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
22/07/2024,5300062,4849832,1500,1700,1300,-,,7,1500,1500,1500,1500,-,1500,1500,,,-,-,,,,,,,-,,,-,-,
