Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,Khớp lệnh,Khớp lệnh,Tổng lệnh đặt,Tổng lệnh đặt,Tổng lệnh đặt,Tổng KL đặt,Tổng KL đặt,Tổng KL đặt,Thỏa thuận,Thỏa thuận
Ngày,KLNY,KLCPĐLH,Tham chiếu,Trần,Sàn,Tổng KLGD,Tổng GTGD,Vốn hóa TT,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Chênh lệch,Bình quân,Giá đóng cửa điều chỉnh,+/- giá,+/- % giá,BQ mua,BQ bán,Dư mua,Dư bán,KL,GT,Mua,Bán,Mua - Bán,Mua,Bán,Mua - Bán,KL,GT
27/09/2024,28708169,70368754,3400,3900,2900,5900,18.0,239,3400,3400,3500,3400,100,3450,3400,,,186,992,700.0,10000.0,1900.0,7.0,14.0,12.0,2,2600.0,11900.0,-9300,4000,12.0
26/09/2024,28708169,70368754,3400,3900,2900,-,,239,3400,3400,3400,3400,-,3400,3400,,,-,-,,,,,,,-,,,-,-,
25/09/2024,28708169,70368754,3400,3900,2900,-,,239,3400,3400,3400,3400,-,3400,3400,,,-,-,,,,,,,-,,,-,-,
24/09/2024,28708169,70368754,3400,3900,2900,-,,239,3400,3400,3400,3400,-,3400,3400,,,-,-,,,,,,,-,,,-,-,
23/09/2024,28708169,70368754,3400,3900,2900,-,,239,3400,3400,3400,3400,-,3400,3400,,,-,-,,,,,,,-,,,-,-,
20/09/2024,28708169,70368754,3600,4100,3100,5903,20.0,239,3600,3400,3600,3400,200,3405,3400,-200.0,-5.56,416,829,4497.0,17297.0,5903.0,20.0,25.0,28.0,-3,10400.0,23200.0,-12800,-,
19/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
18/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
17/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
16/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
13/09/2024,28708169,70368754,3600,4100,3100,30901,98.0,253,3700,3600,3700,3600,100,3624,3600,,,608,867,2399.0,13299.0,4901.0,18.0,12.0,21.0,-9,7300.0,18200.0,-10900,26000,81.0
12/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
11/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
10/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
09/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
06/09/2024,28708169,70368754,3600,4100,3100,460,2.0,253,3700,3600,3700,3600,100,3625,3600,,,271,1431,1440.0,18140.0,460.0,2.0,7.0,13.0,-6,1900.0,18600.0,-16700,-,
05/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
04/09/2024,28708169,70368754,3600,4100,3100,-,,253,3600,3600,3600,3600,-,3600,3600,,,-,-,,,,,,,-,,,-,-,
